Metric	Value
allTimeHigh	34.79
allTimeLow	19.17
ask	30.34
askSize	1
averageDailyVolume10Day	1175790
averageDailyVolume3Month	1326211
averageVolume	1326211
averageVolume10days	1175790
beta3Year	0.0
bid	30.22
bidSize	1
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	28.55
dayLow	27.73
dividendYield	0.01
epsTrailingTwelveMonths	0.83971786
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	29.9976
fiftyDayAverageChange	-1.5276012
fiftyDayAverageChangePercent	-0.050924115
fiftyTwoWeekChangePercent	39.22597
fiftyTwoWeekHigh	34.79
fiftyTwoWeekHighChange	-6.3200016
fiftyTwoWeekHighChangePercent	-0.18166144
fiftyTwoWeekLow	19.61
fiftyTwoWeekLowChange	8.859999
fiftyTwoWeekLowChangePercent	0.4518102
fiftyTwoWeekRange	19.61 - 34.79
firstTradeDateMilliseconds	1753450200000
fullExchangeName	NasdaqGM
fulldayChange	0.59000015
fulldayChangePercent	2.116213
fulldayPrice	28.52
fundFamily	Defiance ETFs LLC
fundInceptionDate	1753315200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
ipoExpectedDate	2025-07-25
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The index is a thematic index tracking the performance of U.S. exchange-listed companies contributing to critical electrical grid, artificial intelligence (“AI”) and data infrastructure through decentralized energy technologies, electrical utilities and related components and construction, data center operations, and AI-related computing hardware. Under normal circumstances, at least 80% of the fund’s net assets will be invested in securities of AI & Power Infrastructure Companies. The fund is non-diversified.
longName	Defiance AI & Power Infrastructure ETF
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_1913357773
navPrice	27.9118
netAssets	888241600.0
netExpenseRatio	0.69
open	27.96
postMarketChange	0.050001144
postMarketChangePercent	0.17562748
postMarketPrice	28.52
postMarketTime	1788474025
previousClose	27.88
priceHint	2
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	0.59000015
regularMarketChangePercent	2.116213
regularMarketDayHigh	28.55
regularMarketDayLow	27.73
regularMarketDayRange	27.73 - 28.55
regularMarketOpen	27.96
regularMarketPreviousClose	27.88
regularMarketPrice	28.47
regularMarketTime	1788465601
regularMarketVolume	1133998
shortName	Defiance AI & Power Infrastruct
sourceInterval	15
symbol	AIPO
totalAssets	888241600
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	33.904243
trailingPegRatio	None
trailingThreeMonthNavReturns	-8.50596
trailingThreeMonthReturns	-8.50596
triggerable	True
twoHundredDayAverage	27.5809
twoHundredDayAverageChange	0.8890991
twoHundredDayAverageChangePercent	0.032236043
typeDisp	ETF
volume	1133998
yield	0.0001
ytdReturn	29.49644
