Metric	Value
52WeekChange	1.8707366
SandP52WeekChange	0.27181315
address1	4250 Congress Street
address2	Suite 900
allTimeHigh	334.55
allTimeLow	6.125
ask	165.99
askSize	200
auditRisk	9
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	2037350
averageDailyVolume3Month	2054788
averageVolume	2054788
averageVolume10days	2037350
beta	1.365
bid	165.75
bidSize	100
boardRisk	7
bookValue	64.597
city	Charlotte
