Metric	Value
52WeekChange	1.79022
SandP52WeekChange	0.2875371
address1	3050 Bowers Avenue
address2	P.O. Box 58039
allTimeHigh	395.95
allTimeLow	0.076389
ask	398.14
askSize	1
auditRisk	2
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	5959460
averageDailyVolume3Month	7582338
averageVolume	7582338
averageVolume10days	5959460
beta	1.637
bid	397.2
bidSize	1
boardRisk	3
bookValue	27.365
city	Santa Clara
