Metric	Value
52WeekChange	0.86378074
SandP52WeekChange	0.14778364
address1	2485 Augustine Drive
allTimeHigh	267.08
allTimeLow	1.61
ask	220.43
askSize	5
auditRisk	8
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	28971960
averageDailyVolume3Month	36522685
averageVolume	36522685
averageVolume10days	28971960
beta	2.022
bid	220.15
bidSize	5
boardRisk	4
bookValue	38.65
city	Santa Clara
