Metric	Value
52WeekChange	0.10630453
SandP52WeekChange	0.12811458
address1	One Amgen Center Drive
allTimeHigh	391.29
allTimeLow	0.075521
ask	348.15
askSize	9
auditRisk	5
averageAnalystRating	2.5 - Buy
averageDailyVolume10Day	2946040
averageDailyVolume3Month	2720738
averageVolume	2720738
averageVolume10days	2946040
beta	0.425
bid	347.15
bidSize	3
boardRisk	8
bookValue	16.069
city	Thousand Oaks
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Robert A. Bradway', 'age': 62, 'title': 'Chairman & CEO', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 6428574, 'exercisedValue': 0, 'unexercisedValue': 50993104}, {'maxAge': 1, 'name': 'Mr. Peter H. Griffith', 'age': 66, 'title': 'Executive VP & CFO', 'yearBorn': 1959, 'fiscalYear': 2024, 'totalPay': 3007214, 'exercisedValue': 0, 'unexercisedValue': 1401880}, {'maxAge': 1, 'name': 'Dr. David M. Reese M.D.', 'age': 62, 'title': 'Executive VP & CTO', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 3327225, 'exercisedValue': 0, 'unexercisedValue': 7193319}, {'maxAge': 1, 'name': 'Mr. Murdo  Gordon', 'age': 58, 'title': 'Executive Vice President of Global Commercial Operations', 'yearBorn': 1967, 'fiscalYear': 2024, 'totalPay': 3174030, 'exercisedValue': 0, 'unexercisedValue': 4835902}, {'maxAge': 1, 'name': 'Dr. James E. Bradner M.D.', 'age': 53, 'title': 'Executive Vice President of Research & Development', 'yearBorn': 1972, 'fiscalYear': 2024, 'totalPay': 4095677, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Esteban  Santos', 'age': 57, 'title': 'Executive Vice President of Operations', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 3006074, 'exercisedValue': 0, 'unexercisedValue': 12988893}, {'maxAge': 1, 'name': 'Mr. Matthew C. Busch', 'age': 50, 'title': 'Chief Accounting Officer & VP of Finance', 'yearBorn': 1975, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott  Skellenger', 'title': 'Senior VP & Chief Information Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Howard Y. Chang M.D., Ph.D.', 'title': 'Senior VP of Global Research & Chief Scientific Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Casey  Capparelli', 'title': 'Executive Director of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
compensationRisk	4
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	347.8
currentRatio	1.14
customPriceAlertConfidence	HIGH
dateShortInterest	1772150400
dayHigh	351.245
dayLow	344.95
debtToEquity	640.275
discount_to_intrinsic_value	59.64
displayName	Amgen
dividendDate	1780617600
dividendRate	10.08
dividendYield	2.9
earningsCallTimestampEnd	1770154200
earningsCallTimestampStart	1770154200
earningsGrowth	1.121
earningsQuarterlyGrowth	1.126
earningsTimestamp	1770152400
earningsTimestampEnd	1777579200
earningsTimestampStart	1777579200
ebitda	16616999936
