Date	Open	High	Low	Close	Volume
2018-01-02	175.35	177.82	174.42	135.95	2301100
2018-01-03	176.91	181.44	175.76	138.51	3084000
2018-01-04	180.63	180.86	178.75	137.93	2021100
2018-01-05	180.84	180.88	179.03	138.75	2211400
2018-01-08	180.48	181.25	178.43	138.71	2356200
2018-01-09	180.53	184.53	180.12	140.85	3031700
2018-01-10	182.66	183.7	180.37	140.45	2542700
2018-01-11	182.86	182.86	181.1	139.76	2101300
2018-01-12	182.34	185.61	181.75	142.12	3111400
2018-01-16	185.62	187.45	184.17	142.51	3374600
2018-01-17	187.7	189.3	185.9	144.4	4018200
2018-01-18	187.45	188.56	185.5	144.08	3084900
2018-01-19	188.36	189.72	187.6	145.38	3652300
2018-01-22	189.73	192.57	189.43	147.72	3579800
2018-01-23	193.0	196.03	191.6	147.46	3486700
2018-01-24	192.75	192.94	189.51	146.42	2765700
2018-01-25	191.4	191.8	188.9	145.99	2470300
2018-01-26	191.05	196.8	190.99	150.55	3920300
2018-01-29	196.21	201.23	195.65	152.08	4565700
2018-01-30	196.18	196.47	190.55	146.91	3990800
2018-01-31	191.64	192.27	184.65	142.9	4677700
2018-02-01	185.0	186.83	182.33	142.52	4078100
2018-02-02	183.46	192.6	183.01	143.64	7029400
2018-02-05	186.82	188.6	174.62	134.22	6922800
2018-02-06	177.99	180.28	172.04	135.68	7527700
2018-02-07	176.25	180.99	176.0	136.31	5715700
2018-02-08	177.93	180.42	173.0	132.97	6026800
2018-02-09	174.13	175.46	168.25	133.23	6093900
2018-02-12	174.3	176.67	173.0	134.31	4324800
2018-02-13	173.87	176.7	172.46	135.13	3834700
2018-02-14	174.08	180.31	174.06	138.93	5958700
2018-02-15	180.0	185.0	179.9	142.08	4493400
2018-02-16	183.8	186.12	182.68	142.04	4365800
2018-02-20	182.89	184.31	182.14	141.6	4078400
2018-02-21	183.19	185.5	182.4	141.18	4054600
2018-02-22	182.51	185.16	182.01	141.19	3868200
2018-02-23	183.63	186.79	182.77	144.46	4163400
2018-02-26	187.46	190.37	187.03	145.88	4943600
2018-02-27	188.83	190.1	185.55	143.78	5016100
2018-02-28	185.88	187.39	183.69	142.21	4544000
2018-03-01	184.21	185.57	180.38	141.84	11757800
2018-03-02	181.06	185.8	181.05	143.23	19115500
2018-03-05	185.05	190.69	185.0	147.14	15187800
2018-03-06	188.2	191.64	186.93	147.31	18446500
2018-03-07	189.73	190.22	186.41	145.12	7009900
2018-03-08	187.9	188.4	185.51	144.84	9192600
2018-03-09	188.0	191.38	186.32	147.89	5674100
2018-03-12	189.5	190.39	188.32	146.49	6972400
2018-03-13	189.6	190.83	188.63	146.84	4712900
2018-03-14	191.18	192.62	189.8	147.48	3613300
2018-03-15	190.05	190.88	187.91	146.84	3320500
2018-03-16	189.75	190.25	187.23	145.67	16878400
2018-03-19	187.29	187.93	180.67	141.27	3970400
2018-03-20	183.06	184.02	181.17	140.87	2582200
2018-03-21	181.43	184.04	181.4	140.53	2531100
2018-03-22	179.92	180.75	176.0	136.26	3553000
2018-03-23	176.57	179.18	169.35	131.12	4529600
2018-03-26	172.78	175.87	170.11	135.58	4217100
2018-03-27	176.16	176.36	169.82	132.45	3963100
2018-03-28	171.35	172.5	168.02	131.91	4545900
2018-03-29	170.99	172.24	169.64	131.93	3769800
2018-04-02	169.92	170.58	163.31	128.5	4759800
2018-04-03	166.97	169.22	165.08	130.18	3374000
