Metric	Value
52WeekChange	-0.11363983
SandP52WeekChange	0.17909956
address1	222 Berkeley Street
address2	11th Floor
allTimeHigh	303.72
allTimeLow	0.6
ask	178.26
askSize	200
auditRisk	1
averageAnalystRating	1.5 - Buy
averageDailyVolume10Day	2027850
averageDailyVolume3Month	2971074
averageVolume	2971074
averageVolume10days	2027850
beta	0.894
bid	174.8
bidSize	300
boardRisk	3
bookValue	7.983
city	Boston
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Steven O. Vondran J.D.', 'age': 54, 'title': 'President, CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 3325757, 'exercisedValue': 0, 'unexercisedValue': 2707355}, {'maxAge': 1, 'name': 'Mr. Rodney M. Smith', 'age': 59, 'title': 'Executive VP, CFO & Treasurer', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 1647286, 'exercisedValue': 3163067, 'unexercisedValue': 2776813}, {'maxAge': 1, 'name': 'Mr. Eugene M. Noel', 'age': 56, 'title': 'Executive VP & COO', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 1581269, 'exercisedValue': 0, 'unexercisedValue': 3332160}, {'maxAge': 1, 'name': 'Ms. Ruth T. Dowling', 'age': 55, 'title': 'Executive VP, Chief Administrative Officer, General Counsel & Secretary', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 1547966, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Paul  Blanchett', 'age': 41, 'title': 'SVP & Chief Accounting Officer', 'yearBorn': 1984, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Spencer Harris Kurn', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Brenna D. Jones', 'title': 'SVP & Chief Human Resources Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Colleen Richards Powell', 'title': 'Senior VP & Chief Diversity, Equity and Inclusion Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Julian  Plumstead', 'title': 'Senior Vice President of M&A and Business Development - Europe, Africa and Latin America', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Juan A. Font', 'age': 55, 'title': 'Senior VP and President & CEO of Coresite', 'yearBorn': 1970, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	3
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	177.75
currentRatio	0.352
customPriceAlertConfidence	HIGH
dateShortInterest	1786665600
dayHigh	179.05
dayLow	174.885
debtToEquity	438.721
discount_to_intrinsic_value	54.44
dividendDate	1783900800
dividendRate	6.98
dividendYield	4.04
earningsCallTimestampEnd	1785241800
earningsCallTimestampStart	1785241800
earningsGrowth	1.385
earningsQuarterlyGrowth	1.365
earningsTimestamp	1785241800
earningsTimestampEnd	1793104200
earningsTimestampStart	1793104200
ebitda	7044400128
ebitdaMargins	0.64382005
enterpriseToEbitda	18.5
enterpriseToRevenue	11.911
enterpriseValue	130324013056
epsCurrentYear	6.98352
epsForward	7.01004
epsTrailingTwelveMonths	7.26
eps_normalized_growth	1.169052406830863
esgPopulated	False
exDividendDate	1781222400
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	617 375 7575
fiftyDayAverage	170.9082
fiftyDayAverageChange	6.841797
fiftyDayAverageChangePercent	0.040032
fiftyTwoWeekChangePercent	-11.363983
fiftyTwoWeekHigh	199.4
fiftyTwoWeekHighChange	-21.649994
fiftyTwoWeekHighChangePercent	-0.1085757
fiftyTwoWeekLow	160.06
fiftyTwoWeekLowChange	17.690002
fiftyTwoWeekLowChangePercent	0.11052107
fiftyTwoWeekRange	160.06 - 199.4
financialCurrency	USD
firstTradeDateMilliseconds	888589800000
fiveYearAvgDividendYield	2.93
floatShares	464454997
forwardEps	7.01004
forwardPE	25.35649
freeCashflow	2920012544
fullExchangeName	NYSE
fullTimeEmployees	4866
fulldayChange	4.83
fulldayChangePercent	2.7932
fulldayPrice	177.01
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1788220800
graham_intrinsic_value	390.13
grossMargins	0.73774004
grossProfits	8072000000
hasPrePostMarketData	True
heldPercentInsiders	0.00075999997
heldPercentInstitutions	0.96707
impliedSharesOutstanding	465960048
industry	REIT - Specialty
industryDisp	REIT - Specialty
industryKey	reit-specialty
irWebsite	http://www.americantower.com/atcweb/irpages/irhome.asp
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1781222400
lastDividendValue	1.79
lastFiscalYearEnd	1767139200
longBusinessSummary	American Tower Corporation one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of over 148,000 communications sites and a highly interconnected footprint of U.S. data center facilities. American Tower Corporation was incorporated in 1995 in Delaware and is based in Massachusetts, Boston.
longName	American Tower Corporation
market	us_market
marketCap	82824404992
marketState	POST
maxAge	86400
messageBoardId	finmb_24766
mostRecentQuarter	1782777600
nameChangeDate	2026-09-03
netIncomeToCommon	3400999936
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	82018287648
numberOfAnalystOpinions	23
open	174.93
operatingCashflow	5774900224
operatingMargins	0.45411
overallRisk	1
payoutRatio	0.9601
pegRatio	1.66
phone	617 375 7500
postMarketChange	-0.7400055
postMarketChangePercent	-0.41631815
postMarketPrice	177.01
postMarketTime	1788471545
prevName	American Tower Corporation (REIT)
previousClose	172.92
priceEpsCurrentYear	25.45278
priceHint	2
priceToBook	22.266066
priceToSalesTrailing12Months	7.5697484
profitMargins	0.31083
quickRatio	0.299
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.52
region	US
regularMarketChange	4.83
regularMarketChangePercent	2.7932
regularMarketDayHigh	179.05
regularMarketDayLow	174.885
regularMarketDayRange	174.885 - 179.05
regularMarketOpen	174.93
regularMarketPreviousClose	172.92
regularMarketPrice	177.75
regularMarketTime	1788465603
regularMarketVolume	1963008
returnOnAssets	0.04893
returnOnEquity	0.33914003
revenueGrowth	0.047
revenuePerShare	23.429
sector	Real Estate
sectorDisp	Real Estate
sectorKey	real-estate
shareHolderRightsRisk	3
sharesOutstanding	465960048
sharesPercentSharesOut	0.0150999995
sharesShort	7032065
sharesShortPreviousMonthDate	1784073600
sharesShortPriorMonth	7640281
shortName	American Tower Corporation (REI
shortPercentOfFloat	0.0174
shortRatio	2.43
sourceInterval	15
state	MA
symbol	AMT
targetHighPrice	260.0
targetLowPrice	188.0
targetMeanPrice	215.69565
targetMedianPrice	210.0
totalCash	1762499968
totalCashPerShare	3.783
totalDebt	44979900416
totalRevenue	10941500416
tradeable	False
trailingAnnualDividendRate	6.98
trailingAnnualDividendYield	0.040365487
trailingEps	7.26
trailingPE	24.48347
trailingPegRatio	1.6634
triggerable	True
twoHundredDayAverage	177.69905
twoHundredDayAverageChange	0.050949097
twoHundredDayAverageChangePercent	0.00028671563
typeDisp	Equity
volume	1963008
website	https://www.americantower.com
zip	02116
