Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-10-28 08:00:00-04:00	0.72		
2026-07-29 08:00:00-04:00	0.6	0.68	13.19
2026-04-29 08:00:00-04:00	0.47	0.53	11.96
2026-01-28 08:00:00-05:00	0.47	0.49	3.07
2025-10-22 08:00:00-04:00	0.4	0.47	16.49
2025-07-23 08:00:00-04:00	0.33	0.41	21.66
2025-04-23 08:00:00-04:00	0.26	0.32	20.96
2025-01-22 08:00:00-05:00	0.25	0.28	9.23
2024-10-23 08:00:00-04:00	0.23	0.25	10.42
2024-07-24 08:00:00-04:00	0.2	0.22	7.63
2024-04-24 08:00:00-04:00	0.18	0.2	8.87
2024-01-24 08:00:00-05:00	0.19	0.21	7.02
2023-10-25 08:00:00-04:00	0.19	0.2	5.29
2023-07-26 08:00:00-04:00	0.17	0.18	5.86
2023-04-26 08:00:00-04:00	0.17	0.17	2.92
2023-01-25 08:00:00-05:00	0.19	0.2	4.37
2022-10-26 08:00:00-04:00	0.19	0.2	6.73
2022-07-27 08:00:00-04:00	0.17	0.19	11.02
2022-04-27 08:00:00-04:00	0.15	0.17	9.26
2022-01-26 08:00:00-05:00	0.15	0.18	13.31
2021-10-27 08:00:00-04:00	0.16	0.16	3.46
2021-07-28 08:00:00-04:00	0.13	0.15	13.0
2021-04-28 08:00:00-04:00	0.11	0.13	13.47
2021-01-27 08:00:00-05:00	0.13	0.14	10.44
2020-10-21 08:00:00-04:00	0.11	0.14	24.16
