Metric	Value
52WeekChange	0.2645507
SandP52WeekChange	0.26208222
address1	1100 Page Mill Road
allTimeHigh	745.61
allTimeLow	9.14
ask	525.0
askSize	1
auditRisk	1
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	4392710
averageDailyVolume3Month	4661490
averageVolume	4661490
averageVolume10days	4392710
beta	2.366
bid	520.6
bidSize	1
boardRisk	9
bookValue	7.028
city	Palo Alto
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Adam Arash Foroughi', 'age': 44, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1981, 'fiscalYear': 2025, 'totalPay': 410135, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew A. Stumpf', 'age': 41, 'title': 'Chief Financial Officer', 'yearBorn': 1984, 'fiscalYear': 2025, 'totalPay': 427324, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vasily  Shikin', 'age': 39, 'title': 'Chief Technology Officer', 'yearBorn': 1986, 'fiscalYear': 2025, 'totalPay': 837075, 'exercisedValue': 0, 'unexercisedValue': 374778720}, {'maxAge': 1, 'name': 'Ms. Victoria  Valenzuela', 'age': 51, 'title': 'Chief Administrative, Secretary & Legal Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 457000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dmitriy  Dorosh', 'title': 'Vice President Controller & Principal Accounting Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Hsiao', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Giovanni  Ge', 'title': 'Chief Product & Engineering Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	514.24
currentRatio	3.244
customPriceAlertConfidence	HIGH
dateShortInterest	1777507200
dayHigh	538.8199
dayLow	497.0001
debtToEquity	162.888
discount_to_intrinsic_value	20.85
displayName	AppLovin
earningsCallTimestampEnd	1778101200
earningsCallTimestampStart	1778101200
earningsGrowth	1.131
earningsQuarterlyGrowth	1.092
earningsTimestamp	1778097600
earningsTimestampEnd	1785960000
earningsTimestampStart	1785960000
ebitda	4872055808
ebitdaMargins	0.79038
enterpriseToEbitda	35.682
enterpriseToRevenue	28.202
enterpriseValue	173844955136
epsCurrentYear	16.6702
epsForward	21.92634
epsTrailingTwelveMonths	11.51
eps_normalized_growth	1.039559264839761
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	448.2922
fiftyDayAverageChange	65.947784
fiftyDayAverageChangePercent	0.14710893
fiftyTwoWeekChangePercent	26.455069
fiftyTwoWeekHigh	745.61
fiftyTwoWeekHighChange	-231.37
fiftyTwoWeekHighChangePercent	-0.31030968
fiftyTwoWeekLow	320.0
fiftyTwoWeekLowChange	194.23999
fiftyTwoWeekLowChangePercent	0.607
fiftyTwoWeekRange	320.0 - 745.61
financialCurrency	USD
firstTradeDateMilliseconds	1618493400000
floatShares	241436719
forwardEps	21.92634
forwardPE	23.45307
freeCashflow	3180097280
fullExchangeName	NasdaqGS
fullTimeEmployees	876
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1777593600
graham_intrinsic_value	649.71
grossMargins	0.88367
grossProfits	5447099904
hasPrePostMarketData	True
heldPercentInsiders	0.18406
heldPercentInstitutions	0.75049
impliedSharesOutstanding	335939521
industry	Advertising Agencies
industryDisp	Advertising Agencies
industryKey	advertising-agencies
ipoExpectedDate	2021-04-15
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps. The company offers Axon Ads Manager, a suite of marketing solutions that enables developers to automate, optimize, and manage marketing efforts; MAX, an in-app bidding technology that optimizes the value of a publisher's advertising inventory by running a real-time competitive auction; Adjust, a measurement and analytics marketing platform; and Wurl, a connected TV platform, which distributes streaming video for content companies, provides advertising and publishing solutions. It serves individuals, small and independent businesses, enterprises, advertisers and advertising networks, mobile app publishers, and indie studio developers. The company was incorporated in 2011 and is headquartered in Palo Alto, California.
longName	AppLovin Corporation
market	us_market
marketCap	172753534976
marketState	POST
maxAge	86400
messageBoardId	finmb_231651802
mostRecentQuarter	1774915200
netIncomeToCommon	3914972928
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	161815348475
numberOfAnalystOpinions	30
open	516.07
operatingCashflow	4439283200
operatingMargins	0.78151
overallRisk	10
payoutRatio	0.0
pegRatio	1.32
phone	800 839 9646
postMarketChange	-1.5501709
postMarketChangePercent	-0.3014489
postMarketPrice	512.6898
postMarketTime	1779839678
previousClose	481.68
priceEpsCurrentYear	30.847858
priceHint	2
priceToBook	73.17017
priceToSalesTrailing12Months	28.025331
profitMargins	0.6429
quickRatio	3.156
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.46875
region	US
regularMarketChange	32.559998
regularMarketChangePercent	6.759674
regularMarketDayHigh	538.8199
regularMarketDayLow	497.0001
regularMarketDayRange	497.0001 - 538.8199
regularMarketOpen	516.07
regularMarketPreviousClose	481.68
regularMarketPrice	514.24
regularMarketTime	1779825601
regularMarketVolume	6704150
returnOnAssets	0.44236
returnOnEquity	2.66444
revenueGrowth	0.59
revenuePerShare	18.228
sector	Communication Services
sectorDisp	Communication Services
sectorKey	communication-services
shareHolderRightsRisk	10
sharesOutstanding	305732000
sharesPercentSharesOut	0.033299997
sharesShort	11174036
sharesShortPreviousMonthDate	1774915200
sharesShortPriorMonth	13717613
shortName	Applovin Corporation
shortPercentOfFloat	0.0382
shortRatio	2.77
sourceInterval	15
state	CA
symbol	APP
targetHighPrice	860.0
targetLowPrice	340.0
targetMeanPrice	644.4667
targetMedianPrice	660.0
totalCash	2758671104
totalCashPerShare	8.212
totalDebt	3849840128
totalRevenue	6164192256
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	11.51
trailingPE	44.67767
trailingPegRatio	1.3242
triggerable	True
twoHundredDayAverage	534.0252
twoHundredDayAverageChange	-19.785217
twoHundredDayAverageChangePercent	-0.03704922
typeDisp	Equity
volume	6704150
website	https://www.applovin.com
zip	94304
