Metric	Value
52WeekChange	0.73169327
SandP52WeekChange	0.2795812
address1	110 Fulbourn Road
allTimeHigh	237.68
allTimeLow	46.5
ask	256.42
askSize	2
averageAnalystRating	1.9 - Buy
averageDailyVolume10Day	11249610
averageDailyVolume3Month	7495845
averageVolume	7495845
averageVolume10days	11249610
beta	3.406
bid	203.46
bidSize	1
bookValue	7.343
city	Cambridge
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Rene Anthony Andrada  Haas', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2025, 'totalPay': 3723000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jason E. Child', 'age': 56, 'title': 'Executive VP & CFO', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eric  Hayes', 'title': 'Executive Vice President of Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Laura  Bartels', 'title': 'Chief Accounting Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey Thomas Kvaal', 'title': 'VP & Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Spencer  Collins', 'age': 43, 'title': 'Executive VP, Chief Legal Officer, Company Secretary & Head of Corporate Development', 'yearBorn': 1982, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ami M. Badani', 'age': 46, 'title': 'Chief Marketing Officer', 'yearBorn': 1979, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Charlotte  Eaton', 'age': 42, 'title': 'Chief People Officer', 'yearBorn': 1983, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard  Grisenthwaite', 'age': 56, 'title': 'Executive VP & Chief Architect', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. William  Abbey', 'age': 54, 'title': 'Executive VP & Chief Commercial Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	United Kingdom
cryptoTradeable	False
currency	USD
currentPrice	203.26
currentRatio	5.427
customPriceAlertConfidence	HIGH
dateShortInterest	1776211200
dayHigh	215.45
dayLow	198.35
debtToEquity	5.912
discount_to_intrinsic_value	-3039.29
displayName	Arm
earningsCallTimestampEnd	1778101200
earningsCallTimestampStart	1778101200
earningsGrowth	-0.123
earningsQuarterlyGrowth	-0.115
earningsTimestamp	1778097600
earningsTimestampEnd	1778097600
earningsTimestampStart	1778097600
ebitda	1083800064
ebitdaMargins	0.23202999
enterpriseToEbitda	204.089
enterpriseToRevenue	47.354
enterpriseValue	221192159232
epsCurrentYear	1.76261
epsForward	2.1393
epsTrailingTwelveMonths	0.76
eps_normalized_growth	-0.06639425289764656
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	149.8375
fiftyDayAverageChange	53.4225
fiftyDayAverageChangePercent	0.35653627
fiftyTwoWeekChangePercent	73.16933
fiftyTwoWeekHigh	237.68
fiftyTwoWeekHighChange	-34.42
fiftyTwoWeekHighChangePercent	-0.14481656
fiftyTwoWeekLow	100.02
fiftyTwoWeekLowChange	103.24
fiftyTwoWeekLowChangePercent	1.0321935
fiftyTwoWeekRange	100.02 - 237.68
financialCurrency	USD
firstTradeDateMilliseconds	1694698200000
floatShares	136583820
forwardEps	2.1393
forwardPE	95.01238
freeCashflow	824750016
fullExchangeName	NasdaqGS
fullTimeEmployees	8330
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	6.47
grossMargins	0.97495
grossProfits	4553999872
hasPrePostMarketData	True
heldPercentInsiders	0.00045000002
heldPercentInstitutions	0.95045996
impliedSharesOutstanding	1061998569
industry	Semiconductors
industryDisp	Semiconductors
industryKey	semiconductors
ipoExpectedDate	2023-09-14
isEarningsDateEstimate	False
language	en-US
lastFiscalYearEnd	1743379200
longBusinessSummary	Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers arm central processing units, accelerators, system IP products, and compute platform products, as well as development tools and software. The company's products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the People's Republic of China, Taiwan, the Republic of Korea, and internationally. Arm Holdings plc has a strategic collaboration with International Business Machines Corporation. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of SoftBank Group Corp.
longName	Arm Holdings plc
market	us_market
marketCap	215861821440
marketState	POST
maxAge	86400
messageBoardId	finmb_667281196
mostRecentQuarter	1767139200
netIncomeToCommon	801000000
nextFiscalYearEnd	1774915200
nonDilutedMarketCap	224272857801
numberOfAnalystOpinions	36
open	212.5
operatingCashflow	1522000000
operatingMargins	0.15378
payoutRatio	0.0
pegRatio	2.54
phone	44 1223 400 400
postMarketChange	-1.0599976
postMarketChangePercent	-0.5214984
postMarketPrice	202.2
postMarketTime	1777933788
previousClose	211.07
priceEpsCurrentYear	115.31763
priceHint	2
priceToBook	27.680784
priceToSalesTrailing12Months	46.213192
profitMargins	0.17148
quickRatio	5.254
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.87179
region	US
regularMarketChange	-7.810013
regularMarketChangePercent	-3.7002
regularMarketDayHigh	215.45
regularMarketDayLow	198.35
regularMarketDayRange	198.35 - 215.45
regularMarketOpen	212.5
regularMarketPreviousClose	211.07
regularMarketPrice	203.26
regularMarketTime	1777924801
regularMarketVolume	6688580
returnOnAssets	0.05878
returnOnEquity	0.112679996
revenueGrowth	0.263
revenuePerShare	4.414
sector	Technology
sectorDisp	Technology
sectorKey	technology
sharesOutstanding	1061998569
sharesPercentSharesOut	0.015
sharesShort	15953489
sharesShortPreviousMonthDate	1773360000
sharesShortPriorMonth	14711957
shortName	Arm Holdings plc
shortPercentOfFloat	0.1146
shortRatio	1.9
sourceInterval	15
symbol	ARM
targetHighPrice	240.0
targetLowPrice	95.0
targetMeanPrice	171.9775
targetMedianPrice	175.0
totalCash	3542000128
totalCashPerShare	3.335
totalDebt	461000000
totalRevenue	4671000064
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	0.76
trailingPE	267.44736
trailingPegRatio	2.5435
triggerable	True
twoHundredDayAverage	141.28262
twoHundredDayAverageChange	61.97737
twoHundredDayAverageChangePercent	0.43867654
typeDisp	Equity
volume	6688580
website	https://www.arm.com
zip	CB1 9NJ
