Metric	Value
52WeekChange	1.2536523
SandP52WeekChange	0.20116603
address1	De Run 6501
allTimeHigh	1999.96
allTimeLow	2.374188
ask	1801.22
askSize	1
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	2343720
averageDailyVolume3Month	1940852
averageVolume	1940852
averageVolume10days	2343720
beta	1.394
bid	1861.39
bidSize	1
bookValue	1.10451
city	Veldhoven
