Metric	Value
52WeekChange	0.35478413
SandP52WeekChange	0.19895875
address1	Bank of America Corporate Center
address2	100 North Tryon Street
allTimeHigh	64.27
allTimeLow	0.828125
ask	64.07
askSize	1100
auditRisk	8
averageAnalystRating	1.5 - Buy
averageDailyVolume10Day	26580960
averageDailyVolume3Month	35470474
averageVolume	35470474
averageVolume10days	26580960
beta	1.168
bid	64.0
bidSize	2700
boardRisk	5
bookValue	39.342
city	Charlotte
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Brian Thomas Moynihan', 'age': 66, 'title': 'Chairman & CEO', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 2071793, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dean C. Athanasia', 'age': 58, 'title': 'Co-President', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 8560177, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James P. DeMare', 'age': 55, 'title': 'Co-President', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 10072530, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alastair M. Borthwick', 'age': 56, 'title': 'Executive VP & CFO', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 6750273, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew M. Koder', 'age': 53, 'title': 'President of Global Corporate & Investment Banking', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 7349082, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Thomas M. Scrivener', 'age': 53, 'title': 'Chief Operations Executive', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Johnbull E. Okpara', 'age': 53, 'title': 'Chief Accounting Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hari  Gopalkrishnan', 'age': 56, 'title': 'Chief Technology & Information Officer', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. E. Lee McEntire', 'title': 'Head of Investor Relations & Local Markets Organization', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lauren A. Mogensen J.D.', 'age': 62, 'title': 'Global General Counsel', 'yearBorn': 1963, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	6
corporateActions	[{'header': 'Dividend', 'message': 'BAC announced a cash dividend of $0.32 with an ex-date of Sep. 4, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1788494400000, 'amount': '0.32'}}]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	64.0
customPriceAlertConfidence	HIGH
dateShortInterest	1785456000
dayHigh	64.27
dayLow	63.74
discount_to_intrinsic_value	72.9
displayName	Bank of America
dividendDate	1790294400
dividendRate	1.28
dividendYield	2.0
earningsCallTimestampEnd	1792008000
earningsCallTimestampStart	1792008000
earningsGrowth	0.341
earningsQuarterlyGrowth	0.266
earningsTimestamp	1791981000
earningsTimestampEnd	1791981000
earningsTimestampStart	1791981000
ebitdaMargins	0.0
enterpriseToEbitda	-
enterpriseToRevenue	3.453
enterpriseValue	393374892032
epsCurrentYear	4.67546
epsForward	5.29619
epsTrailingTwelveMonths	4.33
eps_normalized_growth	0.2942303021707793
esgPopulated	False
exDividendDate	1788480000
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	58.8966
fiftyDayAverageChange	5.103401
fiftyDayAverageChangePercent	0.086650185
fiftyTwoWeekChangePercent	35.478413
fiftyTwoWeekHigh	64.27
fiftyTwoWeekHighChange	-0.26999664
fiftyTwoWeekHighChangePercent	-0.004200975
fiftyTwoWeekLow	46.12
fiftyTwoWeekLowChange	17.880001
fiftyTwoWeekLowChangePercent	0.38768435
fiftyTwoWeekRange	46.12 - 64.27
financialCurrency	USD
firstTradeDateMilliseconds	99153000000
fiveYearAvgDividendYield	2.35
floatShares	6795063369
forwardEps	5.29619
forwardPE	12.084159
fullExchangeName	NYSE
fullTimeEmployees	211000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1785542400
graham_intrinsic_value	236.13
grossMargins	0.0
grossProfits	113931001856
hasPrePostMarketData	True
