Metric	Value
allTimeHigh	42.22
allTimeLow	3.75
ask	12.47
askSize	1800
averageDailyVolume10Day	80480
averageDailyVolume3Month	96160
averageVolume	96160
averageVolume10days	80480
beta3Year	2.42
bid	12.37
bidSize	800
category	Miscellaneous Sector
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	12.555
dayLow	12.32
dividendYield	0.0
epsTrailingTwelveMonths	1.526715
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	11.951
fiftyDayAverageChange	0.36899948
fiftyDayAverageChangePercent	0.030876033
fiftyTwoWeekChangePercent	113.2879
fiftyTwoWeekHigh	13.34
fiftyTwoWeekHighChange	-1.0200005
fiftyTwoWeekHighChangePercent	-0.0764618
fiftyTwoWeekLow	5.51
fiftyTwoWeekLowChange	6.8099995
fiftyTwoWeekLowChangePercent	1.2359345
fiftyTwoWeekRange	5.51 - 13.34
firstTradeDateMilliseconds	1521725400000
fiveYearAverageReturn	-0.1475882
fullExchangeName	NYSEArca
fundFamily	Amplify ETFs
fundInceptionDate	1521590400
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund seeks to achieve its investment objective by investing substantially all of its assets in the Freight Futures currently constituting the Benchmark Portfolio. The Benchmark Portfolio includes a combination of Capesize, Panamax and Supramax Freight Futures.
longName	Breakwave Dry Bulk Shipping ETF
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_539579359
navPrice	12.7025
netAssets	40492552.0
netExpenseRatio	3.5
open	12.52
phone	(908) 897-0510
postMarketChange	-0.28359985
postMarketChangePercent	-2.3019469
postMarketPrice	12.0364
postMarketTime	1781303239
previousClose	12.52
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.200001
regularMarketChangePercent	-1.59745
regularMarketDayHigh	12.555
regularMarketDayLow	12.32
regularMarketDayRange	12.32 - 12.555
regularMarketOpen	12.52
regularMarketPreviousClose	12.52
regularMarketPrice	12.32
regularMarketTime	1781294400
regularMarketVolume	46369
shortName	Breakwave Dry Bulk Shipping ETF
sourceInterval	15
symbol	BDRY
threeYearAverageReturn	0.2552596
totalAssets	40492552
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	8.069613
trailingPegRatio	None
trailingThreeMonthNavReturns	6.76736
trailingThreeMonthReturns	6.76736
triggerable	True
twoHundredDayAverage	9.955285
twoHundredDayAverageChange	2.3647146
twoHundredDayAverageChangePercent	0.2375336
typeDisp	ETF
volume	46369
yield	0.0
ytdReturn	48.20428
