Metric	Value
52WeekChange	0.07035279
SandP52WeekChange	0.27697718
address1	50 Hudson Yards
allTimeHigh	1219.94
allTimeLow	12.5
ask	1020.73
askSize	80
auditRisk	3
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	672130
averageDailyVolume3Month	780358
averageVolume	780358
averageVolume10days	672130
beta	1.456
bid	1020.7
bidSize	40
boardRisk	7
bookValue	364.87
city	New York
