Metric	Value
52WeekChange	0.15006042
SandP52WeekChange	0.16653454
address1	1 St James's Square
allTimeHigh	79.77
allTimeLow	0.619835
ask	38.03
askSize	600
averageAnalystRating	2.8 - Hold
averageDailyVolume10Day	9392010
averageDailyVolume3Month	8809211
averageVolume	8809211
averageVolume10days	9392010
beta	0.055
bid	37.98
bidSize	2500
bookValue	3.443
city	London
companyOfficers	[{'maxAge': 1, 'name': 'Ms. Katherine Anne Thomson', 'age': 57, 'title': 'CFO & Director', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 1781403, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Murray  Auchincloss', 'age': 55, 'title': 'Advisor', 'yearBorn': 1970, 'fiscalYear': 2024, 'totalPay': 3532980, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carol-Lee  Howle', 'age': 53, 'title': 'Interim CEO & Director', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Gordon  Birrell', 'age': 61, 'title': 'Executive Vice President of Production & Operations', 'yearBorn': 1964, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Emeka  Emembolu', 'title': 'Executive Vice President of Technology', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Craig  Marshall C.M.A.', 'title': 'Group Head of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mike  Sosso', 'title': 'Executive Vice President of Legal', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kerry  Dryburgh', 'title': 'EVP of People, Culture & Communications and Chief Human Resources & Communications Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anthony  Harbridge', 'title': 'Head of Executive Office, Alternative Energy & Regions', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Spencer  Dale', 'title': 'Group Chief Economist', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
corporateActions	[]
country	United Kingdom
cryptoTradeable	False
currency	USD
currentPrice	37.99
currentRatio	1.263
customPriceAlertConfidence	HIGH
dateShortInterest	1770940800
dayHigh	38.495
dayLow	37.265
debtToEquity	98.012
displayName	BP p.l.c
dividendDate	1774569600
dividendRate	2.0
dividendYield	5.24
earningsCallTimestampEnd	1770728400
earningsCallTimestampStart	1770728400
earningsTimestamp	1777383000
earningsTimestampEnd	1777383000
earningsTimestampStart	1777383000
ebitda	33840001024
ebitdaMargins	0.18035
