Metric	Value
allTimeHigh	126198.07
allTimeLow	171.51
averageDailyVolume10Day	28074810984
averageDailyVolume3Month	27161482032
averageVolume	27161482032
averageVolume10days	28074810984
blockNumber	771565
blockReward	6.25
blockRewardReduction	50%
circulatingSupply	20085856
coinImageUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
coinMarketCapLink	https://coinmarketcap.com/currencies/bitcoin
companyOfficers	[]
corporateActions	[]
cryptoTradeable	True
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	65713.91
dayLow	64182.797
description	Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 20,085,665. The last known price of Bitcoin is 76,706.69464171 USD and is up 1.47 over the last 24 hours. It is currently trading on 12751 active market(s) with $30,609,492,193.45 traded over the last 24 hours. More information can be found at https://bitcoin.org/.
esgPopulated	False
exchange	CCC
exchangeDataDelayedBy	0
exchangeTimezoneName	UTC
exchangeTimezoneShortName	UTC
executiveTeam	[]
fiftyDayAverage	71899.266
fiftyDayAverageChange	4642.508
fiftyDayAverageChangePercent	0.064569615
fiftyTwoWeekChangePercent	-34.99049
fiftyTwoWeekHigh	126198.07
fiftyTwoWeekHighChange	-49656.297
fiftyTwoWeekHighChangePercent	-0.39347905
fiftyTwoWeekLow	57747.766
fiftyTwoWeekLowChange	18794.008
fiftyTwoWeekLowChangePercent	0.32544994
fiftyTwoWeekRange	57747.766 - 126198.07
firstTradeDateMilliseconds	1410912000000
fromCurrency	BTC
fullExchangeName	CCC
fulldayChange	243.73438
fulldayChangePercent	0.31945038
fulldayPrice	76541.77
fullyDilutedValue	1342445343750
gmtOffSetMilliseconds	0
hasPrePostMarketData	False
language	en-US
lastMarket	Coinbase
logoUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
longName	Bitcoin USD
market	ccc_market
marketCap	1535917948928
marketState	REGULAR
maxAge	86400
maxSupply	21000000
messageBoardId	finmb_BTC_CCC
name	Bitcoin
netHashesPerSecond	244051282584378770000
open	65047.87
previousClose	65047.87
priceHint	2
quoteSourceName	CoinMarketCap
quoteType	CRYPTOCURRENCY
region	US
regularMarketChange	243.73438
regularMarketChangePercent	0.31945038
regularMarketDayHigh	76585.664
regularMarketDayLow	76300.22
regularMarketDayRange	76300.22 - 76585.664
regularMarketOpen	76350.68
regularMarketPreviousClose	76350.68
regularMarketPrice	76541.77
regularMarketTime	1789694522
regularMarketVolume	21058869248
shortName	Bitcoin USD
sourceInterval	15
startDate	1278979200
symbol	BTC-USD
toCurrency	USD=X
totalSupply	20085856
tradeable	False
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	70283.5
twoHundredDayAverageChange	6258.2734
twoHundredDayAverageChangePercent	0.08904328
typeDisp	Cryptocurrency
volume	25416081408
volume24Hr	21058869248
volume24HrMarketCapPercent	0.019739863
volumeAllCurrencies	21058869248
website	https://bitcoin.org/
whitepaper	https://bitcoin.org/bitcoin.pdf
