Metric	Value
52WeekChange	0.89014184
SandP52WeekChange	0.2794361
address1	2121 - 11th Street West
allTimeHigh	135.24
allTimeLow	1.697917
ask	113.4
askSize	400
auditRisk	2
averageAnalystRating	1.8 - Buy
averageDailyVolume10Day	2904730
averageDailyVolume3Month	3293335
averageVolume	3293335
averageVolume10days	2904730
beta	1.03
bid	111.82
bidSize	300
boardRisk	3
bookValue	11.715057
city	Saskatoon
