Metric	Value
52WeekChange	0.19035757
SandP52WeekChange	0.1602385
address1	Building 5
address2	2655 Seely Avenue
allTimeHigh	376.45
allTimeLow	0.861111
ask	280.24
askSize	2
auditRisk	3
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	3251760
averageDailyVolume3Month	2106715
averageVolume	2106715
averageVolume10days	3251760
beta	1.005
bid	279.37
bidSize	4
boardRisk	5
bookValue	20.141
city	San Jose
