Metric	Value
allTimeHigh	78.34
allTimeLow	13.92
ask	78.35
askSize	1
averageDailyVolume10Day	1326350
averageDailyVolume3Month	1726591
averageVolume	1726591
averageVolume10days	1326350
beta3Year	0.71
bid	67.62
bidSize	1
category	Technology
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	73.63
dayLow	72.22
dividendDate	1483056000
dividendYield	0.61
epsTrailingTwelveMonths	2.337817
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	65.2112
fiftyDayAverageChange	7.9288025
fiftyDayAverageChangePercent	0.12158652
fiftyTwoWeekChangePercent	2.4230003
fiftyTwoWeekHigh	78.34
fiftyTwoWeekHighChange	-5.199997
fiftyTwoWeekHighChangePercent	-0.0663773
fiftyTwoWeekLow	60.07
fiftyTwoWeekLowChange	13.07
fiftyTwoWeekLowChangePercent	0.21757948
fiftyTwoWeekRange	60.07 - 78.34
firstTradeDateMilliseconds	1436275800000
fiveYearAverageReturn	0.1103154
fullExchangeName	NasdaqGM
fundFamily	First Trust
fundInceptionDate	1436140800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes securities of companies classified as "cyber security" companies by CTA. The fund is non-diversified.
longName	First Trust NASDAQ Cybersecurity ETF
market	us_market
marketState	POST
maxAge	86400
messageBoardId	finmb_303124248
navPrice	70.27
netAssets	10193096700.0
netExpenseRatio	0.58
open	72.38
phone	630-241-4141
postMarketChange	0.3320999
postMarketChangePercent	0.45406058
postMarketPrice	73.4721
postMarketTime	1778187909
previousClose	70.17
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	2.9700012
regularMarketChangePercent	4.2325797
regularMarketDayHigh	73.63
regularMarketDayLow	72.22
regularMarketDayRange	72.22 - 73.63
regularMarketOpen	72.38
regularMarketPreviousClose	70.17
regularMarketPrice	73.14
regularMarketTime	1778184001
regularMarketVolume	1499861
shortName	First Trust NASDAQ Cybersecurit
sourceInterval	15
symbol	CIBR
threeYearAverageReturn	0.2153606
totalAssets	10193096704
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	31.285597
trailingPegRatio	None
trailingThreeMonthNavReturns	-2.08946
trailingThreeMonthReturns	-2.08946
triggerable	True
twoHundredDayAverage	71.1438
twoHundredDayAverageChange	1.9962006
twoHundredDayAverageChangePercent	0.028058672
typeDisp	ETF
volume	1499861
yield	0.0061000003
ytdReturn	-5.35223
