Metric	Value
allTimeHigh	147.27
allTimeLow	-40.32
ask	97.69
askSize	0
averageDailyVolume10Day	295030
averageDailyVolume3Month	390331
averageVolume	390331
averageVolume10days	295030
bid	97.5
bidSize	0
contractSymbol	False
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dayHigh	97.99
dayLow	89.85
esgPopulated	False
exchange	NYM
exchangeDataDelayedBy	10
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
expireDate	1779148800
expireIsoDate	2026-05-19T00:00:00Z
fiftyDayAverage	93.2912
fiftyDayAverageChange	4.368805
fiftyDayAverageChangePercent	0.046829764
fiftyTwoWeekChangePercent	58.704723
fiftyTwoWeekHigh	119.48
fiftyTwoWeekHighChange	-21.82
fiftyTwoWeekHighChangePercent	-0.1826247
fiftyTwoWeekLow	54.98
fiftyTwoWeekLowChange	42.680004
fiftyTwoWeekLowChangePercent	0.77628237
fiftyTwoWeekRange	54.98 - 119.48
firstTradeDateMilliseconds	967003200000
fullExchangeName	NY Mercantile
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
headSymbolAsString	CL=F
language	en-US
market	us24_market
marketState	REGULAR
maxAge	86400
open	96.3
openInterest	239289
previousClose	95.08
priceHint	2
quoteSourceName	Delayed Quote
quoteType	FUTURE
region	US
regularMarketChange	2.5800018
regularMarketChangePercent	2.7135062
regularMarketDayHigh	97.99
regularMarketDayLow	89.85
regularMarketDayRange	89.85 - 97.99
regularMarketOpen	96.3
regularMarketPreviousClose	95.08
regularMarketPrice	97.66
regularMarketTime	1778187599
regularMarketVolume	352316
shortName	Crude Oil Jun 26
sourceInterval	30
symbol	CL=F
tradeable	False
trailingPegRatio	None
triggerable	False
twoHundredDayAverage	69.42015
twoHundredDayAverageChange	28.239853
twoHundredDayAverageChangePercent	0.4067962
typeDisp	Futures
underlyingExchangeSymbol	CLM26.NYM
underlyingSymbol	CLM26.NYM
volume	352316
