Metric	Value
52WeekChange	0.10860145
SandP52WeekChange	0.32942438
address1	935 de La Gauchetiere Street West
allTimeHigh	137.19
allTimeLow	2.822917
ask	111.0
askSize	300
auditRisk	3
averageAnalystRating	2.2 - Buy
averageDailyVolume10Day	1322080
averageDailyVolume3Month	1785966
averageVolume	1785966
averageVolume10days	1322080
beta	0.961
bid	106.01
bidSize	200
boardRisk	1
bookValue	25.54355
city	Montreal
companyOfficers	[{'maxAge': 1, 'name': 'Ms. Tracy A. Robinson', 'age': 61, 'title': 'President, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 2845358, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ghislain  Houle CPA', 'age': 61, 'title': 'Executive VP & CFO', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1414161, 'exercisedValue': 454773, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Patrick Timothy Whitehead', 'age': 49, 'title': 'Executive VP & COO', 'yearBorn': 1976, 'fiscalYear': 2025, 'totalPay': 1569908, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bhushan N. Ivaturi', 'title': 'Executive VP and Chief Information & Technology Officer', 'fiscalYear': 2025, 'totalPay': 947484, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Janet  Drysdale', 'age': 53, 'title': 'Executive VP & Chief Commercial Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 922407, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jamie  Lockwood', 'title': 'Vice President of Investor Relations & Special Projects', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Olivier  Chouc', 'title': 'Senior VP & Chief Legal Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Josée  Girard', 'title': 'Senior VP & Chief Human Resources Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James  Thompson', 'title': 'Senior Vice-President of Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Patrick  Lortie', 'title': 'Senior VP & Chief Strategy and Stakeholder Relations Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	Canada
cryptoTradeable	False
currency	USD
currentPrice	108.96
currentRatio	0.669
customPriceAlertConfidence	HIGH
dateShortInterest	1774915200
dayHigh	110.63
dayLow	108.74
debtToEquity	100.287
discount_to_intrinsic_value	25.03
dividendDate	1774915200
dividendRate	2.63
dividendYield	2.39
earningsCallTimestampEnd	1777465800
earningsCallTimestampStart	1777465800
earningsGrowth	0.114
earningsQuarterlyGrowth	0.089
earningsTimestamp	1777465800
earningsTimestampEnd	1777465800
earningsTimestampStart	1777465800
ebitda	9061000192
ebitdaMargins	0.52364
enterpriseToEbitda	9.701
enterpriseToRevenue	5.08
enterpriseValue	87898144768
epsCurrentYear	7.86799
epsForward	6.385069
epsTrailingTwelveMonths	5.49
eps_normalized_growth	0.08655437412621136
esgPopulated	False
exDividendDate	1773100800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	105.8702
fiftyDayAverageChange	3.089798
fiftyDayAverageChangePercent	0.029184775
fiftyTwoWeekChangePercent	10.860146
fiftyTwoWeekHigh	113.09
fiftyTwoWeekHighChange	-4.1299973
fiftyTwoWeekHighChangePercent	-0.036519565
fiftyTwoWeekLow	90.74
fiftyTwoWeekLowChange	18.220001
fiftyTwoWeekLowChangePercent	0.20079349
fiftyTwoWeekRange	90.74 - 113.09
financialCurrency	CAD
firstTradeDateMilliseconds	849018600000
fiveYearAvgDividendYield	2.02
floatShares	594366396
forwardEps	6.385069
forwardPE	17.064812
freeCashflow	2382249984
fullExchangeName	NYSE
fullTimeEmployees	23839
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1775001600
graham_intrinsic_value	145.34
grossMargins	0.56668997
grossProfits	9806000128
hasPrePostMarketData	True
heldPercentInsiders	0.026730001
heldPercentInstitutions	0.74717003
impliedSharesOutstanding	612185113
industry	Railroads
industryDisp	Railroads
industryKey	railroads
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1773100800
lastDividendValue	0.674
lastFiscalYearEnd	1767139200
lastSplitDate	1385942400
lastSplitFactor	2:1
longBusinessSummary	Canadian National Railway Company, together with its subsidiaries, engages in the rail, intermodal, trucking, and related transportation businesses in Canada and the United States. The company provides rail services, which include equipment, customs brokerage, transloading and warehousing, business development, dimensional loads, and private railcar storage, less-than-truckload, and mexico services; intermodal services, such as temperature controlled multimodal, mobile transport trays, port partnerships, transloading and distribution, logistics parks, trucking, and supply chain services. It also offers connecting to rail, short lines, maps and network services. The company serves automotive, coal, fertilizers, temperature controlled cargo, forest products, dimensional, grain, metal and minerals, petroleum and chemicals, consumer goods, and third party logistics applications. Canadian National Railway Company was incorporated in 1919 and is headquartered in Montreal, Canada.
longName	Canadian National Railway Company
market	us_market
marketCap	66703687680
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_353020
mostRecentQuarter	1767139200
netIncomeToCommon	4720000000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	67044313879
numberOfAnalystOpinions	13
open	109.88
operatingCashflow	7048999936
operatingMargins	0.42406
overallRisk	3
payoutRatio	0.469
pegRatio	2.119
phone	888 888 5909
postMarketChange	1.2300034
postMarketChangePercent	1.1288577
postMarketPrice	110.19
postMarketTime	1776383837
previousClose	109.94
priceEpsCurrentYear	13.848517
priceHint	2
priceToBook	4.265656
priceToSalesTrailing12Months	3.854813
profitMargins	0.27277002
quickRatio	0.397
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.2
region	US
regularMarketChange	-0.980003
regularMarketChangePercent	-0.891398
regularMarketDayHigh	110.63
regularMarketDayLow	108.74
regularMarketDayRange	108.74 - 110.63
regularMarketOpen	109.88
regularMarketPreviousClose	109.94
regularMarketPrice	108.96
regularMarketTime	1776369602
regularMarketVolume	1074419
returnOnAssets	0.077010006
returnOnEquity	0.2215
revenueGrowth	0.024
revenuePerShare	27.771
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
shareHolderRightsRisk	7
sharesOutstanding	611400000
sharesPercentSharesOut	0.0034
sharesShort	5237027
sharesShortPreviousMonthDate	1772150400
sharesShortPriorMonth	6302164
shortName	Canadian National Railway Compa
shortRatio	1.15
sourceInterval	15
state	QC
symbol	CNI
targetHighPrice	132.06966
targetLowPrice	99.048225
targetMeanPrice	114.78678
targetMedianPrice	114.0167
totalCash	350000000
totalCashPerShare	0.572
totalDebt	21629999104
totalRevenue	17304000512
tradeable	False
trailingAnnualDividendRate	3.55
trailingAnnualDividendYield	0.03229034
trailingEps	5.49
trailingPE	19.846994
trailingPegRatio	2.5207
triggerable	True
twoHundredDayAverage	99.01515
twoHundredDayAverageChange	9.944847
twoHundredDayAverageChangePercent	0.100437626
typeDisp	Equity
volume	1074419
website	https://www.cn.ca
zip	H3B 2M9
