Metric	Value
52WeekChange	-0.25305998
SandP52WeekChange	0.25818658
address1	One Madison Avenue
address2	Suite 2400
allTimeHigh	444.65
allTimeLow	31.55
ask	197.0
askSize	1
auditRisk	10
averageAnalystRating	2.0 - Buy
averageDailyVolume10Day	10985510
averageDailyVolume3Month	11391608
averageVolume	11391608
averageVolume10days	10985510
beta	3.381
bid	178.09
bidSize	5
boardRisk	10
bookValue	51.177
city	New York
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Brian  Armstrong', 'age': 42, 'title': 'Co-Founder, Chairman & CEO', 'yearBorn': 1983, 'fiscalYear': 2025, 'totalPay': 9713000, 'exercisedValue': 39133852, 'unexercisedValue': 1675806336}, {'maxAge': 1, 'name': 'Ms. Emilie M. Choi', 'age': 46, 'title': 'President & COO', 'yearBorn': 1979, 'fiscalYear': 2025, 'totalPay': 2196839, 'exercisedValue': 30390270, 'unexercisedValue': 192454368}, {'maxAge': 1, 'name': 'Mr. Frederick Ernest Ehrsam III', 'age': 36, 'title': 'Co-Founder & Independent Director', 'yearBorn': 1989, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Alesia Jeanne Haas', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'fiscalYear': 2025, 'totalPay': 740500, 'exercisedValue': 0, 'unexercisedValue': 152466336}, {'maxAge': 1, 'name': 'Mr. Paul  Grewal J.D.', 'age': 53, 'title': 'Chief Legal Officer & Corporate Secretary', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 740500, 'exercisedValue': 26650546, 'unexercisedValue': 71806000}, {'maxAge': 1, 'name': 'Mr. Lawrence J. Brock', 'age': 53, 'title': 'Chief People Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 740500, 'exercisedValue': 0, 'unexercisedValue': 3250937}, {'maxAge': 1, 'name': 'Ms. Jennifer N. Jones', 'title': 'Chief Accounting Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anil K. Gupta', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Faryar  Shirzad', 'title': 'Chief Policy Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Daniel  Seifert', 'title': 'VP & Regional MD of EMEA', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	191.29
currentRatio	2.141
customPriceAlertConfidence	HIGH
dateShortInterest	1777507200
dayHigh	196.6205
dayLow	189.73
debtToEquity	59.081
discount_to_intrinsic_value	-413.62
displayName	Coinbase Global
earningsCallTimestampEnd	1778189400
earningsCallTimestampStart	1778189400
earningsTimestamp	1778184000
earningsTimestampEnd	1785441600
earningsTimestampStart	1785441600
ebitda	1002446976
ebitdaMargins	0.15946999
enterpriseToEbitda	47.807
enterpriseToRevenue	7.624
enterpriseValue	47923830784
epsCurrentYear	1.31036
epsForward	4.99367
epsTrailingTwelveMonths	2.73
eps_normalized_growth	-0.1247628031454382
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	191.4492
fiftyDayAverageChange	-0.1592102
fiftyDayAverageChangePercent	-0.00083160546
fiftyTwoWeekChangePercent	-25.305998
fiftyTwoWeekHigh	444.65
fiftyTwoWeekHighChange	-253.36
fiftyTwoWeekHighChangePercent	-0.5697965
fiftyTwoWeekLow	139.36
fiftyTwoWeekLowChange	51.929993
fiftyTwoWeekLowChangePercent	0.37263197
fiftyTwoWeekRange	139.36 - 444.65
financialCurrency	USD
firstTradeDateMilliseconds	1618407000000
floatShares	219357434
forwardEps	4.99367
forwardPE	38.306496
freeCashflow	2407562752
fullExchangeName	NasdaqGS
fullTimeEmployees	4951
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1777593600
graham_intrinsic_value	37.57
grossMargins	0.85475
grossProfits	5372901888
hasPrePostMarketData	True
heldPercentInsiders	0.01324
heldPercentInstitutions	0.68345
impliedSharesOutstanding	263460766
industry	Financial Data & Stock Exchanges
industryDisp	Financial Data & Stock Exchanges
industryKey	financial-data-stock-exchanges
ipoExpectedDate	2021-04-14
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	Coinbase Global, Inc. operates platform for crypto assets in the United States and internationally. It provides the primary financial account in the crypto economy for consumers; a brokerage platform with a pool of liquidity across the crypto marketplace for institutions; and a suite of products granting access to build onchain for developers. The company was founded in 2012 and is based in New York, New York.
longName	Coinbase Global, Inc.
market	us_market
marketCap	50397409280
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_377154867
mostRecentQuarter	1774915200
netIncomeToCommon	800601984
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	50966485181
numberOfAnalystOpinions	28
open	193.75
operatingCashflow	1756433024
operatingMargins	-0.07097
overallRisk	10
payoutRatio	0.0
pegRatio	1.01
phone	888 908 7930
postMarketChange	0.16000366
postMarketChangePercent	0.083644554
postMarketPrice	191.45
postMarketTime	1779321587
previousClose	193.45
priceEpsCurrentYear	145.98279
priceHint	2
priceToBook	3.7378118
priceToSalesTrailing12Months	8.01745
profitMargins	0.12736
quickRatio	1.176
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.0303
region	US
regularMarketChange	-2.16
regularMarketChangePercent	-1.11657
regularMarketDayHigh	196.6205
regularMarketDayLow	189.73
regularMarketDayRange	189.73 - 196.6205
regularMarketOpen	193.75
regularMarketPreviousClose	193.45
regularMarketPrice	191.29
regularMarketTime	1779307201
regularMarketVolume	7004891
returnOnAssets	0.01926
returnOnEquity	0.06686
revenueGrowth	-0.308
revenuePerShare	23.918
sector	Financial Services
sectorDisp	Financial Services
sectorKey	financial-services
shareHolderRightsRisk	10
sharesOutstanding	222426875
sharesPercentSharesOut	0.0983
sharesShort	25905673
sharesShortPreviousMonthDate	1774915200
sharesShortPriorMonth	24072301
shortName	Coinbase Global, Inc.
shortPercentOfFloat	0.118
shortRatio	2.6
sourceInterval	15
state	NY
symbol	COIN
targetHighPrice	400.0
targetLowPrice	107.0
targetMeanPrice	231.60963
targetMedianPrice	225.0
totalCash	10438001664
totalCashPerShare	39.619
totalDebt	7964423168
totalRevenue	6285964800
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	2.73
trailingPE	70.069595
trailingPegRatio	1.0351
triggerable	True
twoHundredDayAverage	252.87305
twoHundredDayAverageChange	-61.583054
twoHundredDayAverageChangePercent	-0.24353348
typeDisp	Equity
volume	7004891
