Metric	Value
52WeekChange	1.3128982
SandP52WeekChange	0.27449715
address1	838 Walker Road
address2	Suite 21-2105
allTimeHigh	30.46
allTimeLow	2.61
ask	36.95
askSize	2
auditRisk	10
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	14902770
averageDailyVolume3Month	14016058
averageVolume	14016058
averageVolume10days	14902770
beta	5.451
bid	21.03
bidSize	2
boardRisk	10
bookValue	-4.12
city	Dover
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Adam  Sullivan', 'age': 33, 'title': 'CEO, President & Director', 'yearBorn': 1992, 'fiscalYear': 2025, 'totalPay': 2917530, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James P. Nygaard Jr.', 'age': 50, 'title': 'Executive VP & CFO', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 1799604, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Todd M. Duchene J.D.', 'age': 61, 'title': 'Executive VP, Chief Legal and Administrative Officer & Secretary', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 1573846, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matt  Brown', 'title': 'Chief Operating Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jorge  Ray', 'age': 42, 'title': 'Chief Accounting Officer', 'yearBorn': 1983, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Larry  Kom Ph.D.', 'title': 'Chief Technology Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan David Charbonneau', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Bros', 'title': 'Executive Vice President of Corporate Development & Strategy', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sean T. Kimble', 'age': 60, 'title': 'Chief Human Resources Officer', 'yearBorn': 1965, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeff  Taylor', 'title': 'Chief Information Security Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	9
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	28.93
currentRatio	0.547
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	29.6915
dayLow	28.5138
displayName	Core Scientific
earningsCallTimestampEnd	1778099400
earningsCallTimestampStart	1778099400
earningsTimestamp	1778097600
earningsTimestampEnd	1778097600
earningsTimestampStart	1778097600
ebitda	-96737000
ebitdaMargins	-0.2727
enterpriseToEbitda	-107.352
enterpriseToRevenue	29.275
enterpriseValue	10384928768
epsCurrentYear	-1.16
epsForward	0.29667
epsTrailingTwelveMonths	-3.36
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	20.9346
fiftyDayAverageChange	7.9953995
fiftyDayAverageChangePercent	0.38192272
fiftyTwoWeekChangePercent	131.28981
fiftyTwoWeekHigh	30.46
fiftyTwoWeekHighChange	-1.5299988
fiftyTwoWeekHighChangePercent	-0.05022977
fiftyTwoWeekLow	10.93
fiftyTwoWeekLowChange	18.0
fiftyTwoWeekLowChangePercent	1.6468436
fiftyTwoWeekRange	10.93 - 30.46
financialCurrency	USD
firstTradeDateMilliseconds	1706106600000
floatShares	255576596
forwardEps	0.29667
forwardPE	97.51576
freeCashflow	174972256
fullExchangeName	NasdaqGS
fullTimeEmployees	325
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780272000
grossMargins	0.2156
grossProfits	76481000
hasPrePostMarketData	True
heldPercentInsiders	0.03382
heldPercentInstitutions	1.2459201
impliedSharesOutstanding	317885292
industry	Software - Infrastructure
industryDisp	Software - Infrastructure
industryKey	software-infrastructure
ipoExpectedDate	2024-01-24
isEarningsDateEstimate	False
language	en-US
lastFiscalYearEnd	1767139200
