Date	Source	Sentiment	Headline	Summary	URL
2026-03-31	Google	1.0	Did Sixers' Loss to Heat Cost Them a Top-6 Playoff Seed? Here's Our Best Guess - Sports Illustrated		https://news.google.com/rss/articles/CBMixwFBVV95cUxPVUJHMWdZTGlaTTBSNDNCRk91RGZGbzYxNU1Xb2YwaFNzdlNxdTVPT3pPSGZ1Rlc5eEktelZlb3dnaWJ3Wk1MaDlIZF9hRWRja2VEdnRHNW5oeV9SbUk4THN1dTdQXzh2ZXpnZXV1TFUwdS02OTltalpXR2ctUDcxYzl5TmdqN0NPNlExR0hKMmRYSUZUYW5sYXhTRVZJWnVhZDRiNTRVc2NoSWxSbEx5ZmZheGwtWUp1U0FlMDZ5N0R3SXAtUl9F?oc=5
2026-03-31	Google	1.0	Why Austin, MN is the Perfect Place for a No-Cost Day Trip - 106.9 KROC		https://news.google.com/rss/articles/CBMiV0FVX3lxTE9LWVJjQ3lGQkhjVm9vdmxBcFpVRzFwZFNmX3NyZ2dYOEwtci03MURoYzFtMEZOQXU2QTRtOVVrOHpjeUZVYUc1akJJbnRkSks4dU5EWGNSNA?oc=5
2026-03-31	Google	0.5	Google unveils its most cost-effective AI video model Veo 3.1 Lite - Seeking Alpha		https://news.google.com/rss/articles/CBMipgFBVV95cUxNeHg0NVByUjBmZ25PYkpDUkNlbFlJa0ZySE0zOG1pTzE5eEg5bzFKcmVKaUYxYkliaWxYTUxoZDl6SWVfSktzdEJBcVg0aEcycXFsNnV5ZGRNLU1BYWZta09vMXNVMDBFUjJCUHJtUVBsWHZETzR5NHdScUhCT19wVzN1dW9YbnUzZTZlMlEzRnZqd05pa0Zpem1MLV9PbjhKUWhaYXdB?oc=5
2026-03-31	Google	0.5	How Much Does A Fighter Jet Cost To Fly Per Hour? - simpleflying.com		https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5taUpFYXJ2X2RsdERUdDFLYUxSZjNfZ2EyYzBfSHRjRlpGUXVkRWlXUjNYMDdtSk83Nm5IWGtNTkY3RWhYb3c5bHZBdlMtMXFQNnlqbG9ESDMwZ2t3VXNQUHFFSnNHNFE?oc=5
2026-03-31	Google	0.5	Shampoo, food, and aspirin: The rising cost of oil affects a lot more than just your gas tank - WBEZ Chicago		https://news.google.com/rss/articles/CBMi7AFBVV95cUxObUJwUVA1UGpPR0ZONUdSSURQWG1pel9nWkU1R01GcHl2aTd6MkRvdWQ5WEhPNkZpRTZUY2wzbWpjWXJnbW5XaDVIZHNrUUNtUmF4UUdhVGkwdnBpcEtJUllWaU9fb2hhVnJQS2lEUFYybmxCbUV6bkFOejZNaVBPdk1jVlh2bGVRcG1MWlk5YVVUckNJR1BUWVJNNWsxODh0QjFraDlQWm85bFFyUUZQX3dLN1hrc0FYMUphMHoyc2tyR09ZV1NQOFBzeXVndEVoN0RtdnRicVhyUGY5elA4MG1uZVl3eDlSMXZtTA?oc=5
2026-03-31	Google	0.5	Wall Street Downgrades Procter & Gamble Amid Iran War Cost Pressures and More - 24/7 Wall St.		https://news.google.com/rss/articles/CBMiuwFBVV95cUxPV0JKdFlZUGFXVGIxUUozQVI5bjJLWFZ3Z0VWelNoMFp3Z3dpQ0hCRVpFMTVRRlEwS2htSlg1cXNCMTlLdnVScEI1TnEwekdXcXRsTExCdlhJa29FYTdRTERmR0t6eDhaLWpiRkJST2w0QmlpREFBUFlQZEZjOTN1eWZBeTN5cHoyMnRBTWo5LVEwMUpCZ2tVbEdLQmZwelFjVFJMS0c0bVI5WXdQc1FOdGhZc1duaUJwRlpV?oc=5
2026-03-31	Google	0.4	Fantastic Sams Franchise Cost, Fees, Profit & Data for 2026 - 1851 Franchise		https://news.google.com/rss/articles/CBMigAFBVV95cUxOSk9FQUR2Wmtrck4yaUxQVUt6WjZQQmRuNzVZR2tFci1JTXBha2pfOXl6d0d2cnhNVzViM1FNUGc0YWZUQ2RndFRuN2FoVU5wY1poSlcyQXc2TS1aM1M0Uk5uUk13QTBrRGhtd3JWcUlneTdJVW5HS0VUTjhIWlVHMA?oc=5
2026-03-31	Google	0.4	IGEL Research Quantifies 62% Endpoint IT Cost Reduction with Its Adaptive Secure Endpoint Platform - Yahoo Finance		https://news.google.com/rss/articles/CBMiqAFBVV95cUxPT3RTVUZZN09jaU1OU2lJdnA4V25rYWNmTnlYSmYtc0Z5ekhsM1VhSEdDUGRFNG1xdTM4NFBMT2J6Z1BDX0EtbnQ0ZjU3blByRUg5elRMOHlpcHVMNklCLWdTTGEzY2Zub19XelNUV2F5TWppc2RoeWtyMnVCYmVaOXNnTUFtbjBqZ3Y4eXBRZDlORmNjLTZlUmZXOFJ5Y2w2b3NEcUt2NFQ?oc=5
2026-03-31	Google	0.4	The Flood of Cheap Used EVs Will Cost Car Companies Billions - Autoblog		https://news.google.com/rss/articles/CBMilAFBVV95cUxOZFlWTjRnYVpxLVg0STA0NjkzSUZfZWZYamdLUE9jemxVb0tSZGltMFpxZjBmYlFOMjdId0oyU2Y2UjIxYlZyeG82SXZaZWpCa1dMbGxCaXQ1NG5yNldUejdXZTBmdFBNOTdEX21IaFREbzY4UEFvRjJHT3B6RzBGakVzckZpbkZCTXZzeXpWc1UzZ0J2?oc=5
2026-03-31	Google	0.367	Some of the most popular graduate degrees don’t pay off financially, study finds - The Washington Post		https://news.google.com/rss/articles/CBMiiwFBVV95cUxQTHAzdDU4NWVKRDlMLTIzMnhZX1VzYXdOQktCZFFhUENKV3I4RmRTazhWcmlPT2RHMHVLMzNqV05Nd3llSWttSXNnbUZOQ2Z0RmRXbnA1bFgwa2d2UXVVUW1IRTQzYkVJWE9pYjJWdUQxVldvTU00TTNJWWhjcjloeENQaWxLemZybExr?oc=5
