Metric	Value
52WeekChange	0.11533415
SandP52WeekChange	0.15480888
address1	7550 Ogden Dale Road S.E.
allTimeHigh	91.58
allTimeLow	0.9375
ask	85.61
askSize	200
auditRisk	4
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	3047110
averageDailyVolume3Month	2401245
averageVolume	2401245
averageVolume10days	3047110
beta	1.09
bid	84.61
bidSize	400
boardRisk	4
bookValue	37.33454
city	Calgary
