Metric	Value
52WeekChange	0.11609173
SandP52WeekChange	0.15681672
address1	600 East Canal Street
allTimeHigh	90.89
allTimeLow	3.083333
ask	63.9
askSize	400
auditRisk	6
averageAnalystRating	2.8 - Hold
averageDailyVolume10Day	7110140
averageDailyVolume3Month	6450185
averageVolume	6450185
averageVolume10days	7110140
beta	0.706
bid	63.6
bidSize	300
boardRisk	5
bookValue	31.265
city	Richmond
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Robert M. Blue', 'age': 57, 'title': 'President, CEO & Chairman of the Board', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 3581833, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven D. Ridge', 'age': 44, 'title': 'Executive VP & CFO', 'yearBorn': 1981, 'fiscalYear': 2024, 'totalPay': 1590033, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David M. McFarland', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Regina J. Elbert', 'title': 'SVP, Chief Legal & Human Resources Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. William L. Murray', 'age': 57, 'title': 'Senior Vice President of Corporate Affairs & Communications', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel A. Weekley', 'title': 'President of Ohio Operations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Corynne S. Arnett', 'title': 'Executive VP and Chief Regulatory & Customer Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark D. Mitchell', 'title': 'President of Project Construction', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam S. Lee', 'title': 'VP & Chief Security Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. W. Keller Kissam', 'age': 59, 'title': 'President-Dominion Energy South Carolina', 'yearBorn': 1966, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
compensationRisk	1
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	63.57
currentRatio	0.845
customPriceAlertConfidence	HIGH
dateShortInterest	1769731200
dayHigh	64.12
dayLow	62.66
debtToEquity	154.315
displayName	Dominion Energy
dividendDate	1773964800
dividendRate	2.67
dividendYield	4.19
earningsCallTimestampEnd	1771862400
earningsCallTimestampStart	1771862400
earningsGrowth	0.062
earningsQuarterlyGrowth	0.077
earningsTimestamp	1771853400
earningsTimestampEnd	1777555800
earningsTimestampStart	1777555800
ebitda	7341332480
ebitdaMargins	0.44477
enterpriseToEbitda	14.615
enterpriseToRevenue	6.5
enterpriseValue	107296268288
epsCurrentYear	3.59094
epsForward	3.82802
epsTrailingTwelveMonths	3.06
esgPopulated	False
exDividendDate	1772150400
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EST
executiveTeam	[]
fiftyDayAverage	60.8176
fiftyDayAverageChange	2.7523994
fiftyDayAverageChangePercent	0.045256626
fiftyTwoWeekChangePercent	11.609173
fiftyTwoWeekHigh	67.57
fiftyTwoWeekHighChange	-4.0
fiftyTwoWeekHighChangePercent	-0.05919787
fiftyTwoWeekLow	48.07
fiftyTwoWeekLowChange	15.5
fiftyTwoWeekLowChangePercent	0.32244644
fiftyTwoWeekRange	48.07 - 67.57
financialCurrency	USD
firstTradeDateMilliseconds	322151400000
fiveYearAvgDividendYield	4.46
floatShares	852231068
forwardEps	3.82802
forwardPE	16.606495
freeCashflow	-9946749952
fullExchangeName	NYSE
fullTimeEmployees	14700
gmtOffSetMilliseconds	-18000000
governanceEpochDate	1769904000
grossMargins	0.47449002
grossProfits	7832000000
hasPrePostMarketData	True
heldPercentInsiders	0.00266
heldPercentInstitutions	0.83955
impliedSharesOutstanding	853913277
industry	Utilities - Regulated Electric
industryDisp	Utilities - Regulated Electric
industryKey	utilities-regulated-electric
irWebsite	https://www.dom.com/investors/index.jsp
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1764892800
lastDividendValue	0.668
lastFiscalYearEnd	1767139200
lastSplitDate	1195516800
lastSplitFactor	2:1
longBusinessSummary	Dominion Energy, Inc. provides regulated electricity and natural gas services in the United States. It operates through Dominion Energy Virginia, Dominion Energy South Carolina, and Contracted Energy segments. The Dominion Energy Virginia segment engages in the generation, distribution, and transmission of electricity to approximately 2.8 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 0.8 million customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 0.5 million residential, commercial, and industrial customers in South Carolina. The Contracted Energy segment is involved in the nonregulated long-term contracted renewable electric generation fleet and renewable natural gas facilities. As of December 31, 2025, the company's portfolio of assets included approximately 30.7 GW of electric generating capacity, 10,800 miles of electric transmission lines, and 80,400 miles of electric distribution lines. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.
longName	Dominion Energy, Inc.
market	us_market
marketCap	54283268096
marketState	POST
maxAge	86400
messageBoardId	finmb_267105
mostRecentQuarter	1767139200
netIncomeToCommon	2968000000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	56324119750
numberOfAnalystOpinions	16
open	63.8
operatingCashflow	5015000064
operatingMargins	0.22038001
overallRisk	3
payoutRatio	0.8725
phone	804 819 2284
postMarketChange	0.28350067
postMarketChangePercent	0.44596612
postMarketPrice	63.8535
postMarketTime	1772064606
previousClose	63.74
priceEpsCurrentYear	17.702885
priceHint	2
priceToBook	2.0332642
priceToSalesTrailing12Months	3.2886992
profitMargins	0.18163
quickRatio	0.361
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	hold
recommendationMean	2.85
region	US
regularMarketChange	-0.170002
regularMarketChangePercent	-0.266712
regularMarketDayHigh	64.12
regularMarketDayLow	62.66
regularMarketDayRange	62.66 - 64.12
regularMarketOpen	63.8
regularMarketPreviousClose	63.74
regularMarketPrice	63.57
regularMarketTime	1772053203
regularMarketVolume	5520785
returnOnAssets	0.029790001
returnOnEquity	0.09945
revenueGrowth	0.204
revenuePerShare	19.298
sector	Utilities
sectorDisp	Utilities
sectorKey	utilities
shareHolderRightsRisk	6
sharesOutstanding	853913277
sharesPercentSharesOut	0.032
sharesShort	27346350
sharesShortPreviousMonthDate	1767139200
sharesShortPriorMonth	32228912
shortName	Dominion Energy, Inc.
shortPercentOfFloat	0.0357
shortRatio	4.7
sourceInterval	15
state	VA
symbol	D
syntheticPEG	2.6784669354838706
targetHighPrice	69.0
targetLowPrice	54.0
targetMeanPrice	64.6875
targetMedianPrice	66.5
totalCash	971000000
totalCashPerShare	1.137
totalDebt	48958001152
totalRevenue	16506000384
tradeable	False
trailingAnnualDividendRate	2.67
trailingAnnualDividendYield	0.041888922
trailingEps	3.06
trailingPE	20.77451
trailingPegRatio	2.2726
triggerable	True
twoHundredDayAverage	59.38525
twoHundredDayAverageChange	4.1847496
twoHundredDayAverageChangePercent	0.07046783
typeDisp	Equity
volume	5520785
website	https://www.dominionenergy.com
zip	23219
