Metric	Value
52WeekChange	0.5673952
SandP52WeekChange	0.283121
address1	14 Akti Kondyli
allTimeHigh	563.64
allTimeLow	2.5
ask	135.0
askSize	200
averageAnalystRating	2.0 - Buy
averageDailyVolume10Day	101280
averageDailyVolume3Month	89414
averageVolume	89414
averageVolume10days	101280
beta	0.898
bid	128.32
bidSize	100
bookValue	215.206
city	Piraeus
companyOfficers	[{'maxAge': 1, 'name': 'Dr. John  Coustas Ph.D.', 'age': 69, 'title': 'Chairman, President & CEO', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Evangelos  Chatzis', 'age': 52, 'title': 'VP, CFO, Treasurer & Secretary', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dimitris  Vastarouchas', 'age': 57, 'title': 'VP & COO', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Filippos  Prokopakis', 'age': 42, 'title': 'Chief Commercial Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[{'header': 'Dividend', 'message': 'DAC announced a cash dividend of $0.90 with an ex-date of May. 26, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1779768000000, 'amount': '0.90'}}]
country	Greece
cryptoTradeable	False
currency	USD
currentPrice	130.85
currentRatio	8.661
customPriceAlertConfidence	HIGH
dateShortInterest	1777507200
dayHigh	132.885
dayLow	130.0
debtToEquity	26.173
discount_to_intrinsic_value	91.48
displayName	Danaos
dividendDate	1780531200
dividendRate	3.6
dividendYield	2.71
earningsCallTimestampEnd	1778590800
earningsCallTimestampStart	1778590800
earningsGrowth	0.256
earningsQuarterlyGrowth	0.219
earningsTimestamp	1778529600
earningsTimestampEnd	1785787200
earningsTimestampStart	1785787200
ebitda	666752000
ebitdaMargins	0.63936
enterpriseToEbitda	3.631
enterpriseToRevenue	2.321
enterpriseValue	2420658688
epsCurrentYear	27.6
epsForward	24.5
epsTrailingTwelveMonths	28.33
eps_normalized_growth	0.23905260807621742
esgPopulated	False
exDividendDate	1779753600
