Metric	Value
52WeekChange	0.75126815
SandP52WeekChange	0.27697718
address1	Building 730
address2	974 Centre Road
allTimeHigh	52.66
allTimeLow	2.597087
ask	47.99
askSize	900
auditRisk	8
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	4062700
averageDailyVolume3Month	3861822
averageVolume	3861822
averageVolume10days	4062700
beta	1.056
bid	47.1
bidSize	400
boardRisk	7
bookValue	34.255
city	Wilmington
companyOfficers	[{'maxAge': 1, 'name': 'Ms. Lori D. Koch', 'age': 50, 'title': 'CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 3586539, 'exercisedValue': 103283, 'unexercisedValue': 4587702}, {'maxAge': 1, 'name': 'Ms. Antonella B. Franzen', 'age': 49, 'title': 'Senior VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2025, 'totalPay': 1803202, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Erik T. Hoover J.D.', 'age': 51, 'title': 'Senior VP & General Counsel', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 1530160, 'exercisedValue': 70829, 'unexercisedValue': 3165304}, {'maxAge': 1, 'name': 'Mr. Christopher P. Raia', 'age': 55, 'title': 'Chief Human Resources Officer', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 1166212, 'exercisedValue': 0, 'unexercisedValue': 1226802}, {'maxAge': 1, 'name': 'Mr. Jeroen  Bloemhard', 'age': 56, 'title': 'President of Healthcare & Water Technologies', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 1504562, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Koch', 'title': 'Chief Operations & Engineering Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Madeleine G. Barber', 'age': 61, 'title': 'VP of Tax, Controller & Chief Accounting Officer', 'yearBorn': 1964, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marty  DeGroot', 'title': 'Chief Technology Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew S. Abbott', 'age': 48, 'title': 'SVP, Chief Information Officer & Chief Procurement Officer', 'yearBorn': 1977, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ann  Giancristoforo', 'title': 'VP of Investor Relations, Corporate FP&A, Strategic Finance', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[{'header': 'Reverse stock split', 'message': 'DD announces 1 for 3 split effective Jun. 24, 2026', 'meta': {'eventType': 'SPLIT', 'dateEpochMs': 1782273600000, 'splitRatio': '1:3'}}]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	47.59
currentRatio	2.683
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	48.225
dayLow	47.1
debtToEquity	22.594
dividendDate	1780012800
dividendRate	0.8
dividendYield	1.65
earningsCallTimestampEnd	1777982400
earningsCallTimestampStart	1777982400
earningsTimestamp	1777984200
earningsTimestampEnd	1785846600
earningsTimestampStart	1785846600
ebitda	1552999936
ebitdaMargins	0.22448999
enterpriseToEbitda	14.522
enterpriseToRevenue	3.26
enterpriseValue	22553389056
epsCurrentYear	2.3883
epsForward	2.61751
epsTrailingTwelveMonths	0.38
esgPopulated	False
exDividendDate	1778803200
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	46.9858
fiftyDayAverageChange	0.60419846
fiftyDayAverageChangePercent	0.012859171
fiftyTwoWeekChangePercent	75.126816
fiftyTwoWeekHigh	52.66
fiftyTwoWeekHighChange	-5.0699997
fiftyTwoWeekHighChangePercent	-0.096278004
fiftyTwoWeekLow	27.158997
fiftyTwoWeekLowChange	20.431004
fiftyTwoWeekLowChangePercent	0.75227386
fiftyTwoWeekRange	27.158997 - 52.66
financialCurrency	USD
firstTradeDateMilliseconds	76253400000
fiveYearAvgDividendYield	2.05
floatShares	408199637
forwardEps	2.61751
forwardPE	18.1814
freeCashflow	-124750000
fullExchangeName	NYSE
fullTimeEmployees	15000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780272000
grossMargins	0.35009998
grossProfits	2422000128
hasPrePostMarketData	True
heldPercentInsiders	0.0018099999
heldPercentInstitutions	0.81013
impliedSharesOutstanding	405058202
industry	Specialty Chemicals
industryDisp	Specialty Chemicals
industryKey	specialty-chemicals
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1778803200
lastDividendValue	0.2
lastFiscalYearEnd	1767139200
lastSplitDate	1762128000
lastSplitFactor	239:100
