Metric	Value
52WeekChange	0.8904762
SandP52WeekChange	0.26208222
address1	620 8th Avenue
address2	45th Floor
allTimeHigh	224.769
allTimeLow	27.55
ask	235.31
askSize	1
auditRisk	8
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	5460170
averageDailyVolume3Month	5364225
averageVolume	5364225
averageVolume10days	5460170
beta	1.295
bid	214.36
bidSize	1
boardRisk	10
bookValue	11.208
city	New York
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Olivier  Pomel', 'age': 48, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1977, 'fiscalYear': 2025, 'totalPay': 1223534, 'exercisedValue': 166803520, 'unexercisedValue': 301150912}, {'maxAge': 1, 'name': 'Mr. Alexis  Le-Quoc', 'age': 50, 'title': 'Co-Founder, CTO & Director', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 1225774, 'exercisedValue': 203275696, 'unexercisedValue': 51665624}, {'maxAge': 1, 'name': 'Mr. David M. Obstler', 'age': 65, 'title': 'Chief Financial Officer', 'yearBorn': 1960, 'fiscalYear': 2025, 'totalPay': 1227294, 'exercisedValue': 13666125, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam  Blitzer', 'age': 44, 'title': 'Chief Operating Officer', 'yearBorn': 1981, 'fiscalYear': 2025, 'totalPay': 1225534, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sean Michael Walters', 'age': 53, 'title': 'Chief Revenue Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 856991, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kerry S. Acocella J.D.', 'age': 44, 'title': 'General Counsel & Secretary', 'yearBorn': 1981, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sara  Varni', 'title': 'Chief Marketing Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David C. Galloreese', 'age': 45, 'title': 'Chief People Officer', 'yearBorn': 1980, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Emilio  Escobar', 'title': 'Chief Information Security Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Yanbing  Li Ph.D.', 'age': 54, 'title': 'Chief Product Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 893916, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	223.65
currentRatio	3.397
customPriceAlertConfidence	HIGH
dateShortInterest	1777507200
dayHigh	225.9
dayLow	218.33
debtToEquity	32.221
discount_to_intrinsic_value	-890.52
displayName	Datadog
earningsCallTimestampEnd	1778155200
earningsCallTimestampStart	1778155200
earningsGrowth	1.04
earningsQuarterlyGrowth	1.134
earningsTimestamp	1778157000
earningsTimestampEnd	1786019400
earningsTimestampStart	1786019400
ebitda	34639000
ebitdaMargins	0.009430001
enterpriseToEbitda	2184.344
enterpriseToRevenue	20.605
enterpriseValue	75663507456
epsCurrentYear	2.42107
epsForward	2.84462
epsTrailingTwelveMonths	0.4
eps_normalized_growth	4.133007704864453
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	144.9616
fiftyDayAverageChange	78.6884
fiftyDayAverageChangePercent	0.5428224
fiftyTwoWeekChangePercent	89.04762
fiftyTwoWeekHigh	225.9
fiftyTwoWeekHighChange	-2.25
fiftyTwoWeekHighChangePercent	-0.00996016
fiftyTwoWeekLow	98.01
fiftyTwoWeekLowChange	125.63999
fiftyTwoWeekLowChangePercent	1.28191
fiftyTwoWeekRange	98.01 - 225.9
financialCurrency	USD
firstTradeDateMilliseconds	1568899800000
