Date	Source	Sentiment	Headline	Summary	URL
2026-04-06	Yahoo	0.079	This One ETF Gives Retirees Quiet Exposure to AI Infrastructure REITs	Income investors hunting for AI infrastructure exposure often land on Pacer Data & Infrastructure Real Estate ETF (NYSEARCA:SRVR). The fund packages data centers, cell towers, and related digital infrastructure REITs into a single, low-cost wrapper. The dividend safety question is more nuanced than the appeal. How SRVR Generates Its Income SRVR’s yield comes entirely from ... This One ETF Gives Retirees Quiet Exposure to AI Infrastructure REITs	https://247wallst.com/investing/2026/04/06/this-one-etf-gives-retirees-quiet-exposure-to-ai-infrastructure-reits/?.tsrc=rss
2026-04-06	Google	0.067	Philippine peso loses most among muted Asian currencies - Interaksyon		https://news.google.com/rss/articles/CBMitwFBVV95cUxOd0ZQWWw1bzQwYVVYSWZmS2o3bGpyZTg4d01BTmVrSlJUSTJ2Mm9JTVp6SjdmVHkzcEVUZ29fTWhRNmFqR0h3ZXZEMHVkWHRZdjdaeldENmxWNE4zSXdwV2dYQm5kZmlzSnB3cEJxYUU3NGJvekFTN2swX2tFV1dWRUpwcHg5enk0NnlWbG9yeExteGFmelRudXRKVkwwS1cwQ0xheEdjUUlhMjkwX0c5eVMyT3d6U0U?oc=5
2026-04-06	Google	0.0	Assessing Digital Realty (DLR) Valuation After Milan Expansion And Hyperscale Fund Milestones - simplywall.st		https://news.google.com/rss/articles/CBMi1gFBVV95cUxQdFp4Rm9qWk9UMU43aDI4NUNPNXJDWWhwSmMyYXZQMS1rbVJlZjZCZUEzeDdqcGlaT3VLMWJOblJXY3RxMFgxMDNiSjRqaTNfUGF3bVhDdFZ3c254ZVZkYXphbUhoWDRjQ21KeVdzMk04cThqTEQ5eExHdkhmR2JMbnFSTUdqd25uZ1Z2eW5EYUpsUmRxVGhWeVlQeUdqMXpCS1BLcTkycHBLcHZZSTFndUpqdWNQdEgxNndORXJzMm5Eal9ia1EzX0VVWXF0Qng0NDJDX3VB0gHbAUFVX3lxTE1VZnRLc0ZMVTAtZUdpbHNZN0cxLXF6OXdTLUJORTFDbDdyTURidFBKcGxSYlMyWlYzTXJ6UG9NdjJiUVJsekFRNkUzamJmeFVXMTN3RnZBN2pMM3NGLU9fSkhtU0JFZGkyb1dEUnhrOUNoZ2EzczBaeTFvQ3ZoU3VjN21KWlN1Mm9sd19ITElEUm1iWTNab2tid3Z0S25XSU1oSF9nWGlmVVRaRFFyNkw0eF9Ca2x6Q2ZWNXdsd245U2NteXdQNlg5WllRNG9UWVRkeVktRjhmZmdyaw?oc=5
2026-04-04	Google	0.2	Tube and Overground closures confirmed — when services will be shut next week - London Now		https://news.google.com/rss/articles/CBMimgFBVV95cUxOVkdDOUdoRHpReERHVS00NzJuaXRvLVNDN25tQm42VjhfTzh4cHBscDJ0WnR6NGx1bjQzNlV2ajYzY3Y5XzJWOVhyQWhFT3NmSG9qSk9hQjluNzJWTWc3VjJyOFA5ZXhrUmUtMmsycjRnbG1KSVNaZ0FObFlJMUJybmdFdHE2YVBPSHBsREdDcll5YTdpV3J0ZjJB?oc=5
2026-04-04	Google	-0.156	What Digital Realty Trust (DLR)'s Milan Expansion and Capital Team Hires Mean For Shareholders - simplywall.st		https://news.google.com/rss/articles/CBMi1gFBVV95cUxPU2NRMGFYcDI5WUR0THQ3SGY3aHgtNjNOQXpGdzZjYU1jQnRnYU8xT0NpUHV2Q2JOQ3dIWmdxRlg0czVLSDFsSzQxTTd6bGxCUTFNNVdMdzE0Y1czRjg4RnZka0kwSGNEQWV0WHpObDFnaUlkcDBHYVVCdjRhcUpvakFHYXMtaWZvaW1paFk4WDJxNnl2UXQ1Vy1GRUJOdTBGQnVxRXlISmlUOE1qbFhNbDV4NkQtZ25FcXJuNlZBckZwUVhiTUZzOHhmaWtveG5mQWZpdkpR0gHbAUFVX3lxTE1oODhHa2pFUnJIZTNMVnFkWDExZFRwTUYzRzViTlJWNFllVDJISDdnbHNBbW9XM3p6TzQzSkRxMEhOOGlQdS1lWFlHUzdFSEtqc3ZYWXBpNzlhVnZMMlRUMFBUMkNzeFB3QnJHb1dkYnN1emREeDBVanYyMGNQaXFiS1hiRGwtQm1xeTJqQndDRVZiZHNMYkkwSEc1NHRIMFB2U1JvQW41bUU0MXJYSzZacjJGM0RCaUthMWIyTXc3bFJXSVE1YWZiNHllY3RfUnV0VnVMMjZTajJTcw?oc=5
2026-04-03	Google	0.0	Aberdeen Group plc Cuts Stake in Digital Realty Trust, Inc. $DLR - MarketBeat		https://news.google.com/rss/articles/CBMivwFBVV95cUxNcGlRM0NDQTVVVWpCdW1jOGg2amdfRWFpbWFNZTdYeVBzMjlsNmlHU0xIajNiSEw2TnpVNkxPT0c0bEM0SVN2WDJSSVk5d01xZTQ4OHk4WmdYeU5kUkhzVGg5Z0JmYjRkT1BMa2RVVXBaY1VPWVZJaFZuOU1Jd21ldG8yYW5Ddm1PYmdSYlQ3Z2pKakZjdDNjSW1ON1RfbUV1N2tGbk1HczRTMS05MkVKeUswLVdGcXdva0Z5ZFgtdw?oc=5
2026-04-02	Google	0.4	TfL announces free journeys extension on buses and DLR routes - London Now		https://news.google.com/rss/articles/CBMilAFBVV95cUxQV3U4UEtSSllKODlOWmViRUFfYzlkaFhHOFRaM1lQVHBqZ3NBc0Q5QzZJQjE3aTQ5UkZOQko3MXhBeTNuNHdGSzNDMlRkeVlSZnBUeVRhR2l6VGhNNlBSWHp6T2FGS2JJdEd6LWNiU3cxcHpSMWxONVlDalJwOGtoWEY4Y0M5UUk2aU5OOEpySnA1OHh1?oc=5
2026-04-02	Google	0.25	Free DLR and bus journeys near Silvertown Tunnel get last-minute extension - ianVisits		https://news.google.com/rss/articles/CBMiugFBVV95cUxQWnZQNUxaN0s5eTdVbk9fTGRpTEgzMV94dkJuWmZsc3JOQlZaYVFRNHRXSjVlUWpiOHNGSGtMcEdkYVpkeXlHS1ZxWTl1VzFmWmV5ZVBkOHFNUTBfS0IzN0lWREpLc3RXMzRYcm1ZdTJndGxrX2V1aGdLRW5kUzBjMVpVOFN1R1YyZDFNTlZPc1I2dTgzSm0teWw4dUpWMWpMLUVNZHhCVHVueklhTjZYVGUyOFdud25fN0E?oc=5
2026-04-02	Google	0.0	DLR Partners with Sandyford Business District and NovaUCD to Drive Innovation and Enterprise - Dún Laoghaire-Rathdown County Council		https://news.google.com/rss/articles/CBMitAFBVV95cUxOdGxpNWthTmt4TzZ6aUVqZTBBbmg4YmdoQnprdlkza3lhbFhnQllkRGl3bzRPOGVTeVptQ3ZRdk42anhWczZ2UlR3eXR3MjlIM19mYnNCaXY2WDVBeUdpVnpUZWZ0RDAyZnVubm0tZm90amZBLXBjWFdnS1pXWHhOMWNkaFZjck5iZjZxMWJ1QkZwSWZxUTFXVk9jLVNaamJsYkJSZllMRjJxTHdLQ1pPUGlteEc?oc=5
2026-04-02	Google	0.0	Digital Realty (DLR) director receives 152 Long-Term Incentive Units grant - Stock Titan		https://news.google.com/rss/articles/CBMiuAFBVV95cUxQOWJyZDVpS2YzLW5MLTJsMzlpRG5tVzZRbnAwcXRmTlQycG40T2RuZG1JYy1wdU9FVnY1cEpJQk9WTTBNUkc3RVZCUGVESE1FWjNvTDFvcU8zUzB2Vjl5NzdSLURsVHpCUWJ5dWN3SUE0aDdEU1ZXWW1EdC1LVnBlenV5MWdpQl8zUHY0TVZoMXI2NFRaa0FHTTlzOXRGQ3I5cXd0eDVNdUxXeUZ1MkYzOC0wZVFRQlBT?oc=5
2026-04-02	Google	0.0	Digital Realty (NYSE: DLR) CAO logs routine 53-share tax-withholding move - Stock Titan		https://news.google.com/rss/articles/CBMiuAFBVV95cUxQYTVKU0JyOFZ4VWlaWlZFaWdib0JUcWExVnZMQnZIVDdQZTZMeVZpUjlBVkdHOUw2UUFRX1FQd2xoRnFYRWRMd3RvS0dha2R1am9ZU0xCWTN2TElQU2pMelltbFV6Z3FfSjU1TW9aXzVxUEt3X0VWVWg2RlB6VThYa1A5bmtFeTNOSXhsaXhyMWNybEo2Q1kyMEtqeVRfS0FYRDJDNHR2N0JkTTkzWXZ0bVFiWjQ1YjlQ?oc=5
2026-04-02	Google	0.0	Digital Realty (NYSE: DLR) awards long-term incentive units to director - Stock Titan		https://news.google.com/rss/articles/CBMiuAFBVV95cUxPM2x4dG0zdXExdjZNa0w5eVVRSFhrd1gyZjhfMzRXMTF6bzVCbTF0Skd4UlJjZ2d2eDFBLWZYSnpHeEtzQzJoRFAxX0dYbkFaMFBGQUg5T1FkelRIQ3NNRTQwRVdrRGhibmlRSTY0ejVTcHVZNklabVA5am54WHNuWjV4WjRia2YtSS10OENJTjh4Nk9UOUNwMlpESFpGNmNJYm5kOFdrWEx3dXlNR1kzNUxkdURQVHdY?oc=5
2026-04-02	Google	0.0	Digital Realty Trust (NYSE:DLR) Stock Rating Upgraded by Truist Financial - MarketBeat		https://news.google.com/rss/articles/CBMiwgFBVV95cUxNbEdkUnNGQXVVYVNlNklBd3JhcjladXRiRlBwTnpsN2lXd3pEWXpTYUhWbHVSQzg1U1NXWXhpaGpNUVdrMHB0Y01pUFdISGw4MDFDWGZRMDN3Y2xQdzR0Rk5fTjY2SkF6ZmlUaXU4NS1JUnVBYm5oUkRrU216WlJXZDE0S01pd0RCTE44Q0gyRmxGMTk3Yi16OE9IY19RcTVGRzUxbkxqQ2NwbXlvaDQwZnIteHBSeUw5UnFWakVfYjFjQQ?oc=5
2026-04-02	Google	0.0	District Line to shut across east London over Easter weekend - eastlondonadvertiser.co.uk		https://news.google.com/rss/articles/CBMipgFBVV95cUxOT3FlVWFGX1R0dlI2U1FqbkMwSk9UTlR1VlhkX3ZneGx4SzBLd2Zxa0NfN2ZhVDg3X2FUWlJ1WnNPdmJzUEZfNHVxZ040emVramNMMDRzRDVPR2tvYnB4ZzBsYVZhWjBjc0pFOXVEaFlHd3A3WmhvUndfam9lMzBkekc1c0R4Tkd2ejNRMWJ6NHY3TUZNUDVzZ050dDY5WWsyZHdWOV9B?oc=5
2026-04-02	Google	0.0	District Line to shut across east London over Easter weekend - romfordrecorder.co.uk		https://news.google.com/rss/articles/CBMinwFBVV95cUxNWDAtV3pSM0hla2ZkMUZSWW9VbVYwcDVTalhzYlFQZlNwQ2RwVndkNG5YXzRBellHUXFLaUZYbmxFUXBmWTQzY1dHZDlFOEFORkNhdGdVNHhBaDJSLVhyTk9zS3FwLUE2MjdRUV85cFB5TXFzWndxWXdhcTNwcU9jYk14ZEY3bWlWLWkxVXJOeVVYbU1wVnBWSDB3Rko5Vlk?oc=5
2026-04-02	Google	0.0	Elizabeth Line Upgrades Track and Signalling Systems - Moovit		https://news.google.com/rss/articles/CBMiuAFBVV95cUxQTmxOUzYyVTJpRDJPTEowT2hQR2JTTU1VaDVfUGVueU15SWp3Sk1Mb1JnSkhRTmg3b2w3M0s5WkQ4OWhFY0NxUmhCTEZVc1lvX1RNWnFjRkFFTkpVMXpYMk9TN21NSzJTN01jSVF4blJON1FpZmNCX0FTS3dUdGpHUVFSMDZpUl9fWHl0aEo0dWNIOHU0eTZteVZuNG94aTFtRlJ4aEViamNwMTNfVUtnTlZ0UEI5aXBs?oc=5
2026-04-02	Google	0.0	Entire London Underground line to shut over Easter weekend - My London		https://news.google.com/rss/articles/CBMijgFBVV95cUxNVWlONEVWcV85eHhhTnN5N0ctaFBmV2tFZVNvMmd0UUxzT1lJdzdySFlTeUhfbW8xRUlnNWpXeU91TmtYOGxURHB2c3F5eG9GdlhRSWNqRy1FWi04cUp1cVYzRllLSjc2X3haRjR1ZmtheGVselFESGlBcXVmX01CLTRUQ1Z3NjlwWEt3VVFR0gGTAUFVX3lxTE4xaFF6U1Bvb0NyeENrRk1lcDNtWjd6SFBnUG56aGtWb1FHVjRkcVpTQWZWZ2ZBNFBIR1BmbUNyLUxlSXQ2Tlg1alJmSHVmZjRpNFd1R20xWHUwSDlpeTZIU3pwSkJpSDM5anB1bm0zaG5pTHA4Rl9ydUJIUzhZbldMUERKYzVTN3dSWlpsWGhyQThSaw?oc=5
2026-04-02	Yahoo	0.0	Which global stocks offer high-quality dividends with low cut risk?	Investing.com -- UBS has published its latest global high-quality dividend stock list, identifying names across sectors and regions that its quantitative models flag as unlikely to cut their payouts, with U.S. equities standing out.	https://finance.yahoo.com/markets/stocks/articles/global-stocks-offer-high-quality-132511458.html?.tsrc=rss
