Metric	Value
allTimeHigh	65.96
allTimeLow	11.144444
ask	63.32
askSize	18300
averageDailyVolume10Day	30777830
averageDailyVolume3Month	45042116
averageVolume	45042116
averageVolume10days	30777830
beta3Year	0.95
bid	63.16
bidSize	10900
bookValue	52.559
category	Diversified Emerging Mkts
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	63.26
dayLow	62.78
dividendYield	2.16
epsTrailingTwelveMonths	3.5957932
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	59.3544
fiftyDayAverageChange	3.8255997
fiftyDayAverageChangePercent	0.06445351
fiftyTwoWeekChangePercent	51.849197
fiftyTwoWeekHigh	65.96
fiftyTwoWeekHighChange	-2.7799988
fiftyTwoWeekHighChangePercent	-0.04214674
fiftyTwoWeekLow	41.61
fiftyTwoWeekLowChange	21.57
fiftyTwoWeekLowChangePercent	0.518385
fiftyTwoWeekRange	41.61 - 65.96
financialCurrency	USD
firstTradeDateMilliseconds	1050327000000
fiveYearAverageReturn	0.0565869
fullExchangeName	NYSEArca
fundFamily	iShares
fundInceptionDate	1049673600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure equity market performance in the global emerging markets. The underlying index includes large- and mid-capitalization companies and may change over time.
longName	iShares MSCI Emerging Markets ETF
market	us_market
marketCap	47536631808
marketState	POST
maxAge	86400
messageBoardId	finmb_8797528
navPrice	63.13507
netAssets	24905633800.0
netExpenseRatio	0.72
open	63.11
postMarketChange	-0.008602142
postMarketChangePercent	-0.013615293
postMarketPrice	63.1714
postMarketTime	1776725589
previousClose	63.64
priceHint	2
priceToBook	1.2020777
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.459999
regularMarketChangePercent	-0.722814
regularMarketDayHigh	63.26
regularMarketDayLow	62.78
regularMarketDayRange	62.78 - 63.26
regularMarketOpen	63.11
regularMarketPreviousClose	63.64
regularMarketPrice	63.18
regularMarketTime	1776715200
regularMarketVolume	20002282
sharesOutstanding	752400000
shortName	iShares MSCI Emerging Index Fun
sourceInterval	15
symbol	EEM
threeYearAverageReturn	0.19783369
totalAssets	24905633792
tradeable	False
trailingAnnualDividendRate	0.76
trailingAnnualDividendYield	0.011942174
trailingPE	17.570532
trailingPegRatio	None
trailingThreeMonthNavReturns	2.78856
trailingThreeMonthReturns	2.78856
triggerable	True
twoHundredDayAverage	54.7753
twoHundredDayAverageChange	8.404701
twoHundredDayAverageChangePercent	0.15343963
typeDisp	ETF
volume	20002282
yield	0.0216
ytdReturn	2.78856
