Metric	Value
allTimeHigh	105.94
allTimeLow	28.543333
ask	104.1
askSize	2400
averageDailyVolume10Day	12992720
averageDailyVolume3Month	14187519
averageVolume	14187519
averageVolume10days	12992720
beta3Year	0.87
bid	103.5
bidSize	7700
bookValue	72.471
category	Foreign Large Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	104.185
dayLow	103.55
dividendYield	3.24
epsTrailingTwelveMonths	5.512912
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	103.398
fiftyDayAverageChange	0.52199554
fiftyDayAverageChangePercent	0.0050484105
fiftyTwoWeekChangePercent	15.087402
fiftyTwoWeekHigh	105.94
fiftyTwoWeekHighChange	-2.0200043
fiftyTwoWeekHighChangePercent	-0.019067436
fiftyTwoWeekLow	86.74
fiftyTwoWeekLowChange	17.18
fiftyTwoWeekLowChangePercent	0.19806318
fiftyTwoWeekRange	86.74 - 105.94
financialCurrency	USD
firstTradeDateMilliseconds	998919000000
fiveYearAverageReturn	0.0913464
fullExchangeName	NYSEArca
fundFamily	iShares
fundInceptionDate	997747200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted, market capitalization-weighted index designed to measure large- and mid-capitalization equity market performance of developed markets outside of the U.S. and Canada.
longName	iShares MSCI EAFE ETF
market	us_market
marketCap	94740865024
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_8797589
navPrice	103.36337
netAssets	77217694000.0
netExpenseRatio	0.32
open	103.61
phone	415-670-2000
postMarketChange	0.08000183
postMarketChangePercent	0.076984055
postMarketPrice	104.0
postMarketTime	1783641057
previousClose	103.36
priceHint	2
priceToBook	1.4339528
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	0.559998
regularMarketChangePercent	0.541793
regularMarketDayHigh	104.185
regularMarketDayLow	103.55
regularMarketDayRange	103.55 - 104.185
regularMarketOpen	103.61
regularMarketPreviousClose	103.36
regularMarketPrice	103.92
regularMarketTime	1783627200
regularMarketVolume	6090788
sharesOutstanding	938400000
shortName	iShares MSCI EAFE ETF
sourceInterval	15
symbol	EFA
threeYearAverageReturn	0.1701288
totalAssets	77217693696
tradeable	False
trailingAnnualDividendRate	1.761
trailingAnnualDividendYield	0.017037539
trailingPE	18.850292
trailingPegRatio	None
trailingThreeMonthNavReturns	8.97287
trailingThreeMonthReturns	8.97287
triggerable	True
twoHundredDayAverage	99.0679
twoHundredDayAverageChange	4.8520966
twoHundredDayAverageChangePercent	0.048977483
typeDisp	ETF
volume	6090788
yield	0.0324
ytdReturn	10.06808
