Metric	Value
52WeekChange	0.80980706
SandP52WeekChange	0.26603174
address1	129 Concord Road
allTimeHigh	159.15
allTimeLow	0.5
ask	149.29
askSize	15
auditRisk	2
averageAnalystRating	2.2 - Buy
averageDailyVolume10Day	3599520
averageDailyVolume3Month	2583353
averageVolume	2583353
averageVolume10days	3599520
beta	1.395
bid	148.85
bidSize	7
boardRisk	4
bookValue	26.026
city	Billerica
