Metric	Value
allTimeHigh	4953.733
allTimeLow	82.82989
averageDailyVolume10Day	15583180214
averageDailyVolume3Month	22094935570
averageVolume	22094935570
averageVolume10days	15583180214
blockNumber	15537411
blockReward	2.0
circulatingSupply	120687808
coinImageUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
coinMarketCapLink	https://coinmarketcap.com/currencies/ethereum
companyOfficers	[]
corporateActions	[]
cryptoTradeable	True
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	2274.8403
dayLow	2238.0818
description	Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,688,026.71874318. The last known price of Ethereum is 2,297.35574777 USD and is up 0.73 over the last 24 hours. It is currently trading on 11875 active market(s) with $16,186,940,520.08 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.
esgPopulated	False
exchange	CCC
exchangeDataDelayedBy	0
exchangeTimezoneName	UTC
exchangeTimezoneShortName	UTC
executiveTeam	[]
fiftyDayAverage	2194.151
fiftyDayAverageChange	51.5791
fiftyDayAverageChangePercent	0.023507545
fiftyTwoWeekChangePercent	24.47765
fiftyTwoWeekHigh	4953.733
fiftyTwoWeekHighChange	-2708.003
fiftyTwoWeekHighChangePercent	-0.54665905
fiftyTwoWeekLow	1748.6277
fiftyTwoWeekLowChange	497.1023
fiftyTwoWeekLowChangePercent	0.28428137
fiftyTwoWeekRange	1748.6277 - 4953.733
firstTradeDateMilliseconds	1510185600000
fromCurrency	ETH
fullExchangeName	CCC
fullyDilutedValue	271032228703
gmtOffSetMilliseconds	0
hasPrePostMarketData	False
language	en-US
lastMarket	Coinbase
logoUrl	https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
longName	Ethereum USD
market	ccc_market
marketCap	271114911744
marketState	REGULAR
maxAge	86400
maxSupply	0
messageBoardId	finmb_ETH_CCC
name	Ethereum
netHashesPerSecond	587053830136465
open	2252.4465
previousClose	2252.4465
priceHint	2
quoteSourceName	CoinMarketCap
quoteType	CRYPTOCURRENCY
region	US
regularMarketChange	-65.73999
regularMarketChangePercent	-2.844077
regularMarketDayHigh	2274.8403
regularMarketDayLow	2238.0818
regularMarketDayRange	2238.0818 - 2274.8403
regularMarketOpen	2252.4465
regularMarketPreviousClose	2252.4465
regularMarketPrice	2245.73
regularMarketTime	1777518435
regularMarketVolume	22304702464
shortName	Ethereum USD
sourceInterval	15
startDate	1438905600
symbol	ETH-USD
toCurrency	USD=X
totalSupply	120687808
tradeable	False
trailingPegRatio	None
triggerable	True
twitter	https://twitter.com/ethereum
twoHundredDayAverage	2761.5718
twoHundredDayAverageChange	-515.8418
twoHundredDayAverageChangePercent	-0.18679282
typeDisp	Cryptocurrency
volume	22304702464
volume24Hr	22304702464
volume24HrMarketCapPercent	0.08227029
volumeAllCurrencies	22304702464
website	https://www.ethereum.org/
whitepaper	https://ethereum.org/en/whitepaper/
