Date	Sentiment_Daily	News_Volume
2022-12-19	0.0590	7.0000
2022-12-20	0.2305	3.0000
2022-12-21	0.0628	8.0000
2022-12-22	0.0298	5.0000
2022-12-23	0.0929	7.0000
2022-12-26		
2022-12-27	0.1009	4.0000
2022-12-28	0.1256	6.0000
2022-12-29	0.0709	4.0000
2022-12-30	0.1829	7.0000
2023-01-02		
2023-01-03	0.0162	10.0000
2023-01-04	0.0712	14.0000
2023-01-05	0.1359	6.0000
2023-01-06	0.1208	6.0000
2023-01-09	0.1041	9.0000
2023-01-10	0.0717	4.0000
2023-01-11	0.0865	8.0000
2023-01-12	0.1822	7.0000
2023-01-13	0.0942	14.0000
2023-01-16		
2023-01-17	0.2313	3.0000
2023-01-18		
2023-01-19	0.1210	7.0000
2023-01-20	0.1631	11.0000
2023-01-23	0.1546	5.0000
2023-01-24	0.0711	7.0000
2023-01-25	0.1985	4.0000
2023-01-26	0.0811	5.0000
2023-01-27	0.1689	9.0000
2023-01-30	0.0668	20.0000
2023-01-31	0.0690	17.0000
2023-02-01	-0.0026	13.0000
2023-02-02	0.1360	23.0000
2023-02-03	0.0506	29.0000
2023-02-06	0.2241	6.0000
2023-02-07	0.0238	7.0000
2023-02-08	0.1192	8.0000
2023-02-09	0.1195	10.0000
2023-02-10	0.0511	7.0000
2023-02-13	0.1528	18.0000
2023-02-14	0.0512	24.0000
2023-02-15	0.0126	9.0000
2023-02-16	-0.0907	13.0000
2023-02-17	0.0887	6.0000
2023-02-20		
2023-02-21	0.2530	6.0000
2023-02-22	0.1460	6.0000
2023-02-23	0.1005	5.0000
2023-02-24	0.0126	11.0000
2023-02-27	0.1539	8.0000
2023-02-28	0.2022	9.0000
2023-03-01	0.1210	10.0000
2023-03-02	0.1024	11.0000
2023-03-03	0.1189	9.0000
2023-03-06	0.0541	5.0000
2023-03-07	0.0395	9.0000
2023-03-08	0.0363	5.0000
2023-03-09	0.1352	6.0000
2023-03-10	0.1065	13.0000
2023-03-13	0.0783	8.0000
2023-03-14	0.0814	2.0000
2023-03-15	0.1406	7.0000
2023-03-16	0.2434	2.0000
2023-03-17	0.0399	7.0000
2023-03-20	0.0408	4.0000
2023-03-21	0.1562	13.0000
2023-03-22	0.0333	5.0000
2023-03-23	0.1041	14.0000
2023-03-24	0.1031	15.0000
2023-03-27	0.1225	3.0000
2023-03-28	0.0907	5.0000
2023-03-29	0.1579	5.0000
2023-03-30	0.1083	18.0000
2023-03-31	0.0983	12.0000
2023-04-03	0.1392	9.0000
2023-04-04	0.0923	11.0000
2023-04-05	0.1145	17.0000
2023-04-06	0.1229	7.0000
2023-04-07		
2023-04-10	0.2400	2.0000
2023-04-11	0.1498	9.0000
2023-04-12	0.2178	9.0000
2023-04-13	0.1482	6.0000
2023-04-14	0.2117	6.0000
2023-04-17	0.1918	7.0000
2023-04-18	0.1911	8.0000
2023-04-19	0.0820	7.0000
2023-04-20	0.0110	20.0000
2023-04-21	0.0820	11.0000
2023-04-24	0.1137	5.0000
2023-04-25	0.1412	9.0000
2023-04-26	0.0815	7.0000
2023-04-27	0.1275	3.0000
2023-04-28	0.2009	4.0000
2023-05-01	0.0462	8.0000
2023-05-02	0.0430	24.0000
2023-05-03	0.0937	22.0000
2023-05-04	0.0392	5.0000
2023-05-05	0.1022	5.0000
2023-05-08	0.0066	4.0000
2023-05-09	0.1411	7.0000
2023-05-10	0.1729	7.0000
2023-05-11	0.0896	6.0000
2023-05-12	0.0797	5.0000
2023-05-15	0.1334	8.0000
2023-05-16	0.1624	3.0000
2023-05-17	0.1667	9.0000
2023-05-18	0.0405	4.0000
2023-05-19	0.1193	11.0000
2023-05-22	0.2439	22.0000
2023-05-23	0.1664	11.0000
2023-05-24	0.2148	14.0000
2023-05-25	0.1247	12.0000
2023-05-26	0.1626	14.0000
2023-05-29		
2023-05-30	0.2195	11.0000
2023-05-31	0.0943	3.0000
2023-06-01	0.1287	6.0000
2023-06-02	0.1063	3.0000
2023-06-05	0.1597	10.0000
2023-06-06	0.1152	17.0000
2023-06-07	0.0725	7.0000
2023-06-08	0.2449	13.0000
2023-06-09	0.1880	20.0000
2023-06-12	0.2206	10.0000
2023-06-13	0.1047	18.0000
2023-06-14	0.1333	7.0000
2023-06-15	0.1499	6.0000
2023-06-16	0.1465	9.0000
2023-06-19		
2023-06-20	0.1592	18.0000
2023-06-21	0.1946	14.0000
2023-06-22	0.1753	20.0000
2023-06-23	0.1150	11.0000
2023-06-26	0.0769	9.0000
2023-06-27	0.0624	20.0000
2023-06-28	0.1566	18.0000
2023-06-29	0.1200	6.0000
2023-06-30	0.1474	6.0000
2023-07-03	0.1203	8.0000
2023-07-04		
2023-07-05	0.1515	10.0000
2023-07-06	0.1362	12.0000
2023-07-07	0.1851	15.0000
2023-07-10	0.1780	10.0000
2023-07-11	0.1656	12.0000
2023-07-12	0.1177	9.0000
2023-07-13	0.1927	5.0000
2023-07-14	0.2069	9.0000
2023-07-17	0.0933	21.0000
2023-07-18	0.1092	12.0000
2023-07-19	0.1906	12.0000
2023-07-20	0.1109	11.0000
2023-07-21	0.1140	12.0000
2023-07-24	0.1379	4.0000
2023-07-25	0.1561	10.0000
2023-07-26	0.1441	12.0000
2023-07-27	0.0968	22.0000
2023-07-28	0.0779	25.0000
2023-07-31	0.1393	7.0000
2023-08-01	0.0995	6.0000
2023-08-02	0.1593	10.0000
2023-08-03	0.1640	5.0000
2023-08-04	0.1609	13.0000
2023-08-07	0.1702	8.0000
2023-08-08	0.0939	6.0000
2023-08-09	0.0897	5.0000
2023-08-10	0.2684	11.0000
2023-08-11	0.1508	8.0000
2023-08-14	0.0905	13.0000
2023-08-15	0.0823	6.0000
2023-08-16	0.2525	10.0000
2023-08-17	0.1627	14.0000
2023-08-18	0.0974	4.0000
2023-08-21	0.1898	10.0000
2023-08-22	0.1735	7.0000
2023-08-23	0.1075	8.0000
2023-08-24	0.1730	4.0000
2023-08-25	0.1067	10.0000
2023-08-28	0.1559	10.0000
2023-08-29	0.2109	8.0000
2023-08-30	0.1843	5.0000
2023-08-31	0.1685	10.0000
2023-09-01	0.1366	8.0000
2023-09-04		
2023-09-05	-0.0248	6.0000
2023-09-06	0.0600	9.0000
2023-09-07	0.0967	18.0000
2023-09-08	0.1019	17.0000
2023-09-11	0.0683	16.0000
2023-09-12	0.0759	16.0000
2023-09-13	0.0453	35.0000
2023-09-14	0.0318	15.0000
2023-09-15	0.0802	50.0000
2023-09-18	0.0623	21.0000
2023-09-19	0.1104	25.0000
2023-09-20	0.0810	27.0000
2023-09-21	0.1379	10.0000
2023-09-22	0.0129	27.0000
2023-09-25	0.1429	21.0000
2023-09-26	0.1096	20.0000
2023-09-27	0.0859	19.0000
2023-09-28	0.0351	10.0000
2023-09-29	0.0243	16.0000
2023-10-02	0.1022	18.0000
2023-10-03	0.0135	11.0000
2023-10-04	0.0764	14.0000
2023-10-05	0.0950	12.0000
2023-10-06	0.0856	14.0000
2023-10-09	0.1775	12.0000
2023-10-10	0.0713	11.0000
2023-10-11	0.1578	11.0000
2023-10-12	0.0684	15.0000
2023-10-13	0.0864	13.0000
2023-10-16	0.0038	12.0000
2023-10-17	0.0465	11.0000
2023-10-18	0.1312	17.0000
2023-10-19	0.0177	11.0000
2023-10-20	0.0543	13.0000
2023-10-23	0.0518	16.0000
2023-10-24	0.0397	12.0000
2023-10-25	0.1455	14.0000
2023-10-26	0.0899	30.0000
2023-10-27	0.0859	33.0000
2023-10-30	0.1155	27.0000
2023-10-31	0.1562	13.0000
2023-11-01	0.0765	10.0000
2023-11-02	0.1895	7.0000
2023-11-03	0.1307	13.0000
2023-11-06	0.1445	3.0000
2023-11-07	-0.0239	4.0000
2023-11-08	0.0322	6.0000
2023-11-09	0.0767	2.0000
2023-11-10	0.0766	7.0000
2023-11-13	0.1073	11.0000
2023-11-14	0.1088	4.0000
2023-11-15	0.1245	5.0000
2023-11-16	0.1645	4.0000
2023-11-17	0.1880	9.0000
2023-11-20	0.0679	2.0000
2023-11-21	0.1312	11.0000
2023-11-22	0.1218	6.0000
2023-11-23		
2023-11-24	0.1819	2.0000
2023-11-27	0.1661	2.0000
2023-11-28	0.1063	5.0000
2023-11-29	0.1415	13.0000
2023-11-30	0.1537	13.0000
2023-12-01	0.1324	9.0000
2023-12-04	0.1536	8.0000
2023-12-05	0.1836	13.0000
2023-12-06	0.1682	6.0000
2023-12-07	0.2236	12.0000
2023-12-08	0.1411	6.0000
2023-12-11	0.0454	7.0000
2023-12-12	0.0376	10.0000
2023-12-13	0.2018	10.0000
2023-12-14	0.1338	3.0000
2023-12-15	0.1992	9.0000
2023-12-18	0.1591	7.0000
2023-12-19	0.0864	3.0000
2023-12-20	0.0683	4.0000
2023-12-21	0.1873	6.0000
2023-12-22	0.2116	6.0000
2023-12-25		
2023-12-26	0.3043	1.0000
2023-12-27	0.2788	2.0000
2023-12-28	0.1543	5.0000
2023-12-29	0.0943	2.0000
2024-01-01		
2024-01-02	0.1924	3.0000
2024-01-03	0.1324	7.0000
2024-01-04	0.1165	7.0000
2024-01-05	0.1647	7.0000
2024-01-08	0.2869	5.0000
2024-01-09	0.1989	4.0000
2024-01-10	0.1685	9.0000
2024-01-11	-0.0065	6.0000
2024-01-12	0.1851	5.0000
2024-01-15		
2024-01-16	0.1104	3.0000
2024-01-17	-0.0096	5.0000
2024-01-18	0.1501	3.0000
2024-01-19	0.0783	7.0000
2024-01-22	0.1556	7.0000
2024-01-23	0.1777	1.0000
2024-01-24	0.1700	7.0000
2024-01-25	0.0372	3.0000
2024-01-26	0.0806	5.0000
2024-01-29	0.1959	5.0000
2024-01-30	0.1958	3.0000
2024-01-31	0.1636	4.0000
2024-02-01	0.3508	4.0000
2024-02-02	0.1210	7.0000
2024-02-05	0.2586	5.0000
2024-02-06	0.1184	13.0000
2024-02-07	0.2040	17.0000
2024-02-08	0.1282	12.0000
2024-02-09	0.0608	1.0000
2024-02-12	0.1558	3.0000
2024-02-13	0.2559	4.0000
2024-02-14	0.1959	1.0000
2024-02-15	0.1438	7.0000
2024-02-16	0.1112	8.0000
2024-02-19		
2024-02-20	0.1126	4.0000
2024-02-21	0.1316	3.0000
2024-02-22	0.2643	4.0000
2024-02-23	0.2119	4.0000
2024-02-26	0.1185	5.0000
2024-02-27	0.1635	2.0000
2024-02-28	0.1857	6.0000
2024-02-29	0.1997	5.0000
2024-03-01	0.1698	3.0000
2024-03-04	0.1877	12.0000
2024-03-05	0.1808	6.0000
2024-03-06	0.2391	7.0000
2024-03-07	0.1963	4.0000
2024-03-08		
2024-03-11	0.2206	6.0000
2024-03-12	0.1489	3.0000
2024-03-13	0.1917	5.0000
2024-03-14	0.1878	4.0000
2024-03-15	0.0056	3.0000
2024-03-18	0.3005	6.0000
2024-03-19	0.1903	7.0000
2024-03-20	0.1998	5.0000
2024-03-21	0.2488	3.0000
2024-03-22	0.2077	1.0000
2024-03-25	0.1683	1.0000
2024-03-26	0.1141	6.0000
2024-03-27	0.0931	6.0000
2024-03-28	0.2031	8.0000
2024-03-29		
2024-04-01	0.2403	7.0000
2024-04-02	0.1439	5.0000
2024-04-03	0.1315	6.0000
2024-04-04	0.0681	10.0000
2024-04-05	0.1075	7.0000
2024-04-08	0.2062	3.0000
2024-04-09	0.1213	5.0000
2024-04-10	0.1785	3.0000
2024-04-11	-0.0013	5.0000
2024-04-12	0.2398	7.0000
2024-04-15	0.1865	4.0000
2024-04-16	0.1311	6.0000
2024-04-17	0.1608	6.0000
2024-04-18	0.1751	4.0000
2024-04-19	0.1594	4.0000
2024-04-22	0.0732	9.0000
2024-04-23	0.2606	7.0000
2024-04-24	0.1143	14.0000
2024-04-25	0.1300	15.0000
2024-04-26	0.1370	4.0000
