Metric	Value
52WeekChange	0.5841453
SandP52WeekChange	0.14293182
address1	4340 E. Cotton Center Blvd.
address2	Suite 110
allTimeHigh	80.24
allTimeLow	3.375
ask	0.0
askSize	200
auditRisk	4
averageAnalystRating	1.8 - Buy
averageDailyVolume10Day	12340180
averageDailyVolume3Month	14415549
averageVolume	14415549
averageVolume10days	12340180
beta	1.401
bid	0.0
bidSize	100
boardRisk	5
bookValue	14.003
city	Phoenix
companyOfficers	[{'maxAge': 1, 'name': 'Ms. Kathleen Lynne Quirk', 'age': 61, 'title': 'CEO, President & Director', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 3007529, 'exercisedValue': 0, 'unexercisedValue': 30896940}, {'maxAge': 1, 'name': 'Ms. Maree E. Robertson', 'age': 49, 'title': 'Executive VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2025, 'totalPay': 1690079, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen T. Higgins', 'age': 67, 'title': 'Executive VP & Chief Administrative Officer', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 1429566, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Douglas N. Currault II', 'age': 60, 'title': 'Executive VP & General Counsel', 'yearBorn': 1965, 'fiscalYear': 2025, 'totalPay': 1301254, 'exercisedValue': 0, 'unexercisedValue': 5775500}, {'maxAge': 1, 'name': 'Ms. Ellie L. Mikes', 'age': 47, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1978, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bertrand L. Odinet II', 'title': 'Senior VP, Chief Information Officer & Chief Innovation Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Joint', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Pamela Q. Masson', 'title': 'Senior VP & Chief Human Resources Officer,', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. W. Russell King', 'age': 75, 'title': 'Senior Vice President of International Relations & Federal Government Affairs', 'yearBorn': 1950, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. A. Cory Stevens', 'title': 'Senior Vice President and President & COO of Freeport McMoRan Mining Services', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	2
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	72.16
currentRatio	2.066
customPriceAlertConfidence	HIGH
dateShortInterest	1788134400
dayHigh	73.28
dayLow	70.81
debtToEquity	32.149
discount_to_intrinsic_value	31.15
displayName	Freeport-McMoRan
dividendDate	1785715200
dividendRate	0.6
dividendYield	0.84
earningsCallTimestampEnd	1784815200
earningsCallTimestampStart	1784815200
earningsGrowth	0.281
earningsQuarterlyGrowth	0.275
earningsTimestamp	1784809800
earningsTimestampEnd	1792672200
earningsTimestampStart	1792672200
ebitda	9553999872
ebitdaMargins	0.36933997
enterpriseToEbitda	12.771
enterpriseToRevenue	4.717
enterpriseValue	122015023104
epsCurrentYear	3.04643
epsForward	4.14244
epsTrailingTwelveMonths	2.04
eps_normalized_growth	0.3496148479128096
esgPopulated	False
exDividendDate	1784073600
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	68.4086
fiftyDayAverageChange	3.7514038
fiftyDayAverageChangePercent	0.05483819
fiftyTwoWeekChangePercent	58.41453
fiftyTwoWeekHigh	80.24
fiftyTwoWeekHighChange	-8.079994
fiftyTwoWeekHighChangePercent	-0.10069784
fiftyTwoWeekLow	35.15
fiftyTwoWeekLowChange	37.010002
fiftyTwoWeekLowChangePercent	1.052916
fiftyTwoWeekRange	35.15 - 80.24
financialCurrency	USD
firstTradeDateMilliseconds	805383000000
fiveYearAvgDividendYield	1.28
floatShares	1426353125
forwardEps	4.14244
forwardPE	17.419687
freeCashflow	2159249920
fullExchangeName	NYSE
fullTimeEmployees	29000
fulldayChange	0.62000275
fulldayChangePercent	0.86665183
fulldayPrice	72.2
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1788220800
graham_intrinsic_value	104.81
grossMargins	0.38275
grossProfits	9900999680
hasPrePostMarketData	True
heldPercentInsiders	0.00716
heldPercentInstitutions	0.89408994
impliedSharesOutstanding	1436017523
industry	Copper
industryDisp	Copper
industryKey	copper
irWebsite	http://www.fcx.com/ir/index.htm
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1784073600
lastDividendValue	0.15
lastFiscalYearEnd	1767139200
lastSplitDate	1296604800
lastSplitFactor	2:1
longBusinessSummary	Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals. Its assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Chino and Tyrone in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. The company was incorporated in 1987 and is headquartered in Phoenix, Arizona.
longName	Freeport-McMoRan Inc.
market	us_market
marketCap	103623032832
marketState	POST
maxAge	86400
messageBoardId	finmb_273607
mostRecentQuarter	1782777600
netIncomeToCommon	2936000000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	102732693595
numberOfAnalystOpinions	22
open	72.89
operatingCashflow	5900000256
operatingMargins	0.33404
overallRisk	3
payoutRatio	0.2941
pegRatio	4.47
phone	602 366 8100
postMarketChange	0.039993286
postMarketChangePercent	0.055423066
postMarketPrice	72.2
postMarketTime	1790031414
previousClose	71.54
priceEpsCurrentYear	23.686743
priceHint	2
priceToBook	5.1531816
priceToSalesTrailing12Months	4.005839
profitMargins	0.113850005
quickRatio	0.795
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.78261
region	US
regularMarketChange	0.620003
regularMarketChangePercent	0.866652
regularMarketDayHigh	73.28
regularMarketDayLow	70.81
regularMarketDayRange	70.81 - 73.28
regularMarketOpen	72.89
regularMarketPreviousClose	71.54
regularMarketPrice	72.16
regularMarketTime	1790021029
regularMarketVolume	9736671
returnOnAssets	0.07585
returnOnEquity	0.14755
revenueGrowth	-0.073
revenuePerShare	17.995
sector	Basic Materials
sectorDisp	Basic Materials
sectorKey	basic-materials
shareHolderRightsRisk	6
sharesOutstanding	1436017523
sharesPercentSharesOut	0.0214
sharesShort	30687702
sharesShortPreviousMonthDate	1785456000
sharesShortPriorMonth	27791020
shortName	Freeport-McMoRan, Inc.
shortPercentOfFloat	0.0215
shortRatio	2.16
sourceInterval	15
state	AZ
symbol	FCX
targetHighPrice	85.0
targetLowPrice	30.0
targetMeanPrice	72.45455
targetMedianPrice	76.0
totalCash	4080000000
totalCashPerShare	2.841
totalDebt	10359000064
totalRevenue	25867999232
tradeable	False
trailingAnnualDividendRate	0.6
trailingAnnualDividendYield	0.0083869165
trailingEps	2.04
trailingPE	35.37255
trailingPegRatio	4.4712
triggerable	True
twoHundredDayAverage	62.30765
twoHundredDayAverageChange	9.852352
twoHundredDayAverageChangePercent	0.15812427
typeDisp	Equity
volume	9736671
website	https://fcx.com
zip	85040-8852
