Metric	Value
52WeekChange	1.2908607
SandP52WeekChange	0.26099288
address1	Iris House
address2	7th floor, Flat/Office 740B 8, John Kennedy Street
allTimeHigh	361.8
allTimeLow	3.79
ask	34.46
askSize	300
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	3490970
averageDailyVolume3Month	3950001
averageVolume	3950001
averageVolume10days	3490970
beta	0.056
bid	34.23
bidSize	300
bookValue	11.281
city	Limassol
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Lars H. Barstad', 'age': 54, 'title': 'Chief Executive Officer of Frontline Management AS', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 761000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Inger Marie Klemp', 'age': 61, 'title': 'Chief Financial Officer of Frontline Management AS', 'yearBorn': 1964, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 252000}, {'maxAge': 1, 'name': 'Marios  Saveriades', 'title': 'Secretary', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	Cyprus
cryptoTradeable	False
currency	USD
currentPrice	34.34
currentRatio	1.43
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	34.94
dayLow	33.703
debtToEquity	122.178
discount_to_intrinsic_value	66.33
displayName	Frontline
dividendDate	1773878400
dividendRate	1.76
dividendYield	5.13
earningsCallTimestampEnd	1772200800
earningsCallTimestampStart	1772200800
earningsGrowth	2.416
earningsQuarterlyGrowth	2.416
earningsTimestamp	1772199000
earningsTimestampEnd	1780057800
earningsTimestampStart	1780057800
ebitda	898118976
ebitdaMargins	0.45703
enterpriseToEbitda	11.645
enterpriseToRevenue	5.322
enterpriseValue	10458433536
epsCurrentYear	3.62333
epsForward	2.35332
epsTrailingTwelveMonths	1.7
eps_normalized_growth	1.8632260195787755
esgPopulated	False
exDividendDate	1773273600
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	33.2022
fiftyDayAverageChange	1.1377983
fiftyDayAverageChangePercent	0.03426876
fiftyTwoWeekChangePercent	129.08606
fiftyTwoWeekHigh	39.89
fiftyTwoWeekHighChange	-5.549999
fiftyTwoWeekHighChangePercent	-0.1391326
fiftyTwoWeekLow	14.46
fiftyTwoWeekLowChange	19.880001
fiftyTwoWeekLowChangePercent	1.3748271
fiftyTwoWeekRange	14.46 - 39.89
financialCurrency	USD
firstTradeDateMilliseconds	997104600000
fiveYearAvgDividendYield	11.48
floatShares	120775144
forwardEps	2.35332
forwardPE	14.592152
freeCashflow	544334720
fullExchangeName	NYSE
fullTimeEmployees	85
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	102.0
grossMargins	0.49488997
grossProfits	972510016
hasPrePostMarketData	True
heldPercentInsiders	0.35812
heldPercentInstitutions	0.29094
impliedSharesOutstanding	222622890
industry	Oil & Gas Midstream
industryDisp	Oil & Gas Midstream
industryKey	oil-gas-midstream
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1773273600
lastDividendValue	1.03
lastFiscalYearEnd	1767139200
lastSplitDate	1454457600
lastSplitFactor	1:5
longBusinessSummary	Frontline plc, a shipping company, engages in the ownership and operation of oil and product tankers worldwide. The company owns and operates oil and product tankers, such as very large crude carriers (VLCCs), Suezmax tankers, and LR2/Aframax tankers. As of December 31, 2025, it operated a fleet of 80 vessels, including 41 VLCCs, 21 Suezmax tankers, and 18 LR2/Aframax tankers. The company is also involved in the charter, purchase, and sale of vessels. Frontline plc was founded in 1985 and is based in Limassol, Cyprus.
longName	Frontline plc
market	us_market
marketCap	7644870144
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_144797851
mostRecentQuarter	1767139200
nameChangeDate	2026-04-10
netIncomeToCommon	379080992
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	7751728994
numberOfAnalystOpinions	4
open	34.43
operatingCashflow	682460032
operatingMargins	0.44496
payoutRatio	0.5471
phone	357 2 5588767
postMarketChange	-0.20000076
postMarketChangePercent	-0.5824134
postMarketPrice	34.14
postMarketTime	1775865600
prevName	Frontline Ltd.
previousClose	34.82
priceEpsCurrentYear	9.477469
priceHint	2
priceToBook	3.0440564
priceToSalesTrailing12Months	3.8903131
profitMargins	0.19291
quickRatio	1.095
quoteSourceName	Delayed Quote
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.25
region	US
regularMarketChange	-0.48
regularMarketChangePercent	-1.37852
regularMarketDayHigh	34.94
regularMarketDayLow	33.703
regularMarketDayRange	33.703 - 34.94
regularMarketOpen	34.43
regularMarketPreviousClose	34.82
regularMarketPrice	34.34
regularMarketTime	1775851202
regularMarketVolume	2859195
returnOnAssets	0.061880004
returnOnEquity	0.15629
revenueGrowth	0.467
revenuePerShare	8.827
sector	Energy
sectorDisp	Energy
sectorKey	energy
sharesOutstanding	222622889
sharesPercentSharesOut	0.0159
sharesShort	3550670
sharesShortPreviousMonthDate	1770940800
sharesShortPriorMonth	3555411
shortName	Frontline Plc
shortPercentOfFloat	0.0248
shortRatio	0.68
sourceInterval	15
symbol	FRO
syntheticPEG	0.06039798013245033
targetHighPrice	46.0
targetLowPrice	33.0
targetMeanPrice	41.25
targetMedianPrice	43.0
totalCash	253708992
totalCashPerShare	1.14
totalDebt	3067745024
totalRevenue	1965104000
tradeable	False
trailingAnnualDividendRate	1.76
trailingAnnualDividendYield	0.050545663
trailingEps	1.7
trailingPE	20.199999
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	24.85715
twoHundredDayAverageChange	9.482851
twoHundredDayAverageChangePercent	0.3814939
typeDisp	Equity
volume	2859195
website	https://www.frontlineplc.cy
zip	3106
