Date	Open	High	Low	Close	Volume
2018-01-02	4.92	4.92	4.63	2.48	1410500
2018-01-03	4.77	4.85	4.75	2.55	873400
2018-01-04	5.16	5.2	5.06	2.71	1633200
2018-01-05	5.15	5.16	4.99	2.67	710900
2018-01-08	5.05	5.05	4.85	2.58	596100
2018-01-09	4.92	4.93	4.76	2.54	650200
2018-01-10	4.84	4.86	4.76	2.55	483100
2018-01-11	4.87	4.93	4.85	2.59	515900
2018-01-12	5.01	5.08	4.95	2.68	799400
2018-01-16	5.17	5.24	5.07	2.69	993000
2018-01-17	5.13	5.14	4.98	2.67	737700
2018-01-18	5.07	5.08	4.95	2.63	397100
2018-01-19	4.95	4.98	4.94	2.63	354300
2018-01-22	4.98	4.98	4.91	2.61	363800
2018-01-23	4.95	4.98	4.91	2.63	317500
2018-01-24	4.97	4.99	4.89	2.59	417700
2018-01-25	4.96	4.97	4.88	2.6	604900
2018-01-26	4.96	4.96	4.87	2.58	486300
2018-01-29	4.93	4.96	4.75	2.56	1182600
2018-01-30	4.76	4.76	4.61	2.46	612800
2018-01-31	4.66	4.69	4.5	2.43	678800
2018-02-01	4.64	4.69	4.54	2.43	656400
2018-02-02	4.56	4.56	4.36	2.31	953800
2018-02-05	4.33	4.33	4.11	2.19	931200
2018-02-06	4.01	4.17	4.0	2.19	1013300
2018-02-07	4.1	4.16	4.05	2.15	415900
2018-02-08	4.12	4.17	3.97	2.11	797800
2018-02-09	3.97	4.03	3.79	2.09	1083100
2018-02-12	4.06	4.12	4.0	2.15	500000
2018-02-13	4.04	4.04	3.98	2.12	688000
2018-02-14	3.95	4.09	3.94	2.16	462800
2018-02-15	4.07	4.07	4.0	2.12	465000
2018-02-16	4.03	4.06	3.94	2.11	434500
2018-02-20	4.02	4.08	3.98	2.15	541800
2018-02-21	4.07	4.11	4.04	2.15	327700
2018-02-22	4.04	4.23	4.04	2.19	650400
2018-02-23	4.18	4.33	4.18	2.28	750800
2018-02-26	4.28	4.29	4.12	2.2	471200
2018-02-27	4.21	4.23	3.99	2.13	1050600
2018-02-28	4.04	4.05	3.87	2.05	1129300
2018-03-01	3.87	3.93	3.8	2.05	777000
2018-03-02	3.85	4.05	3.84	2.13	889000
2018-03-05	3.97	4.09	3.97	2.14	559600
2018-03-06	4.4	4.51	4.36	2.35	1463000
2018-03-07	4.41	4.55	4.39	2.37	786000
2018-03-08	4.41	4.42	4.3	2.28	374400
2018-03-09	4.36	4.42	4.32	2.31	297500
2018-03-12	4.35	4.42	4.33	2.32	213100
2018-03-13	4.49	4.61	4.47	2.39	511500
2018-03-14	4.49	4.51	4.4	2.37	399800
2018-03-15	4.38	4.5	4.3	2.38	466000
2018-03-16	4.4	4.46	4.36	2.35	859700
2018-03-19	4.4	4.4	4.34	2.32	279400
2018-03-20	4.4	4.47	4.32	2.34	582100
2018-03-21	4.42	4.59	4.42	2.42	681300
2018-03-22	4.5	4.54	4.43	2.38	456600
2018-03-23	4.54	4.57	4.45	2.36	257900
2018-03-26	4.53	4.6	4.48	2.43	379200
2018-03-27	4.61	4.68	4.56	2.43	469000
2018-03-28	4.6	4.63	4.39	2.32	606500
2018-03-29	4.44	4.53	4.38	2.34	478700
2018-04-02	4.42	4.49	4.35	2.33	485400
2018-04-03	4.44	4.5	4.4	2.37	337000
2018-04-04	4.41	4.49	4.38	2.37	328700
2018-04-05	4.49	4.56	4.44	2.39	283200
2018-04-06	4.43	4.48	4.29	2.27	464400
2018-04-09	4.35	4.35	4.3	2.28	315100
2018-04-10	4.39	4.5	4.35	2.38	201900
2018-04-11	4.46	4.7	4.46	2.46	323900
2018-04-12	4.69	4.83	4.67	2.55	494900
2018-04-13	4.73	4.8	4.69	2.53	318200
2018-04-16	4.71	4.89	4.68	2.57	269100
2018-04-17	4.77	4.83	4.74	2.54	239100
2018-04-18	4.76	4.89	4.74	2.56	386600
2018-04-19	4.82	4.9	4.79	2.58	363200
2018-04-20	4.85	4.93	4.84	2.59	281300
2018-04-23	4.83	4.88	4.81	2.57	116300
2018-04-24	4.83	4.89	4.75	2.54	267000
2018-04-25	4.61	4.61	4.49	2.42	398000
2018-04-26	4.53	4.6	4.51	2.41	238800
2018-04-27	4.5	4.53	4.47	2.37	251000
2018-04-30	4.38	4.39	4.3	2.29	446300
2018-05-01	4.33	4.35	4.3	2.3	200300
2018-05-02	4.31	4.36	4.28	2.28	347100
2018-05-03	4.32	4.35	4.25	2.27	272300
2018-05-04	4.28	4.33	4.24	2.25	216500
2018-05-07	4.29	4.4	4.26	2.31	330100
2018-05-08	4.53	4.58	4.43	2.38	562400
2018-05-09	4.58	4.67	4.57	2.46	308800
2018-05-10	4.63	4.67	4.6	2.46	179700
2018-05-11	4.67	4.72	4.63	2.46	139500
2018-05-14	4.67	4.75	4.65	2.51	198700
2018-05-15	4.69	4.72	4.6	2.47	204500
2018-05-16	4.66	4.69	4.61	2.46	182400
2018-05-17	4.64	4.74	4.64	2.49	212100
2018-05-18	4.69	4.76	4.67	2.5	226700
2018-05-21	4.75	4.82	4.71	2.54	221300
2018-05-22	4.76	4.83	4.75	2.54	272800
2018-05-23	4.76	4.83	4.74	2.55	230100
2018-05-24	4.82	4.85	4.75	2.52	215700
2018-05-25	4.74	4.81	4.66	2.52	296700
2018-05-29	5.0	5.08	4.91	2.65	751600
2018-05-30	5.12	5.24	5.11	2.77	730300
2018-05-31	5.75	5.95	5.7	3.04	1591000
2018-06-01	5.73	5.76	5.59	3.02	572700
2018-06-04	5.67	5.7	5.57	2.98	427100
2018-06-05	5.59	5.63	5.55	2.97	475100
2018-06-06	5.66	5.86	5.66	3.04	621700
2018-06-07	5.78	5.81	5.65	3.0	400200
2018-06-08	5.69	5.73	5.53	2.96	553900
2018-06-11	5.59	5.65	5.54	2.99	307100
2018-06-12	5.64	5.68	5.48	2.94	543200
2018-06-13	5.61	5.7	5.57	3.02	387000
2018-06-14	5.7	5.72	5.61	3.0	433700
2018-06-15	5.5	5.55	5.43	2.9	855600
2018-06-18	5.71	6.02	5.68	3.17	1767200
2018-06-19	5.83	6.08	5.82	3.2	955600
2018-06-20	6.06	6.07	5.93	3.16	707000
2018-06-21	6.04	6.05	5.94	3.15	698100
2018-06-22	6.1	6.38	6.08	3.37	1467600
2018-06-25	6.17	6.23	6.05	3.29	619000
