Metric	Value
52WeekChange	0.25793195
SandP52WeekChange	0.19786096
address1	4300 E Camelback Road
address2	Suite 220
allTimeHigh	320.95
allTimeLow	11.43
ask	250.3
askSize	1
auditRisk	5
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	2280800
averageDailyVolume3Month	2414927
averageVolume	2414927
averageVolume10days	2280800
beta	1.746
bid	228.28
bidSize	1
boardRisk	9
bookValue	91.934
city	Phoenix
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Mark R. Widmar', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 2638573, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexander R. Bradley', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1981, 'fiscalYear': 2025, 'totalPay': 1165375, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jason E. Dymbort', 'age': 47, 'title': 'General Counsel & Secretary', 'yearBorn': 1978, 'fiscalYear': 2025, 'totalPay': 967847, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Georges J. Antoun', 'age': 62, 'title': 'Chief Commercial Officer', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 1232644, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kuntal Kumar Verma', 'age': 52, 'title': 'Chief Manufacturing Officer', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 951062, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nathan B. Theurer', 'age': 44, 'title': 'VP, Global Controller & Chief Accounting Officer', 'yearBorn': 1981, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Markus  Gloeckler', 'age': 51, 'title': 'Chief Technology Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 560074, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Byron Michael Jeffers', 'age': 41, 'title': 'VP, Treasurer & Head of Investor Relations', 'yearBorn': 1984, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Caroline  Stockdale', 'age': 62, 'title': 'Chief People & Communications Officer', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 923801, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Koralewski', 'age': 53, 'title': 'Chief Supply Chain Officer', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	8
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	236.8
currentRatio	2.518
customPriceAlertConfidence	HIGH
dateShortInterest	1784073600
dayHigh	243.86
dayLow	225.94
debtToEquity	1.88
discount_to_intrinsic_value	-203.97
displayName	First Solar
earningsCallTimestampEnd	1785443400
earningsCallTimestampStart	1785443400
earningsGrowth	0.233
earningsQuarterlyGrowth	0.236
earningsTimestamp	1785441600
earningsTimestampEnd	1793304000
earningsTimestampStart	1793304000
ebitda	2385900032
ebitdaMargins	0.44362998
enterpriseToEbitda	9.841
enterpriseToRevenue	4.366
enterpriseValue	23478489088
epsCurrentYear	17.59197
epsForward	22.9967
epsTrailingTwelveMonths	9.79
eps_normalized_growth	-0.8321942142333385
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	602 414 9400
fiftyDayAverage	245.0684
fiftyDayAverageChange	-8.268402
fiftyDayAverageChangePercent	-0.03373916
fiftyTwoWeekChangePercent	25.793194
fiftyTwoWeekHigh	320.95
fiftyTwoWeekHighChange	-84.15001
fiftyTwoWeekHighChangePercent	-0.2621904
fiftyTwoWeekLow	176.47
fiftyTwoWeekLowChange	60.33
fiftyTwoWeekLowChangePercent	0.34187114
fiftyTwoWeekRange	176.47 - 320.95
financialCurrency	USD
firstTradeDateMilliseconds	1163773800000
floatShares	101626656
forwardEps	22.9967
forwardPE	10.29713
freeCashflow	1598684800
fullExchangeName	NasdaqGS
fullTimeEmployees	7900
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1785542400
graham_intrinsic_value	77.9
grossMargins	0.44015998
grossProfits	2367220992
hasPrePostMarketData	True
heldPercentInsiders	0.053990003
heldPercentInstitutions	0.98065
impliedSharesOutstanding	107469788
industry	Solar
industryDisp	Solar
industryKey	solar
irWebsite	http://investor.firstsolar.com/index.cfm
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	First Solar, Inc., a solar technology company, provides photovoltaic (PV) solar energy solutions in the United States, France, India, Chile, and internationally. The company manufactures and sells PV solar modules with thin film semiconductor technology that provides conventional crystalline silicon PV solar modules. It also designs, manufactures, and sells cadmium telluride solar modules that convert sunlight into electricity. The company serves system developers, independent power producers, utilities, commercial and industrial companies, large corporate energy buyers, and other system owners and operators. The company was formerly known as First Solar Holdings, Inc. and changed its name to First Solar, Inc. in 2006. First Solar, Inc. was founded in 1999 and is headquartered in Phoenix, Arizona.
longName	First Solar, Inc.
market	us_market
marketCap	25448847360
marketState	POST
maxAge	86400
messageBoardId	finmb_4593731
mostRecentQuarter	1782777600
netIncomeToCommon	1746013952
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	22679349361
numberOfAnalystOpinions	29
open	236.25
operatingCashflow	2155742976
operatingMargins	0.42641997
overallRisk	8
payoutRatio	0.0
pegRatio	0.55
phone	602 414 9300
postMarketChange	0.19999695
postMarketChangePercent	0.08445817
postMarketPrice	237.0
postMarketTime	1785971851
previousClose	243.63
priceEpsCurrentYear	13.460687
priceHint	2
priceToBook	2.5757608
priceToSalesTrailing12Months	4.7319655
profitMargins	0.32465
quickRatio	1.701
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.11111
region	US
regularMarketChange	-6.830002
regularMarketChangePercent	-2.8034322
regularMarketDayHigh	243.86
regularMarketDayLow	225.94
regularMarketDayRange	225.94 - 243.86
regularMarketOpen	236.25
regularMarketPreviousClose	243.63
regularMarketPrice	236.8
regularMarketTime	1785960001
regularMarketVolume	3200946
returnOnAssets	0.08619001
returnOnEquity	0.18509
revenueGrowth	-0.037
revenuePerShare	50.1
sector	Technology
sectorDisp	Technology
sectorKey	technology
shareHolderRightsRisk	7
sharesOutstanding	107469788
sharesPercentSharesOut	0.092
sharesShort	9890366
sharesShortPreviousMonthDate	1781481600
sharesShortPriorMonth	8537226
shortName	First Solar, Inc.
shortPercentOfFloat	0.120299995
shortRatio	5.28
sourceInterval	15
state	AZ
symbol	FSLR
targetHighPrice	330.0
targetLowPrice	150.0
targetMeanPrice	256.14276
targetMedianPrice	265.0
totalCash	1726963968
totalCashPerShare	16.069
totalDebt	194010000
totalRevenue	5378071040
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	9.79
trailingPE	24.187948
trailingPegRatio	0.5532
triggerable	True
twoHundredDayAverage	234.2722
twoHundredDayAverageChange	2.5278015
twoHundredDayAverageChangePercent	0.010790019
typeDisp	Equity
volume	3200519
website	https://www.firstsolar.com
zip	85018
