Metric	Value
allTimeHigh	61.51
allTimeLow	24.36
ask	60.35
askSize	300
averageDailyVolume10Day	507740
averageDailyVolume3Month	335606
averageVolume	335606
averageVolume10days	507740
beta3Year	0.68
bid	58.0
bidSize	300
category	Utilities
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	59.865
dayLow	59.22
dividendYield	2.5
epsTrailingTwelveMonths	2.6491065
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	59.3294
fiftyDayAverageChange	0.52059937
fiftyDayAverageChangePercent	0.0087747285
fiftyTwoWeekChangePercent	18.187237
fiftyTwoWeekHigh	61.51
fiftyTwoWeekHighChange	-1.6599998
fiftyTwoWeekHighChangePercent	-0.02698748
fiftyTwoWeekLow	48.58
fiftyTwoWeekLowChange	11.269997
fiftyTwoWeekLowChangePercent	0.2319884
fiftyTwoWeekRange	48.58 - 61.51
firstTradeDateMilliseconds	1382621400000
fiveYearAverageReturn	0.0978804
fullExchangeName	NYSEArca
fundFamily	Fidelity Investments
fundInceptionDate	1382313600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Utilities 25/50 Index, which represents the performance of the utilities sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Utilities 25/50 Index. The fund is non-diversified.
longName	Fidelity MSCI Utilities Index ETF
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_243638577
navPrice	59.44652
netAssets	2437556220.0
netExpenseRatio	0.084
open	59.48
postMarketChange	0.15000153
postMarketChangePercent	0.25062913
postMarketPrice	60.0
postMarketTime	1776383461
previousClose	59.46
priceHint	2
quoteSourceName	Delayed Quote
quoteType	ETF
region	US
regularMarketChange	0.389999
regularMarketChangePercent	0.655902
regularMarketDayHigh	59.865
regularMarketDayLow	59.22
regularMarketDayRange	59.22 - 59.865
regularMarketOpen	59.48
regularMarketPreviousClose	59.46
regularMarketPrice	59.85
regularMarketTime	1776369600
regularMarketVolume	294559
shortName	Fidelity MSCI Utilities Index E
sourceInterval	15
symbol	FUTY
threeYearAverageReturn	0.1349029
totalAssets	2437556224
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPE	22.592522
trailingPegRatio	None
trailingThreeMonthNavReturns	7.78962
trailingThreeMonthReturns	7.78962
triggerable	True
twoHundredDayAverage	56.73485
twoHundredDayAverageChange	3.1151466
twoHundredDayAverageChangePercent	0.05490711
typeDisp	ETF
volume	294559
yield	0.025
ytdReturn	7.78962
