Metric	Value
allTimeHigh	5586.2
allTimeLow	255.0
ask	4479.7
askSize	8
averageDailyVolume10Day	10288
averageDailyVolume3Month	3505
averageVolume	3505
averageVolume10days	10288
bid	4479.2
bidSize	14
contractSymbol	False
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dayHigh	4508.7
dayLow	4478.7
esgPopulated	False
exchange	CMX
exchangeDataDelayedBy	10
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
expireDate	1787788800
expireIsoDate	2026-08-27T00:00:00Z
fiftyDayAverage	4630.256
fiftyDayAverageChange	-150.85596
fiftyDayAverageChangePercent	-0.03258048
fiftyTwoWeekChangePercent	32.411133
fiftyTwoWeekHigh	5586.2
fiftyTwoWeekHighChange	-1106.8003
fiftyTwoWeekHighChangePercent	-0.19813116
fiftyTwoWeekLow	3253.8
fiftyTwoWeekLowChange	1225.5999
fiftyTwoWeekLowChangePercent	0.37666723
fiftyTwoWeekRange	3253.8 - 5586.2
firstTradeDateMilliseconds	967608000000
fullExchangeName	COMEX
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
headSymbolAsString	GC=F
language	en-US
market	us24_market
marketState	REGULAR
maxAge	86400
open	4503.0
openInterest	262500
previousClose	4505.0
priceHint	2
quoteSourceName	Delayed Quote
quoteType	FUTURE
region	US
regularMarketChange	-25.600098
regularMarketChangePercent	-0.56825966
regularMarketDayHigh	4508.7
regularMarketDayLow	4478.7
regularMarketDayRange	4478.7 - 4508.7
regularMarketOpen	4503.0
regularMarketPreviousClose	4505.0
regularMarketPrice	4479.4
regularMarketTime	1780618834
regularMarketVolume	5520
shortName	Gold Aug 26
sourceInterval	15
symbol	GC=F
tradeable	False
trailingPegRatio	None
triggerable	False
twoHundredDayAverage	4404.727
twoHundredDayAverageChange	74.67285
twoHundredDayAverageChangePercent	0.016952889
typeDisp	Futures
underlyingExchangeSymbol	GCQ26.CMX
underlyingSymbol	GCQ26.CMX
volume	5520
