Metric	Value
52WeekChange	0.2876904
SandP52WeekChange	0.2875371
address1	11011 Sunset Hills Road
allTimeHigh	369.7
allTimeLow	0.3375
ask	343.82
askSize	80
auditRisk	6
averageAnalystRating	2.2 - Buy
averageDailyVolume10Day	1314980
averageDailyVolume3Month	1354038
averageVolume	1354038
averageVolume10days	1314980
beta	0.387
bid	344.68
bidSize	200
boardRisk	5
bookValue	94.902
city	Reston
companyOfficers	[{'maxAge': 1, 'name': 'Ms. Phebe N. Novakovic', 'age': 67, 'title': 'Chairperson & CEO', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 8164003, 'exercisedValue': 29859444, 'unexercisedValue': 71341008}, {'maxAge': 1, 'name': 'Mr. Danny  Deep', 'age': 55, 'title': 'President', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 3544278, 'exercisedValue': 0, 'unexercisedValue': 16367571}, {'maxAge': 1, 'name': 'Ms. Kimberly A. Kuryea', 'age': 58, 'title': 'Senior VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 3135011, 'exercisedValue': 0, 'unexercisedValue': 23134262}, {'maxAge': 1, 'name': 'Mr. Mark L. Burns', 'age': 65, 'title': 'Executive Vice President', 'yearBorn': 1960, 'fiscalYear': 2025, 'totalPay': 2925810, 'exercisedValue': 9276056, 'unexercisedValue': 17188844}, {'maxAge': 1, 'name': 'Mr. Jason W. Aiken CPA', 'age': 53, 'title': 'Executive Vice President of Combat & Mission Systems', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 3580442, 'exercisedValue': 3163535, 'unexercisedValue': 30626016}, {'maxAge': 1, 'name': 'Mr. Shane A. Berg', 'age': 53, 'title': 'Senior Vice President of Human Resources & Administration', 'yearBorn': 1972, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Nicole M. Shelton', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Gregory S. Gallopoulos', 'age': 65, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1960, 'fiscalYear': 2025, 'totalPay': 1758747, 'exercisedValue': 2526242, 'unexercisedValue': 5856439}, {'maxAge': 1, 'name': 'Ms. Elizabeth L. Schmid', 'title': 'Senior Vice President for Government Relations & Communications', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marguerite Amy Gilliland', 'age': 50, 'title': 'Executive Vice President', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	3
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	343.9
currentRatio	1.444
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	350.24
dayLow	343.52
debtToEquity	38.205
discount_to_intrinsic_value	-48.34
displayName	General Dynamics
dividendDate	1778198400
dividendRate	6.09
dividendYield	1.74
earningsCallTimestampEnd	1777467600
earningsCallTimestampStart	1777467600
earningsGrowth	0.004
earningsQuarterlyGrowth	-0.004
earningsTimestamp	1777465800
earningsTimestampEnd	1777465800
earningsTimestampStart	1777465800
ebitda	6344000000
ebitdaMargins	0.12072
enterpriseToEbitda	16.071
enterpriseToRevenue	1.94
enterpriseValue	101955371008
epsCurrentYear	16.29973
epsForward	17.96639
epsTrailingTwelveMonths	15.44
eps_normalized_growth	0.031381495521412894
esgPopulated	False
exDividendDate	1775779200
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	352.66
fiftyDayAverageChange	-8.76001
fiftyDayAverageChangePercent	-0.024839817
fiftyTwoWeekChangePercent	28.76904
fiftyTwoWeekHigh	369.7
fiftyTwoWeekHighChange	-25.800018
fiftyTwoWeekHighChangePercent	-0.06978636
fiftyTwoWeekLow	262.84
