Metric	Value
allTimeHigh	109.74
allTimeLow	23.472
ask	88.08
askSize	9200
averageDailyVolume10Day	3537510
averageDailyVolume3Month	5241568
averageVolume	5241568
averageVolume10days	3537510
beta3Year	0.16
bid	87.91
bidSize	1400
category	Commodities Focused
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	88.225
dayLow	87.57
dividendYield	0.0
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	91.5484
fiftyDayAverageChange	-3.6184006
fiftyDayAverageChangePercent	-0.039524455
fiftyTwoWeekChangePercent	32.864414
fiftyTwoWeekHigh	109.74
fiftyTwoWeekHighChange	-21.809998
fiftyTwoWeekHighChangePercent	-0.19874246
fiftyTwoWeekLow	64.46
fiftyTwoWeekLowChange	23.470001
fiftyTwoWeekLowChangePercent	0.3641018
fiftyTwoWeekRange	64.46 - 109.74
firstTradeDateMilliseconds	1530019800000
fiveYearAverageReturn	0.1850919
fullExchangeName	NYSEArca
fundFamily	State Street Investment Management
fundInceptionDate	1529884800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The Shares are designed for investors who want a cost-effective and convenient way to invest in gold. Advantages of investing in the Shares include ease and flexibility of investment and expenses.
longName	SPDR Gold MiniShares
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_572249206
navPrice	89.11349
netAssets	31038236700.0
netExpenseRatio	0.1
open	88.025
phone	(212) 317-3800
postMarketChange	0.5299988
postMarketChangePercent	0.6027508
postMarketPrice	88.46
postMarketTime	1780531186
previousClose	88.78
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	-0.849998
regularMarketChangePercent	-0.957421
regularMarketDayHigh	88.225
regularMarketDayLow	87.57
regularMarketDayRange	87.57 - 88.225
regularMarketOpen	88.025
regularMarketPreviousClose	88.78
regularMarketPrice	87.93
regularMarketTime	1780516800
regularMarketVolume	3614031
shortName	SPDR Gold MiniShares Trust
sourceInterval	15
symbol	GLDM
threeYearAverageReturn	0.3190955
totalAssets	31038236672
tradeable	False
trailingPegRatio	None
trailingThreeMonthNavReturns	-7.45999
trailingThreeMonthReturns	-7.45999
triggerable	True
twoHundredDayAverage	86.81525
twoHundredDayAverageChange	1.1147537
twoHundredDayAverageChangePercent	0.012840529
typeDisp	ETF
volume	3614031
yield	0.0
ytdReturn	7.0085
