Date	Source	Sentiment	Headline	Summary	URL
2026-07-23	Google	0.5	Analysts Are Neutral on Top Technology Stocks: Corning (GLW), Kyndryl Holdings Incorporation (KD) - The Globe and Mail		https://news.google.com/rss/articles/CBMihgJBVV95cUxPakpTRDNteVREOHRLMHZXOGRFV0JFbllwelVjeGRkVDFXUXRlbzJDYXhnQXhscG45V2wzZmtVUWVDN2t5V1RNSllZcUlaSmVDSklGSGhNaWZ5YkJNV0JSeU9GLXZyRjJyY3hpQVJzd245a2ZZLWNQQUZjNTdWUnNDOEd1OHF0LUI0NDI0TjVDRXZySTdpVFoyX01qYTROeXR0d1NCaTEya3JDdXFwRm92Ulp2M2xjdFdBYkFjQjJyQVVaRHlqdGJTRXlyQndkV29yT18yaU9wNHc2ZmN1QXlTVC1kNFh1bVZwb3gzc0xEMlM3ZEVDSUdSNDdHbG0temN2dnZNQzJn?oc=5
2026-07-23	Yahoo	0.296	TMUS Q2 Earnings Top Estimates on Strong Service Revenue Growth	T-Mobile tops Q2 earnings and revenue estimates as service revenue growth, higher postpaid ARPA and solid customer additions fueled stronger cash flow and outlook.	https://finance.yahoo.com/markets/stocks/articles/tmus-q2-earnings-top-estimates-152900705.html?.tsrc=rss
2026-07-23	Yahoo	0.25	Nokia's Q2 Earnings Beat Estimates on Higher AI & Cloud Demand	NOK's Q2 earnings beat profit estimates as AI & Cloud demand lift Network Infrastructure growth, even as revenues miss expectations.	https://finance.yahoo.com/technology/ai/articles/nokias-q2-earnings-beat-estimates-161600676.html?.tsrc=rss
2026-07-23	Yahoo	0.0	Countdown to Corning (GLW) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS	Looking beyond Wall Street's top-and-bottom-line estimate forecasts for Corning (GLW), delve into some of its key metrics to gain a deeper insight into the company's potential performance for the quarter ended June 2026.	https://finance.yahoo.com/markets/stocks/articles/countdown-corning-glw-q2-earnings-131506051.html?.tsrc=rss
2026-07-23	Yahoo	0.0	Knowles (KN) Beats Q2 Earnings and Revenue Estimates	Knowles (KN) delivered earnings and revenue surprises of +10.00% and +6.99%, respectively, for the quarter ended June 2026. Do the numbers hold clues to what lies ahead for the stock?	https://finance.yahoo.com/markets/stocks/articles/knowles-kn-beats-q2-earnings-222007602.html?.tsrc=rss
2026-07-23	Yahoo	-0.025	Cell Culture Market Analysis by Consumables, Vessels, Equipment, Application, and Competition - Global Forecast to 2031	"Biopharmaceutical production led applications in 2025, while sera, media and reagents dominated consumables. Asia-Pacific is expected to record the fastest growth through 2031. Key players include Thermo Fisher Scientific, Danaher, Sartorius, Merck and Corning. Cell Culture Market Cell Culture Market Dublin, July 23, 2026 (GLOBE NEWSWIRE) -- The ""Cell Culture Market by Consumables, Vessels, Equipment, Application, Competition - Global Forecast to 2031"" has been added to ResearchAndMarkets.com's"	https://finance.yahoo.com/healthcare/articles/cell-culture-market-analysis-consumables-141800446.html?.tsrc=rss
2026-07-23	Yahoo	-0.079	NVIDIA is Acquiring ‘Dark Fiber’ Across the United States. Here’s Why That’s a Big Deal.	NVIDIA is quietly buying up unlit fiber cables buried beneath American soil, and the strategic logic behind that move reveals something much bigger than a simple supply chain upgrade.	https://247wallst.com/investing/2026/07/23/nvidia-is-acquiring-dark-fiber-across-the-united-states-heres-why-thats-a-big-deal/?.tsrc=rss
2026-07-22	Google	0.214	Is GLW Stock a Smart Investment Option Before Q2 Earnings Release? - Zacks Investment Research		https://news.google.com/rss/articles/CBMiqgFBVV95cUxPT19la25lRHdNMmthOWNBMDVxMElHZGlqQktod1JnTWtGWUZ1OTBBZzJoQWlic0ZwMkpOcUVpdWhTWWltMlpZRDc1LUx6Qmt0V2kyT0FWRHZkbWU2ZG1BSElvSEV0amlGVk9ieHNRZ0w4NUdHOGVRcVNIU0lrMmFUTFRHeVFNMm9ST3dwRi0xYzQ5Ykc3eW5feDdMcjVJZ2FkcG01MzdQRFVOQQ?oc=5
2026-07-22	Yahoo	0.214	Super Micro, ServiceNow, GE Vernova, Pegasystems, and More Stocks That Explain Today’s Market	Super Micro Computer Inc. was the S&amp;P 500’s top performer, jumping 19.8% after it doubled previous guidance for gross margins for the fiscal fourth quarter.	https://finance.yahoo.com/m/281450da-5a9b-345b-af5f-4d2fae8d5e5d/super-micro%2C-servicenow%2C-ge.html?.tsrc=rss
2026-07-22	Google	0.2	Industrials Heavyweight 3M Wants A Piece Of The AI Fiber Optics Boom — GLW, COHR, LITE Should Take Note - Stocktwits		https://news.google.com/rss/articles/CBMi9wFBVV95cUxQeU5mX0lTMkdQdTloMUdkUVpoTzNPd0VuUVlTdzJuUWZhLTlSUGVRTFAwXzlHYk9SbE1Ud29NaWQ4cTV1Zk1kQmZXdTlJVFZJell2RE03aWJfdDV2WnlVTVRoSVEyOElUTzZzWmRpUXNHVE1vM1dJRVZLTDlkb3g4emZ0V09kMjNRU3ljVDFzU3ZxYW03ME9fVXMtTHRsbFpZb0d4ZHNDajJJUFowOGsybTZ2dzBFNUEwVDEyem5OZ1JlQXRLOTFtR2d2MmNFT2hJQzI5RWVLSGE3Q0s4Ny1LNTU4MmMxSGdqaXZmM1VnblNhU3lJOXI0?oc=5
