Date	Sentiment_Daily	News_Volume
2025-09-23	-0.5000	1
2025-10-01	0.0000	1
2025-10-16	0.1500	1
2025-10-21	0.0000	1
2025-11-07	0.0000	1
2025-11-10	0.0750	2
2025-11-13	0.2000	1
2025-11-16	0.0000	1
2025-11-18	0.0000	1
2025-11-19	0.0000	1
2025-11-20	0.5000	1
2025-11-27	0.3120	1
2025-11-28	0.2000	1
2025-12-01	0.0000	1
2025-12-04	0.0000	1
2025-12-06	0.5000	1
2025-12-12	0.0000	1
2025-12-16	0.0000	1
2025-12-17	-0.0620	1
2025-12-20	0.4330	1
2025-12-29	0.2500	1
2026-01-05	0.2170	1
2026-01-06	0.3000	1
2026-01-16	0.5000	1
2026-01-20	0.2170	1
2026-01-21	0.0000	1
2026-01-26	0.0000	1
2026-01-29	0.0000	1
2026-02-02	0.0000	1
2026-02-04	0.6000	1
2026-02-05	0.5000	1
2026-02-06	0.0000	2
2026-02-07	0.0000	1
2026-02-08	0.2500	1
2026-02-09	0.5630	1
2026-02-10	0.2850	1
2026-02-11	0.0000	3
2026-02-12	0.0542	4
2026-02-15	0.1360	1
2026-02-16	0.0000	3
2026-02-17	-0.0528	5
2026-02-18	0.1528	4
2026-02-19	-0.1000	3
2026-02-20	-0.0110	3
2026-02-21	0.2000	1
2026-02-23	0.0320	5
2026-02-24	0.0612	16
2026-02-25	0.0470	12
2026-02-26	0.0189	32
2026-02-27	0.0642	10
2026-02-28	0.0000	2
2026-03-01	0.0000	1
2026-03-02	0.0897	21
2026-03-03	0.0237	23
2026-03-04	0.0339	22
2026-03-05	0.1359	21
2026-03-06	0.1136	17
2026-03-07	0.1570	3
2026-03-08	-0.0710	1
2026-03-09	0.0874	18
2026-03-10	0.0335	17
2026-03-11	0.0620	18
2026-03-12	0.0751	19
2026-03-13	0.1026	20
2026-03-14	0.0000	1
2026-03-16	0.0547	30
2026-03-17	0.0202	30
2026-03-18	0.0801	31
2026-03-19	0.0224	27
2026-03-20	0.2118	12
2026-03-21	0.1633	7
2026-03-22	0.2428	12
2026-03-23	0.0350	10
2026-03-24	-0.0308	26
2026-03-25	0.0440	23
2026-03-26	0.0161	17
2026-03-27	0.1196	14
2026-03-28	0.1000	2
2026-03-29	0.0345	11
2026-03-30	0.1090	17
2026-03-31	0.0401	19
2026-04-01	0.0818	13
2026-04-02	0.0050	32
