Metric	Value
52WeekChange	1.1157684
SandP52WeekChange	0.27449715
address1	1600 Amphitheatre Parkway
allTimeHigh	404.47
allTimeLow	2.390042
ask	355.46
askSize	2
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	22773610
averageDailyVolume3Month	19415630
averageVolume	19415630
averageVolume10days	22773610
beta	1.267
bid	350.0
bidSize	1
bookValue	39.514
city	Mountain View
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Sundar  Pichai', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 10906079, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ruth M. Porat', 'age': 67, 'title': 'President & Chief Investment Officer', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 1015596, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Lawrence Edward Page II', 'age': 52, 'title': 'Co-Founder & Director', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sergey  Brin', 'age': 51, 'title': 'Co-Founder & Director', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anat  Ashkenazi', 'age': 52, 'title': 'Senior VP & CFO', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1087961, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. J. Kent Walker', 'age': 64, 'title': 'President of Global Affairs, Chief Legal Officer & Company Secretary', 'yearBorn': 1961, 'fiscalYear': 2025, 'totalPay': 1015596, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Philipp  Schindler', 'age': 54, 'title': 'Senior Vice President & Chief Business Officer of Google', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 1623997, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James H. Friedland', 'age': 55, 'title': 'Head of Investor Relations', 'yearBorn': 1970, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Fiona Clare Cicconi', 'age': 59, 'title': 'Chief People Officer', 'yearBorn': 1966, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ivy  Ross', 'age': 69, 'title': 'VP & Head of Design for all Hardware Products', 'yearBorn': 1956, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	355.68
currentRatio	1.922
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	362.5
dayLow	354.4
debtToEquity	20.026
discount_to_intrinsic_value	53.13
displayName	Alphabet
dividendDate	1781481600
dividendRate	0.88
dividendYield	0.25
earningsCallTimestampEnd	1777494600
earningsCallTimestampStart	1777494600
earningsGrowth	0.82
earningsQuarterlyGrowth	0.812
earningsTimestamp	1777492800
earningsTimestampEnd	1784836800
earningsTimestampStart	1784836800
ebitda	161315995648
ebitdaMargins	0.38181
enterpriseToEbitda	26.522
enterpriseToRevenue	10.127
enterpriseValue	4278454845440
epsCurrentYear	14.2237
epsForward	14.49518
epsTrailingTwelveMonths	13.12
eps_normalized_growth	0.7503840128181232
esgPopulated	False
exDividendDate	1780876800
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	347.583
fiftyDayAverageChange	8.096985
fiftyDayAverageChangePercent	0.023295112
fiftyTwoWeekChangePercent	111.57684
fiftyTwoWeekHigh	404.47
fiftyTwoWeekHighChange	-48.79001
fiftyTwoWeekHighChangePercent	-0.120627016
fiftyTwoWeekLow	163.33
fiftyTwoWeekLowChange	192.34999
fiftyTwoWeekLowChangePercent	1.177677
fiftyTwoWeekRange	163.33 - 404.47
financialCurrency	USD
firstTradeDateMilliseconds	1092922200000
floatShares	10813651160
forwardEps	14.49518
forwardPE	24.537811
freeCashflow	27921750016
fullExchangeName	NasdaqGS
fullTimeEmployees	194668
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	758.9
grossMargins	0.60368
grossProfits	255053004800
hasPrePostMarketData	True
heldPercentInsiders	0.06678
heldPercentInstitutions	0.61421
impliedSharesOutstanding	12115444154
industry	Internet Content & Information
industryDisp	Internet Content & Information
industryKey	internet-content-information
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1773014400
lastDividendValue	0.21
lastFiscalYearEnd	1767139200
lastSplitDate	1658102400
lastSplitFactor	20:1
longBusinessSummary	Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other enterprise services. The Other Bets segment sells transportation and internet services. Alphabet Inc. was incorporated in 1998 and is headquartered in Mountain View, California.
longName	Alphabet Inc.
market	us_market
marketCap	4309220851712
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_29096
mostRecentQuarter	1774915200
netIncomeToCommon	160207994880
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	4365095707124
numberOfAnalystOpinions	14
open	358.335
operatingCashflow	174353006592
operatingMargins	0.36121
payoutRatio	0.0641
pegRatio	1.41
phone	650-253-0000
postMarketChange	-1.0917053
postMarketChangePercent	-0.3069347
postMarketPrice	354.5883
postMarketTime	1780531199
previousClose	358.39
priceEpsCurrentYear	25.006151
priceHint	2
priceToBook	9.001367
priceToSalesTrailing12Months	10.199388
profitMargins	0.37919
quickRatio	1.707
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.44444
region	US
regularMarketChange	-2.71002
regularMarketChangePercent	-0.756166
regularMarketDayHigh	362.5
regularMarketDayLow	354.4
regularMarketDayRange	354.4 - 362.5
regularMarketOpen	358.335
regularMarketPreviousClose	358.39
regularMarketPrice	355.68
regularMarketTime	1780516801
regularMarketVolume	41053259
returnOnAssets	0.14641
returnOnEquity	0.38884997
revenueGrowth	0.218
revenuePerShare	34.932
sector	Communication Services
sectorDisp	Communication Services
sectorKey	communication-services
sharesOutstanding	5456000000
sharesPercentSharesOut	0.0036000002
sharesShort	39053435
sharesShortPreviousMonthDate	1776211200
sharesShortPriorMonth	41388607
shortName	Alphabet Inc.
shortRatio	2.39
sourceInterval	15
state	CA
symbol	GOOG
targetHighPrice	460.0
targetLowPrice	220.0
targetMeanPrice	409.00287
targetMedianPrice	427.5
totalCash	126839996416
totalCashPerShare	10.469
totalDebt	95875997696
totalRevenue	422498009088
tradeable	False
trailingAnnualDividendRate	0.84
trailingAnnualDividendYield	0.0023438153
trailingEps	13.12
trailingPE	27.109756
trailingPegRatio	1.4111
triggerable	True
twoHundredDayAverage	301.28455
twoHundredDayAverageChange	54.395447
twoHundredDayAverageChangePercent	0.18054509
typeDisp	Equity
volume	41053259
website	https://abc.xyz
zip	94043
