Metric	Value
52WeekChange	0.34687757
SandP52WeekChange	0.17475092
address1	200 West Street
allTimeHigh	1153.99
allTimeLow	47.41
ask	1031.1
askSize	40
auditRisk	6
averageAnalystRating	2.6 - Hold
averageDailyVolume10Day	1651710
averageDailyVolume3Month	2017798
averageVolume	2017798
averageVolume10days	1651710
beta	1.283
bid	1028.78
bidSize	80
boardRisk	9
bookValue	362.049
city	New York
