Date	Open	High	Low	Close	Volume
2018-01-02	14.43	14.63	14.38	11.3	7155700
2018-01-03	14.6	14.75	14.54	11.37	7907200
2018-01-04	14.7	15.07	14.65	11.65	11333500
2018-01-05	15.06	15.19	14.96	11.64	12539400
2018-01-08	14.95	14.97	14.65	11.46	13052100
2018-01-09	14.85	14.98	14.81	11.49	14481200
2018-01-10	14.76	15.31	14.76	11.75	10171300
2018-01-11	15.2	15.49	15.17	11.95	8239900
2018-01-12	15.45	15.87	15.42	12.23	15520700
2018-01-16	15.82	15.91	15.72	12.23	9664400
2018-01-17	15.86	16.1	15.82	12.43	9450300
2018-01-18	16.03	16.1	15.94	12.35	9774600
2018-01-19	15.97	16.09	15.91	12.44	9139500
2018-01-22	16.05	16.08	15.9	12.41	9415500
2018-01-23	16.28	16.72	16.2	12.89	14447000
2018-01-24	16.71	16.89	16.6	12.9	11806000
2018-01-25	16.71	16.84	16.45	12.75	7765500
2018-01-26	16.55	16.84	16.55	12.92	9762400
2018-01-29	16.66	17.07	16.62	13.13	10537100
2018-01-30	16.85	16.91	16.4	12.79	11202300
2018-01-31	16.59	16.69	16.31	12.68	12419400
2018-02-01	16.4	16.88	16.32	12.99	13494800
2018-02-02	16.66	16.93	16.52	12.88	13334000
2018-02-05	16.53	16.65	15.65	12.11	15838100
2018-02-06	15.27	15.81	14.96	12.17	16226800
2018-02-07	15.67	15.78	15.33	12.03	13112600
2018-02-08	15.53	15.68	15.04	11.63	12061000
2018-02-09	15.2	15.41	14.65	11.83	16716000
2018-02-12	15.42	15.85	15.36	12.18	7683600
2018-02-13	15.63	15.63	15.31	11.97	13734800
2018-02-14	15.41	16.22	15.35	12.49	14008300
2018-02-15	16.28	16.48	16.04	12.65	8201600
2018-02-16	16.3	16.56	16.21	12.68	8506800
2018-02-20	16.47	16.68	16.41	12.78	9037500
2018-02-21	16.6	16.68	16.22	12.57	10906500
2018-02-22	16.43	16.67	16.23	12.69	16299400
2018-02-23	18.01	18.19	17.56	14.03	45018300
2018-02-26	18.04	18.8	18.04	14.35	25578200
2018-02-27	18.5	19.13	18.5	14.56	20981300
2018-02-28	18.95	19.07	18.59	14.38	17526900
2018-03-01	18.7	18.83	18.14	14.23	14072000
2018-03-02	18.2	18.8	18.15	14.53	14917400
2018-03-05	18.77	19.1	18.74	14.68	11720600
2018-03-06	19.01	19.48	19.0	15.01	11551400
2018-03-07	19.24	19.38	18.98	14.81	11056300
2018-03-08	19.2	19.23	18.84	14.66	10551000
2018-03-09	19.07	19.21	18.98	14.82	14564800
2018-03-12	19.16	19.17	19.0	14.75	10161300
2018-03-13	19.09	19.23	18.86	14.66	9001700
2018-03-14	18.98	18.99	18.74	14.64	11582800
2018-03-15	18.9	18.98	18.78	14.62	15291600
2018-03-16	18.82	19.01	18.68	14.59	21347600
2018-03-19	18.7	18.83	18.5	14.52	9447200
2018-03-20	18.79	18.93	18.61	14.58	11180300
2018-03-21	18.78	18.89	18.57	14.53	10902800
2018-03-22	18.55	18.65	18.3	14.23	10862300
2018-03-23	18.37	18.4	17.63	13.69	10561400
2018-03-26	17.92	18.03	17.58	13.97	11003500
2018-03-27	18.09	18.16	17.45	13.64	12146200
2018-03-28	17.61	17.8	17.41	13.71	14005200
2018-03-29	17.7	17.75	17.45	13.62	16009600
2018-04-02	17.48	17.52	16.94	13.29	10274600
2018-04-03	17.25	17.35	16.96	13.31	13363100
2018-04-04	16.83	17.31	16.76	13.39	13204000
2018-04-05	17.42	17.42	17.12	13.36	15104800
2018-04-06	17.04	17.22	16.61	12.97	14149100
2018-04-09	16.73	17.21	16.73	13.05	8445100
2018-04-10	17.07	17.4	17.07	13.39	15303200
2018-04-11	17.2	17.3	17.09	13.39	9828500
2018-04-12	17.35	17.6	17.33	13.52	13920700
2018-04-13	17.51	17.51	17.18	13.51	10062600
2018-04-16	17.45	17.67	17.36	13.64	16959600
2018-04-17	17.68	17.88	17.62	13.78	17144500
2018-04-18	17.77	17.78	17.61	13.73	9610200
2018-04-19	17.65	17.65	17.38	13.52	7789300
2018-04-20	17.44	17.45	17.16	13.43	7701600
2018-04-23	17.38	17.54	17.31	13.53	8083000
2018-04-24	17.5	17.68	17.25	13.48	10102900
2018-04-25	17.3	17.42	17.02	13.44	9302400
2018-04-26	17.39	17.51	17.25	13.5	10687300
2018-04-27	17.64	17.64	17.24	13.47	8836700
2018-04-30	17.34	17.46	17.05	13.24	12473400
2018-05-01	16.99	17.2	16.95	13.34	9651800
2018-05-02	17.14	17.26	17.07	13.29	6367900
2018-05-03	16.99	17.08	16.75	13.12	8031900
2018-05-04	16.85	17.25	16.78	13.36	6166900
2018-05-07	17.24	17.45	17.19	13.43	10486700
2018-05-08	17.25	17.43	17.2	13.5	12408100
2018-05-09	17.4	17.67	17.34	13.67	13013900
2018-05-10	17.67	17.7	17.5	13.71	12298200
2018-05-11	17.66	17.78	17.61	13.72	11498300
2018-05-14	17.75	17.82	17.59	13.66	8456000
2018-05-15	17.48	17.53	17.28	13.51	8365700
2018-05-16	17.41	17.68	17.37	13.69	15259900
2018-05-17	17.68	17.76	17.43	13.72	10602300
2018-05-18	17.66	17.67	17.48	13.64	6784900
2018-05-21	17.66	17.74	17.48	13.6	6196800
2018-05-22	17.55	17.68	17.41	13.52	14421200
2018-05-23	16.85	16.95	15.45	12.1	56055200
2018-05-24	15.55	15.81	15.16	12.24	29516000
2018-05-25	15.75	15.82	15.44	12.05	14411500
2018-05-29	15.43	15.49	15.26	11.94	9727000
2018-05-30	15.47	15.66	15.32	12.09	12024900
2018-05-31	15.53	15.59	15.12	11.83	14448100
2018-06-01	15.33	15.53	15.32	12.06	10896700
