Metric	Value
52WeekChange	3.4738674
SandP52WeekChange	0.2166065
address1	1101 Brickell Avenue
address2	Suite N-1500
allTimeHigh	82.85
allTimeLow	1.845
ask	47.28
askSize	16
auditRisk	10
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	5077930
averageDailyVolume3Month	5885991
averageVolume	5885991
averageVolume10days	5077930
beta	6.171
bid	46.87
bidSize	11
boardRisk	4
bookValue	12.916
city	Miami
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Asher Kevin Genoot', 'age': 29, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1996, 'fiscalYear': 2024, 'totalPay': 1644756, 'exercisedValue': 0, 'unexercisedValue': 14159425}, {'maxAge': 1, 'name': 'Mr. Michael  Ho', 'age': 32, 'title': 'Co-Founder, Chief Strategy Officer & Director', 'yearBorn': 1993, 'fiscalYear': 2024, 'totalPay': 1496480, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sean  Glennan', 'age': 42, 'title': 'Chief Financial Officer', 'yearBorn': 1983, 'fiscalYear': 2024, 'totalPay': 300741, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Victor  Semah J.D.', 'age': 43, 'title': 'Chief Legal Officer & Corporate Secretary', 'yearBorn': 1982, 'fiscalYear': 2024, 'totalPay': 581251, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Suzanne  Ennis', 'title': 'Head of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
compensationRisk	4
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	47.07
currentRatio	1.087
customPriceAlertConfidence	HIGH
dateShortInterest	1770940800
dayHigh	50.2799
dayLow	46.79
debtToEquity	25.412
discount_to_intrinsic_value	55.19
displayName	Hut 8
dividendDate	1520294400
earningsCallTimestampEnd	1772026200
earningsCallTimestampStart	1772026200
earningsGrowth	60.068
earningsQuarterlyGrowth	76.448
earningsTimestamp	1772026200
earningsTimestampEnd	1778160600
earningsTimestampStart	1778160600
ebitda	-214000000
ebitdaMargins	-0.91018
enterpriseToEbitda	-27.437
enterpriseToRevenue	24.972
enterpriseValue	5871426560
epsCurrentYear	-1.76333
epsForward	-3.17333
epsTrailingTwelveMonths	-2.14
eps_normalized_growth	97.13308780376735
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EST
executiveTeam	[]
fiftyDayAverage	55.0635
fiftyDayAverageChange	-7.9934998
fiftyDayAverageChangePercent	-0.14516875
fiftyTwoWeekChangePercent	347.38675
fiftyTwoWeekHigh	66.07
fiftyTwoWeekHighChange	-19.0
fiftyTwoWeekHighChangePercent	-0.28757378
fiftyTwoWeekLow	10.04
fiftyTwoWeekLowChange	37.03
fiftyTwoWeekLowChangePercent	3.688247
fiftyTwoWeekRange	10.04 - 66.07
financialCurrency	USD
firstTradeDateMilliseconds	1520519400000
floatShares	90867694
forwardEps	-3.17333
forwardPE	-14.832998
freeCashflow	-371573760
fullExchangeName	NasdaqGS
fullTimeEmployees	248
gmtOffSetMilliseconds	-18000000
governanceEpochDate	1772323200
graham_intrinsic_value	122.33
grossMargins	0.54162
grossProfits	127344000
hasPrePostMarketData	True
heldPercentInsiders	0.09882
heldPercentInstitutions	0.82274
impliedSharesOutstanding	110887284
industry	Capital Markets
industryDisp	Capital Markets
industryKey	capital-markets
ipoExpectedDate	2023-12-04
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
lastSplitDate	1701648000
lastSplitFactor	1:5
longBusinessSummary	Hut 8 Corp., together with its subsidiaries, operates as an energy infrastructure platform that integrates power, digital infrastructure, and compute at scale to fuel energy-intensive use cases in the United States and Canada. It operates through Power, Digital Infrastructure, Compute, and Other segments. The company offers managed services for energy infrastructure development, such as site design, procurement, and construction management; software automation, process design, personnel hiring, and team training; utilities contracts, hosting operations, and customer management; energy portfolio optimization and strategic initiatives; and finance, accounting, and safety services. It also engages in the operation of compute infrastructure; and provision, hosting, monitoring, troubleshooting, repair, maintenance, and sale of mining equipment. In addition, the company offers Bitcoin mining; data center and cloud infrastructure services, including colocation services; and ASIC compute, traditional cloud, and AI cloud services. Hut 8 Corp. was founded in 2020 and is based in Miami, Florida.
longName	Hut 8 Corp.
market	us_market
marketCap	5219464192
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_1681582210
mostRecentQuarter	1767139200
netIncomeToCommon	-225436992
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	6010090792
numberOfAnalystOpinions	15
open	49.5
operatingCashflow	-139226000
operatingMargins	-4.97744
overallRisk	5
payoutRatio	0.0
phone	305 224 6427
postMarketChange	0.3199997
postMarketChangePercent	0.6798379
postMarketPrice	47.39
postMarketTime	1772844988
previousClose	51.36
priceEpsCurrentYear	-26.693811
priceHint	2
priceToBook	3.644317
priceToSalesTrailing12Months	22.199339
profitMargins	-0.96185
quickRatio	0.202
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.35714
region	US
regularMarketChange	-4.29
regularMarketChangePercent	-8.35281
regularMarketDayHigh	50.2799
regularMarketDayLow	46.79
regularMarketDayRange	46.79 - 50.2799
regularMarketOpen	49.5
regularMarketPreviousClose	51.36
regularMarketPrice	47.07
regularMarketTime	1772830802
regularMarketVolume	4165501
returnOnAssets	-0.09242
returnOnEquity	-0.18576
revenueGrowth	1.792
revenuePerShare	2.232
sector	Financial Services
sectorDisp	Financial Services
sectorKey	financial-services
shareHolderRightsRisk	2
sharesOutstanding	110887284
sharesPercentSharesOut	0.1451
sharesShort	15973075
sharesShortPreviousMonthDate	1768435200
sharesShortPriorMonth	16493806
shortName	Hut 8 Corp.
shortPercentOfFloat	0.1601
shortRatio	2.88
sourceInterval	15
state	FL
symbol	HUT
syntheticPEG	-0.002469367716587867
targetHighPrice	85.0
targetLowPrice	55.0
targetMeanPrice	71.93333
targetMedianPrice	70.0
totalCash	44914000
totalCashPerShare	0.405
totalDebt	429331008
totalRevenue	235118000
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-2.14
trailingPE	28.552084
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	36.754524
twoHundredDayAverageChange	10.315475
twoHundredDayAverageChangePercent	0.28065866
typeDisp	Equity
volume	4165501
website	https://www.hut8.com
zip	33131
