Metric	Value
allTimeHigh	71.82
allTimeLow	22.02
ask	43.53
askSize	22
averageDailyVolume10Day	34913230
averageDailyVolume3Month	48602785
averageVolume	48602785
averageVolume10days	34913230
beta3Year	0.0
bid	43.5
bidSize	22
category	Digital Assets
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	44.08
dayLow	43.5101
displayName	iShares Bitcoin Trust
dividendYield	0.0
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	42.1426
fiftyDayAverageChange	1.8474007
fiftyDayAverageChangePercent	0.04383689
fiftyTwoWeekChangePercent	-29.600256
fiftyTwoWeekHigh	71.82
fiftyTwoWeekHighChange	-27.829998
fiftyTwoWeekHighChangePercent	-0.3874965
fiftyTwoWeekLow	35.3
fiftyTwoWeekLowChange	8.690002
fiftyTwoWeekLowChangePercent	0.2461757
fiftyTwoWeekRange	35.3 - 71.82
firstTradeDateMilliseconds	1704983400000
fullExchangeName	NasdaqGM
fundFamily	iShares
fundInceptionDate	1704412800
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
ipoExpectedDate	2024-01-11
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The shares are intended to constitute a simple means of making an investment similar to an investment in bitcoin rather than by acquiring, holding and trading bitcoin directly on a peer-to-peer or other basis or via a digital asset exchange. The fund is non-diversified.
longName	iShares Bitcoin Trust ETF
market	us_market
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_1843774300
navPrice	43.52737
netAssets	61891580000.0
netExpenseRatio	0.25
open	43.745
postMarketChange	-0.10000229
postMarketChangePercent	-0.22732958
postMarketPrice	43.89
postMarketTime	1779321577
previousClose	43.5
priceHint	2
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	0.490002
regularMarketChangePercent	1.12644
regularMarketDayHigh	44.08
regularMarketDayLow	43.5101
regularMarketDayRange	43.5101 - 44.08
regularMarketOpen	43.745
regularMarketPreviousClose	43.5
regularMarketPrice	43.99
regularMarketTime	1779307201
regularMarketVolume	21699500
shortName	iShares Bitcoin Trust ETF
sourceInterval	15
symbol	IBIT
totalAssets	61891579904
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingPegRatio	None
trailingThreeMonthNavReturns	-8.85072
trailingThreeMonthReturns	-8.85072
triggerable	True
twoHundredDayAverage	52.0273
twoHundredDayAverageChange	-8.0373
twoHundredDayAverageChangePercent	-0.15448235
typeDisp	ETF
volume	21699500
yield	0.0
ytdReturn	-12.56015
