Metric	Value
52WeekChange	-0.047370374
SandP52WeekChange	0.290079
address1	One New Orchard Road
allTimeHigh	324.9
allTimeLow	3.824092
ask	233.0
askSize	120
auditRisk	8
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	8124240
averageDailyVolume3Month	6528695
averageVolume	6528695
averageVolume10days	8124240
beta	0.685
bid	232.65
bidSize	160
boardRisk	7
bookValue	34.845
city	Armonk
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Arvind  Krishna', 'age': 62, 'title': 'CEO, President & Chairman', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 7351817, 'exercisedValue': 0, 'unexercisedValue': 33839440}, {'maxAge': 1, 'name': 'Mr. James J. Kavanaugh', 'age': 58, 'title': 'CFO and Senior VP of Finance & Operations', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 4113265, 'exercisedValue': 0, 'unexercisedValue': 20841604}, {'maxAge': 1, 'name': 'Ms. Anne E. Robinson', 'age': 54, 'title': 'Senior VP & Chief Legal Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 3138695, 'exercisedValue': 0, 'unexercisedValue': 856166}, {'maxAge': 1, 'name': 'Mr. Robert D. Thomas', 'age': 76, 'title': 'Senior VP of IBM Software & Chief Commercial Officer', 'yearBorn': 1949, 'fiscalYear': 2025, 'totalPay': 3702023, 'exercisedValue': 0, 'unexercisedValue': 17113948}, {'maxAge': 1, 'name': 'Mr. Gary D. Cohn', 'age': 64, 'title': 'Executive Vice Chairman', 'yearBorn': 1961, 'fiscalYear': 2025, 'totalPay': 3672470, 'exercisedValue': 0, 'unexercisedValue': 16222157}, {'maxAge': 1, 'name': 'Ms. Joanne  Wright', 'title': 'Senior Vice President of Transformation & Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Olympia  McNerney', 'title': 'Global Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan H. Adashek', 'title': 'Senior Vice President of Marketing & Communications', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Nickle Jaclyn LaMoreaux', 'age': 45, 'title': 'Senior VP & Chief Human Resources Officer', 'yearBorn': 1980, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Bernard S. Meyerson Ph.D.', 'title': 'Chief Innovation Officer Emeritus', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	8
corporateActions	[{'header': 'Dividend', 'message': 'IBM announced a cash dividend of $1.69 with an ex-date of May. 8, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1778212800000, 'amount': '1.69'}}]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	233.04
currentRatio	0.796
customPriceAlertConfidence	HIGH
dateShortInterest	1776211200
dayHigh	233.555
dayLow	228.47
debtToEquity	211.169
discount_to_intrinsic_value	65.18
displayName	IBM
dividendDate	1781049600
dividendRate	6.76
dividendYield	2.96
earningsCallTimestampEnd	1776891600
earningsCallTimestampStart	1776891600
earningsGrowth	0.142
earningsQuarterlyGrowth	0.153
earningsTimestamp	1784750400
earningsTimestampEnd	1784750400
earningsTimestampStart	1784750400
ebitda	16611000320
ebitdaMargins	0.24104999
enterpriseToEbitda	16.401
enterpriseToRevenue	3.954
enterpriseValue	272440836096
epsCurrentYear	12.40742
epsForward	13.43612
epsTrailingTwelveMonths	11.31
eps_normalized_growth	0.6111889443649299
esgPopulated	False
exDividendDate	1778198400
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	245.47
fiftyDayAverageChange	-12.430008
fiftyDayAverageChangePercent	-0.050637584
fiftyTwoWeekChangePercent	-4.7370377
fiftyTwoWeekHigh	324.9
fiftyTwoWeekHighChange	-91.86
fiftyTwoWeekHighChangePercent	-0.28273314
fiftyTwoWeekLow	220.72
fiftyTwoWeekLowChange	12.319992
fiftyTwoWeekLowChangePercent	0.055817287
fiftyTwoWeekRange	220.72 - 324.9
financialCurrency	USD
firstTradeDateMilliseconds	-252322200000
fiveYearAvgDividendYield	3.98
floatShares	937920920
forwardEps	13.43612
forwardPE	17.344292
freeCashflow	13080750080
fullExchangeName	NYSE
fullTimeEmployees	264300
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1775001600
graham_intrinsic_value	669.24
grossMargins	0.58358
grossProfits	40214999040
hasPrePostMarketData	True
heldPercentInsiders	0.00125
heldPercentInstitutions	0.65266997
impliedSharesOutstanding	939885280
industry	Information Technology Services
industryDisp	Information Technology Services
industryKey	information-technology-services
irWebsite	http://www.ibm.com/investor/?lnk=ftif
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1770681600
lastDividendValue	1.68
lastFiscalYearEnd	1767139200
lastSplitDate	1635984000
lastSplitFactor	1046:1000
