Metric	Value
52WeekChange	4.638319
SandP52WeekChange	0.27181315
address1	2200 Mission College Boulevard
allTimeHigh	132.75
allTimeLow	0.216146
ask	118.37
askSize	1
auditRisk	8
averageAnalystRating	2.7 - Hold
averageDailyVolume10Day	120034730
averageDailyVolume3Month	122528149
averageVolume	122528149
averageVolume10days	120034730
beta	2.19
bid	107.4
bidSize	1
boardRisk	4
bookValue	22.177
city	Santa Clara
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Lip-Bu  Tan', 'age': 66, 'title': 'CEO & Director', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 3828200, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David A. Zinsner', 'age': 56, 'title': 'Executive VP, CFO and Principal Financial & Accounting Officer', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 4218200, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nagasubramaniyan  Chandrasekaran', 'age': 50, 'title': 'Executive VP, Chief Technology and Operations Officer & GM of Intel Foundry', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 3473100, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pushkar  Ranade Ph.D.', 'title': 'CTO & Chief of Staff to the CEO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Cynthia A. Stoddard', 'age': 68, 'title': 'Senior VP & Chief Information Officer', 'yearBorn': 1957, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John William Pitzer', 'title': 'Corporate Vice President of Corporate Planning & Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Aparna  Bawa Esq.', 'age': 46, 'title': 'Executive VP and Chief Legal & People Officer', 'yearBorn': 1979, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Annie Shea Weckesser', 'title': 'Senior VP and Chief Marketing & Communications Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Gregory  Ernst', 'title': 'Corporate VP, Chief Revenue Officer & General Manager of Sales Group', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James A. Murray', 'title': 'Chief Antitrust Counsel and VP of Law & Policy Group', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	9
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	111.78
currentRatio	2.312
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	113.14
dayLow	107.4801
debtToEquity	36.028
displayName	Intel
dividendDate	1725148800
earningsCallTimestampEnd	1776978000
earningsCallTimestampStart	1776978000
earningsTimestamp	1776974400
earningsTimestampEnd	1784836800
earningsTimestampStart	1784836800
ebitda	14174000128
ebitdaMargins	0.26364002
enterpriseToEbitda	41.459
enterpriseToRevenue	10.93
enterpriseValue	587643289600
epsCurrentYear	1.08985
epsForward	1.5451
epsTrailingTwelveMonths	-0.6
esgPopulated	False
exDividendDate	1722988800
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	86.368
fiftyDayAverageChange	25.412003
fiftyDayAverageChangePercent	0.2942294
fiftyTwoWeekChangePercent	463.8319
fiftyTwoWeekHigh	132.75
fiftyTwoWeekHighChange	-20.970001
fiftyTwoWeekHighChangePercent	-0.1579661
fiftyTwoWeekLow	18.97
fiftyTwoWeekLowChange	92.81
fiftyTwoWeekLowChangePercent	4.892462
fiftyTwoWeekRange	18.97 - 132.75
financialCurrency	USD
firstTradeDateMilliseconds	322151400000
fiveYearAvgDividendYield	2.69
floatShares	5016601380
forwardEps	1.5451
forwardPE	72.34483
freeCashflow	-8301250048
fullExchangeName	NasdaqGS
fullTimeEmployees	85100
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780531200
grossMargins	0.372
grossProfits	20000000000
hasPrePostMarketData	True
heldPercentInsiders	0.1472
heldPercentInstitutions	0.64017
impliedSharesOutstanding	5026000000
industry	Semiconductors
industryDisp	Semiconductors
industryKey	semiconductors
irWebsite	http://www.intc.com/?iid=ftr+invrel
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1722988800
lastDividendValue	0.125
lastFiscalYearEnd	1766793600
lastSplitDate	965001600
lastSplitFactor	2:1
