Metric	Value
52WeekChange	0.21480143
SandP52WeekChange	0.21843708
address1	85 New Hampshire Avenue
address2	Suite 150
allTimeHigh	130.24
allTimeLow	2.510212
ask	0.0
askSize	100
auditRisk	1
averageAnalystRating	1.7 - Buy
averageDailyVolume10Day	1619850
averageDailyVolume3Month	1894578
averageVolume	1894578
averageVolume10days	1619850
beta	1.148
bid	0.0
bidSize	100
boardRisk	4
bookValue	-3.317
city	Portsmouth
companyOfficers	[{'maxAge': 1, 'name': 'Mr. William L. Meaney BSc, MEng, MSIA', 'age': 65, 'title': 'President, CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2025, 'totalPay': 3545663, 'exercisedValue': 49136788, 'unexercisedValue': 114638624}, {'maxAge': 1, 'name': 'Mr. Barry A. Hytinen', 'age': 50, 'title': 'Executive VP & CFO', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 1782764, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Kidd', 'age': 44, 'title': 'Executive VP and GM of Data Centers & Asset Lifecycle Management', 'yearBorn': 1981, 'fiscalYear': 2025, 'totalPay': 1992969, 'exercisedValue': 506744, 'unexercisedValue': 5026928}, {'maxAge': 1, 'name': 'Mr. Greg W. McIntosh CA', 'age': 51, 'title': 'Executive VP & Chief Commercial Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 1185331, 'exercisedValue': 436202, 'unexercisedValue': 1153874}, {'maxAge': 1, 'name': 'Ms. Mithu  Bhargava', 'age': 45, 'title': 'Executive VP & GM for digital solutions', 'yearBorn': 1980, 'fiscalYear': 2025, 'totalPay': 911073, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel  Borges', 'age': 56, 'title': 'Chief Accounting Officer & Senior VP', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark Andrew Rupe', 'title': 'Senior VP & Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Michelle  Altamura', 'age': 42, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1983, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jemma  Johns', 'age': 50, 'title': 'Executive VP & Chief Human Resources Officer', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Garry B. Watzke', 'title': 'Senior Vice President', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	100.95
currentRatio	0.739
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	104.06
dayLow	100.92
discount_to_intrinsic_value	-244.17
dividendDate	1775174400
dividendRate	3.46
dividendYield	3.42
earningsCallTimestampEnd	1770903000
earningsCallTimestampStart	1770903000
earningsGrowth	-0.142
earningsQuarterlyGrowth	-0.141
earningsTimestamp	1770903000
earningsTimestampEnd	1777552200
earningsTimestampStart	1777552200
ebitda	2328571904
ebitdaMargins	0.33738998
enterpriseToEbitda	21.114
enterpriseToRevenue	7.124
enterpriseValue	49165533184
epsCurrentYear	2.31446
epsForward	2.56122
epsTrailingTwelveMonths	0.49
eps_normalized_growth	0.6555376552700198
esgPopulated	False
exDividendDate	1773619200
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	101.9946
fiftyDayAverageChange	-1.0446014
fiftyDayAverageChangePercent	-0.010241733
fiftyTwoWeekChangePercent	21.480143
fiftyTwoWeekHigh	115.24
fiftyTwoWeekHighChange	-14.290001
fiftyTwoWeekHighChangePercent	-0.12400209
fiftyTwoWeekLow	72.33
fiftyTwoWeekLowChange	28.619995
fiftyTwoWeekLowChangePercent	0.39568636
fiftyTwoWeekRange	72.33 - 115.24
financialCurrency	USD
firstTradeDateMilliseconds	823185000000
fiveYearAvgDividendYield	4.02
floatShares	292956729
forwardEps	2.56122
forwardPE	39.41481
freeCashflow	-1168041728
fullExchangeName	NYSE
fullTimeEmployees	29400
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1775001600
graham_intrinsic_value	29.33
grossMargins	0.55381
grossProfits	3822256896
hasPrePostMarketData	True
heldPercentInsiders	0.00907
heldPercentInstitutions	0.88293
impliedSharesOutstanding	297478817
industry	REIT - Specialty
industryDisp	REIT - Specialty
industryKey	reit-specialty
isEarningsDateEstimate	True
language	en-US
lastDividendDate	1773619200
lastDividendValue	0.864
lastFiscalYearEnd	1767139200
lastSplitDate	1411689600
lastSplitFactor	1082:1000
longBusinessSummary	Iron Mountain Incorporated is a global leader in information management services, and is trusted by more than 240,000 customers in 61 countries, including approximately 95% of the Fortune 1000, to help unlock value and intelligence from their assets through services that transcend the physical and digital worlds. Their broad range of solutions address their information management, digital transformation, information security, data center and asset lifecycle management (ALM) needs. Their longstanding commitment to safety, security, sustainability and innovation in support of our customers underpins everything we do. We currently serve customers across an array of market verticals commercial, legal, financial, healthcare, technology, life sciences, energy, business services, entertainment and government organizations. They are listed on the New York Stock Exchange (the NYSE) and are a constituent of the Standard & Poor's 500 Index, the Morgan Stanley Capital International (MSCI) REIT index and the FTSE EPRA Nareit Global Real Estate Index. As of December 31, 2025, we were number 567 on the Fortune 1000. We have been organized and have operated as a REIT beginning with our taxable year ended December 31, 2014. The firm was founded and incorporated in 1951 in Delaware, USA.
longName	Iron Mountain Incorporated
market	us_market
marketCap	30030485504
marketState	PREPRE
maxAge	86400
messageBoardId	finmb_30292
mostRecentQuarter	1767139200
netIncomeToCommon	144591008
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	30030486576
numberOfAnalystOpinions	11
open	103.06
operatingCashflow	1339998976
operatingMargins	0.21956
overallRisk	3
payoutRatio	6.5694
pegRatio	2.701
phone	617 535 4766
postMarketChange	0.55000305
postMarketChangePercent	0.5448272
postMarketPrice	101.5
postMarketTime	1775087793
previousClose	102.14
priceEpsCurrentYear	43.617085
priceHint	2
priceToBook	-30.434128
priceToSalesTrailing12Months	4.351149
profitMargins	0.02095
quickRatio	0.612
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.72727
region	US
regularMarketChange	-1.19
regularMarketChangePercent	-1.16507
regularMarketDayHigh	104.06
regularMarketDayLow	100.92
regularMarketDayRange	100.92 - 104.06
regularMarketOpen	103.06
regularMarketPreviousClose	102.14
regularMarketPrice	100.95
regularMarketTime	1775073602
regularMarketVolume	1099324
returnOnAssets	0.04405
returnOnEquity	2.251
revenueGrowth	0.166
revenuePerShare	23.364
sector	Real Estate
sectorDisp	Real Estate
sectorKey	real-estate
shareHolderRightsRisk	5
sharesOutstanding	297478817
sharesPercentSharesOut	0.0286
sharesShort	8465576
sharesShortPreviousMonthDate	1770940800
sharesShortPriorMonth	7821452
shortName	Iron Mountain Incorporated (Del
shortPercentOfFloat	0.038900003
shortRatio	4.69
sourceInterval	15
state	NH
symbol	IRM
targetHighPrice	140.0
targetLowPrice	44.0
targetMeanPrice	122.81818
targetMedianPrice	130.0
totalCash	158535008
totalCashPerShare	0.536
totalDebt	19123404800
totalRevenue	6901736960
tradeable	False
trailingAnnualDividendRate	3.219
trailingAnnualDividendYield	0.03151557
trailingEps	0.49
trailingPE	206.0204
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	96.75205
twoHundredDayAverageChange	4.1979446
twoHundredDayAverageChangePercent	0.043388687
typeDisp	Equity
volume	1099324
website	https://www.ironmountain.com
zip	03801
