Metric	Value
52WeekChange	-0.0010125041
SandP52WeekChange	0.19319427
address1	1020 Kifer Road
allTimeHigh	616.0
allTimeLow	0.666667
ask	483.42
askSize	1
auditRisk	1
averageAnalystRating	1.9 - Buy
averageDailyVolume10Day	1730040
averageDailyVolume3Month	1907022
averageVolume	1907022
averageVolume10days	1730040
beta	1.68
bid	482.27
bidSize	1
boardRisk	6
bookValue	50.194
city	Sunnyvale
