Date	Sentiment_Daily	News_Volume
2025-06-04	0.3250	1
2025-07-10	0.0500	1
2025-07-22	-0.0780	1
2025-07-23	0.0000	1
2025-08-18	-0.0450	1
2025-08-28	0.0000	1
2025-09-18	0.0000	1
2025-09-23	0.0000	1
2025-09-25	0.1480	1
2025-09-28	0.0000	1
2025-10-01	0.0000	1
2025-10-06	0.0000	1
2025-10-07	0.0000	1
2025-10-08	0.0000	2
2025-10-09	0.0000	1
2025-10-12	0.0000	1
2025-10-14	0.0000	1
2025-10-15	0.0000	1
2025-10-16	0.0000	1
2025-10-17	0.0915	2
2025-10-20	0.0000	1
2025-10-23	0.0000	1
2025-11-04	0.0000	1
2025-11-05	0.0000	2
2025-11-06	-0.1040	1
2025-11-25	0.0000	1
2025-11-26	0.0000	2
2025-12-01	0.0000	1
2025-12-10	0.1665	2
2025-12-12	0.1250	1
2025-12-15	0.0000	1
2025-12-18	-0.3500	2
2025-12-19	0.0550	1
2026-01-02	0.0000	1
2026-01-06	0.0000	1
2026-01-07	0.0000	1
2026-01-08	0.0000	1
2026-01-09	0.0830	1
2026-01-10	-0.1000	1
2026-01-13	0.0000	1
2026-01-14	0.2500	1
2026-01-22	0.0000	2
2026-01-24	0.0000	1
2026-01-26	0.0000	2
2026-01-27	0.0000	1
2026-01-28	0.0000	1
2026-01-29	0.0000	1
2026-01-30	0.0000	1
2026-02-02	0.2500	1
2026-02-03	0.0000	1
2026-02-04	0.5000	1
2026-02-05	-0.0443	3
2026-02-06	-0.0500	2
2026-02-07	0.0000	2
2026-02-08	0.0000	2
2026-02-09	0.0600	2
2026-02-10	0.0533	3
2026-02-11	0.0805	2
2026-02-12	0.0000	3
2026-02-13	0.0000	1
2026-02-14	0.0000	1
2026-02-15	0.2667	6
2026-02-16	0.1647	6
2026-02-17	-0.0300	5
2026-02-18	0.1334	14
2026-02-19	-0.0042	13
2026-02-20	0.1570	6
2026-02-21	0.0000	1
2026-02-22	0.1333	6
2026-02-23	0.0429	7
2026-02-24	0.1607	10
2026-02-25	0.1085	11
