Metric	Value
allTimeHigh	287.58
allTimeLow	32.3
ask	285.1
askSize	200
averageDailyVolume10Day	26432740
averageDailyVolume3Month	38238168
averageVolume	38238168
averageVolume10days	26432740
beta3Year	1.3
bid	284.31
bidSize	160
bookValue	218.694
category	Small Blend
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	HIGH
dayHigh	286.6
dayLow	283.67
dividendYield	0.91
epsTrailingTwelveMonths	14.532271
esgPopulated	False
exchange	PCX
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	265.8462
fiftyDayAverageChange	19.273804
fiftyDayAverageChangePercent	0.07249983
fiftyTwoWeekChangePercent	39.459908
fiftyTwoWeekHigh	287.58
fiftyTwoWeekHighChange	-2.4599915
fiftyTwoWeekHighChangePercent	-0.008554112
fiftyTwoWeekLow	199.65
fiftyTwoWeekLowChange	85.47
fiftyTwoWeekLowChangePercent	0.4280992
fiftyTwoWeekRange	199.65 - 287.58
financialCurrency	USD
firstTradeDateMilliseconds	959347800000
fiveYearAverageReturn	0.064345196
fullExchangeName	NYSEArca
fundFamily	iShares
fundInceptionDate	958953600
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	True
language	en-US
legalType	Exchange Traded Fund
longBusinessSummary	The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.
longName	iShares Russell 2000 ETF
market	us_market
marketCap	76982403072
marketState	POST
maxAge	86400
messageBoardId	finmb_8797658
navPrice	282.67343
netAssets	76877808000.0
netExpenseRatio	0.19
open	284.1
phone	415-670-2000
postMarketChange	-0.69210815
postMarketChangePercent	-0.24274276
postMarketPrice	284.4279
postMarketTime	1779490056
previousClose	282.49
priceHint	2
priceToBook	1.3037394
quoteSourceName	Nasdaq Real Time Price
quoteType	ETF
region	US
regularMarketChange	2.63
regularMarketChangePercent	0.931008
regularMarketDayHigh	286.6
regularMarketDayLow	283.67
regularMarketDayRange	283.67 - 286.6
regularMarketOpen	284.1
regularMarketPreviousClose	282.49
regularMarketPrice	285.12
regularMarketTime	1779480000
regularMarketVolume	22304841
sharesOutstanding	281049984
shortName	iShares Russell 2000 Index Fund
sourceInterval	15
symbol	IWM
threeYearAverageReturn	0.18468541
totalAssets	76877807616
tradeable	False
trailingAnnualDividendRate	2.017
trailingAnnualDividendYield	0.007140076
trailingPE	19.619781
trailingPegRatio	None
trailingThreeMonthNavReturns	7.40948
trailingThreeMonthReturns	7.40948
triggerable	True
twoHundredDayAverage	252.23355
twoHundredDayAverageChange	32.886444
twoHundredDayAverageChangePercent	0.13038093
typeDisp	ETF
volume	22304841
yield	0.0091
ytdReturn	13.16127
