Metric	Value
52WeekChange	-0.21463555
SandP52WeekChange	0.15336108
address1	Building A, 20th Floor
address2	No. 18 Kechuang 11 Street Yizhuang Eco & Tech Dev Zn Daxing District
allTimeHigh	108.29
allTimeLow	19.21
ask	29.0
askSize	236
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	6370700
averageDailyVolume3Month	8180859
averageVolume	8180859
averageVolume10days	6370700
beta	0.339
bid	23.42
bidSize	1
bookValue	24.469318
city	Beijing
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Qiangdong  Liu', 'age': 52, 'title': 'Founder & Chairman', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ran  Xu CPA', 'age': 43, 'title': 'CEO & Executive Director', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Su  Shan', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ruiyu  Li', 'title': 'Senior Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chengfeng  He', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Pang  Zhang', 'age': 37, 'title': 'Chief Human Resources Officer', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Li  Yayun', 'age': 44, 'title': 'Senior Vice President', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yanzhong  Yao', 'age': 43, 'title': 'President of JD Retail Appliance & Home and Senior VP', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sean Shibiao  Zhang', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daxue  Li', 'age': 55, 'title': 'Advisor', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[]
country	China
cryptoTradeable	False
currency	USD
currentPrice	27.09
currentRatio	1.141
customPriceAlertConfidence	HIGH
dateShortInterest	1788134400
dayHigh	27.41
dayLow	27.05
debtToEquity	37.294
discount_to_intrinsic_value	65.13
displayName	JD.com
dividendDate	1777420800
dividendRate	1.0
dividendYield	3.67
earningsCallTimestampEnd	1786622400
earningsCallTimestampStart	1786622400
earningsGrowth	0.213
earningsQuarterlyGrowth	0.154
earningsTimestamp	1786624200
earningsTimestampEnd	1794486600
earningsTimestampStart	1794486600
ebitda	11797999616
ebitdaMargins	0.00898
enterpriseToEbitda	-1.333
enterpriseToRevenue	-0.012
enterpriseValue	-15725622272
epsCurrentYear	22.40951
epsForward	4.1904764
epsTrailingTwelveMonths	1.5
eps_normalized_growth	0.27099361289482427
esgPopulated	False
exDividendDate	1775692800
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	29.6106
fiftyDayAverageChange	-2.5205994
fiftyDayAverageChangePercent	-0.0851249
fiftyTwoWeekChangePercent	-21.463554
fiftyTwoWeekHigh	36.86
fiftyTwoWeekHighChange	-9.77
fiftyTwoWeekHighChangePercent	-0.26505697
fiftyTwoWeekLow	24.508
fiftyTwoWeekLowChange	2.5820007
fiftyTwoWeekLowChangePercent	0.105353385
fiftyTwoWeekRange	24.508 - 36.86
financialCurrency	CNY
firstTradeDateMilliseconds	1400765400000
floatShares	1196679233
forwardEps	4.1904764
forwardPE	6.4646587
freeCashflow	16130499584
fullExchangeName	NasdaqGS
fullTimeEmployees	900000
fulldayChange	-0.17000008
fulldayChangePercent	-0.6236246
fulldayPrice	27.05
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	77.69
grossMargins	0.09421
grossProfits	123735998464
hasPrePostMarketData	True
heldPercentInsiders	0.01008
heldPercentInstitutions	0.16534
impliedSharesOutstanding	1350500000
industry	Internet Retail
industryDisp	Internet Retail
industryKey	internet-retail
irWebsite	http://ir.jd.com/phoenix.zhtml?c=253315&p=irol-irhome
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1775692800
lastDividendValue	1.0
lastFiscalYearEnd	1767139200
