Date	Source	Sentiment	Headline	Summary	URL
2026-03-25	Google	0.0	Johnson & Johnson stock faces headwinds amid pharma sector volatility and global oil shocks - AD HOC NEWS		https://news.google.com/rss/articles/CBMiygFBVV95cUxOZjJyWGVZWDdPenJOZWl6QmRsY1pKWUo1T3R6U1U5N1dyNHluekI1UTlXVUNuOHJuYUVFckViUFZZMFpaZkNTblZkX280ZVE2clFCZk1CWnpQSllkZDA2Vk5oOW9xX1NnWmExRThTOU5tR25qdU40c0lMNDV5bDRlTDBxenNialB0Sm9kUzl3X2pSVmV2X0U5cGRXR1VxOTZBSVpxMVIyVU8zRlZpZ2Y2XzBhRld3RWxKWU1pNHhhQTF4a1kxb18tWkNn?oc=5
2026-03-24	Google	0.5	Does Johnson & Johnson Stock Have More Upside? - Trefis		https://news.google.com/rss/articles/CBMiqgFBVV95cUxOM2ZtNWVrMzYyYkFadzN6OXp4aUNycTBjMkVaYTJTUkYwa0NWbTlWQnZyU3had2xKbW9hSkp3QzRzeWVyUk5nUjhWd2xubVp3dVlNMkM2Sm12SE83ejZUMUdJWGFyNDhfOWk1SEg5OXlNendUSmIxTGx6X0V5a0FYdW4zTko0Y19tQVVkaG01RTBSSW41LVhldU9WM1o5VlJMY2ZtckhfQTlpdw?oc=5
2026-03-24	Yahoo	0.359	Johnson & Johnson (JNJ) Advances Bladder Cancer Treatment with 89% Response Rate	Johnson & Johnson (NYSE:JNJ) ranks among the best most active stocks to buy right now. On March 13, Johnson & Johnson (NYSE:JNJ) revealed results from a Phase 1 study of an innovative intravesical drug-releasing mechanism with erdafitinib (Erda-iDRS) in patients with non-muscle-invasive bladder cancer who had specific fibroblast growth factor receptor mutations. According to the […]	https://finance.yahoo.com/sectors/healthcare/articles/johnson-johnson-jnj-advances-bladder-112701184.html?.tsrc=rss
2026-03-24	Yahoo	0.181	J&J Stock Trading Above 200- & 50-Day SMA for 8 Months: Time to Buy?	JNJ stock holds strong above key SMAs for 8 months as Innovative Medicine strength, new drugs and MedTech gains fuel momentum despite patent and legal risks.	https://finance.yahoo.com/markets/stocks/articles/j-j-stock-trading-above-145600459.html?.tsrc=rss
2026-03-24	Google	0.15	Johnson & Johnson Stock Hands $160 Bil Back – Worth a Look? - Trefis		https://news.google.com/rss/articles/CBMitAFBVV95cUxNZ0tON1pHaTZjaXg3S2lOVnZvVzVrd2ZEQkowMTJ5NHZ1X2FyQUJyY2F4WUVtNlZ3eklIQldkQ0kwV0dQeFlockd3YWI0VWFIWlNyNzRXN0h4ZnhRTTBUWG40QVdEYUduZEpYaW9UczlQZUZWOGdpM3JSVWJFWXdpTTNoV0J5NEU0X0xqMzdpRHBXWkV1bWk3VXZvS21PcTdqd1daLTJiSXgzNnY5NlhnZ05GTjg?oc=5
2026-03-24	Yahoo	0.148	With Two Companies Dictating Everything, IHE Is Riskier Than Most Investors Realize	Half of every dollar invested in iShares U.S. Pharmaceuticals ETF (NYSEARCA:IHE) rides on just two companies pulling in opposite directions in 2026. With a 0.38% expense ratio, nearly $1.1 billion in net assets, and a 20-year track record dating to May 2006, it offers income-oriented and sector investors a focused vehicle for pharmaceutical exposure. Focused ... With Two Companies Dictating Everything, IHE Is Riskier Than Most Investors Realize	https://247wallst.com/investing/2026/03/24/with-two-companies-dictating-everything-ihe-is-riskier-than-most-investors-realize/?.tsrc=rss
2026-03-24	Google	0.136	Johnson And Johnson (NYSE:JNJ) Targets Oncology Growth Through New Trial Russell 1000 - Kalkine Media		https://news.google.com/rss/articles/CBMixwFBVV95cUxPdnpDTlMxYUd4cGtFWWNZaXhhcHJiZEkzcFItRzUtLWQyRUhndDg3VzktdWhzcm1lZDdBNHF0XzFkMlkzN2YzZjlmWVlCSUpvSUZyVXUzQ0pxeTJkdTB6TktoZWg0cDVqTGFPeV9wTWQzd1hCTnBMZXh2N21qWFM2UldoeXlDUDR2Ukk2MGdWWFlGeXRQZ01KYTRPYjM1SmFFWGxWWFJ5aFNpOGdTQ3ZIYUE4aVgzSGhFU1VJTW83SGs0a1pTcEhr?oc=5
2026-03-24	Yahoo	0.11	Johnson & Johnson Targets Procedure Growth With Bladder Cancer And Vision Advances	Johnson & Johnson (NYSE:JNJ) reported first in human Phase 1 results for an extended release erdafitinib delivery system in non muscle invasive bladder cancer, showing promising complete and durable responses with a favorable safety profile. The company also received FDA approval for its TECNIS PureSee intraocular lens, an extended depth of focus option for cataract surgery that targets presbyopia and visual clarity without contrast sensitivity loss warnings. Johnson & Johnson, through its...	https://finance.yahoo.com/sectors/healthcare/articles/johnson-johnson-targets-procedure-growth-181554274.html?.tsrc=rss
2026-03-24	Google	0.0	A Decade of Rewards: $160 Bil From Johnson & Johnson Stock - Trefis		https://news.google.com/rss/articles/CBMiwAFBVV95cUxPYmk3TjJFYm5EakYxbXZfQmRad2JfMU93Ry0tbExnUm1qNkk5bFA0YUZkY3FrWFpCYlBvb0hlTHpTZTVCclFXNjdaWGlJSkw2ZW5xMnB1OXByQ05YNjNjLS1SR096R1ZZZVp6WlRXdDJIaDhlZXkzYWFXMjJ5eVZlYUlsU2lmdUNzWlhOU3VJclpLQ1F3ZXd2S2NXRGY5eDJlM1MxcVZSUWFJdzFuUE1NWFdjMmY0VnBJNkpHWUpxTEs?oc=5
2026-03-24	Google	0.0	Hamlin Capital Management LLC Reduces Holdings in Johnson & Johnson $JNJ - MarketBeat		https://news.google.com/rss/articles/CBMiygFBVV95cUxOMVBDdFlVZXlRYWtSZVhrNWdCTEZzZmRuVTJTUkpGbjVScUtrQXNublg2ak9UOEhTWTZPcVNvMDN1Q1RVVFFEYUFwb2ZObjVmOXFnMW81Zjk4bG5ldjhPdVV3dDdSWVpmZmpVUUUwTjhBSzhmMUFiekVZQVBHc25nODhITlFHaEVXSVFjR3VfM0JaTTZfRkJkZWJpT1d3NzVOX1FXX1lwcDVudzZwbEV1X2dzUTI3ZFd5UjJrMHZXalIwTzJYTXUweXFB?oc=5
