Metric	Value
52WeekChange	0.5170677
SandP52WeekChange	0.24620819
address1	10680 Treena Street
address2	6th Floor
allTimeHigh	1635.0
allTimeLow	2.8
ask	67.77
askSize	1
auditRisk	4
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	5279830
averageDailyVolume3Month	4495962
averageVolume	4495962
averageVolume10days	5279830
beta	1.062
bid	38.45
bidSize	1
boardRisk	3
bookValue	11.821
city	San Diego
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Eric M. DeMarco', 'age': 61, 'title': 'CEO, President & Director', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 2588739, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Phillip  Carrai', 'age': 63, 'title': 'President of Space, Training & Cyber Solutions Division', 'yearBorn': 1962, 'fiscalYear': 2025, 'totalPay': 550558, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven S. Fendley', 'age': 56, 'title': 'President of Unmanned Systems Division', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 642584, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stacey G. Rock', 'age': 57, 'title': 'President of Kratos Turbine Technologies Division', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 562876, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Maria Cervantes de Burgreen', 'age': 50, 'title': 'VP, Corporate Controller & Principal Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian  Shepard', 'title': 'Chief Information Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marie C. Mendoza', 'age': 52, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1973, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Carter', 'age': 67, 'title': 'President of Defense & Rocket Support Services Division', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 305623, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Thomas E. Mills IV', 'age': 65, 'title': 'President of C5ISR Systems Division', 'yearBorn': 1960, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yonah  Adelman', 'age': 74, 'title': 'President of Microwave Electronics Division', 'yearBorn': 1951, 'fiscalYear': 2025, 'totalPay': 641848, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	54.0
currentRatio	5.626
customPriceAlertConfidence	HIGH
dateShortInterest	1777507200
dayHigh	54.585
dayLow	52.78
debtToEquity	5.437
discount_to_intrinsic_value	-466.43
displayName	Kratos Defense & Security
earningsCallTimestampEnd	1778101200
earningsCallTimestampStart	1778101200
earningsGrowth	1.306
earningsQuarterlyGrowth	1.644
earningsTimestamp	1778097600
earningsTimestampEnd	1786046400
earningsTimestampStart	1786046400
ebitda	81200000
ebitdaMargins	0.05738
enterpriseToEbitda	109.463
enterpriseToRevenue	6.281
enterpriseValue	8888433664
epsCurrentYear	0.76761
epsForward	1.07378
epsTrailingTwelveMonths	0.17
eps_normalized_growth	1.3164233382726973
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	858 812 7301
fiftyDayAverage	71.154
fiftyDayAverageChange	-17.154
fiftyDayAverageChangePercent	-0.24108271
fiftyTwoWeekChangePercent	51.706768
fiftyTwoWeekHigh	134.0
fiftyTwoWeekHighChange	-80.0
fiftyTwoWeekHighChangePercent	-0.5970149
fiftyTwoWeekLow	34.06
fiftyTwoWeekLowChange	19.939999
fiftyTwoWeekLowChangePercent	0.5854374
fiftyTwoWeekRange	34.06 - 134.0
financialCurrency	USD
firstTradeDateMilliseconds	941812200000
floatShares	184613424
forwardEps	1.07378
forwardPE	50.289635
freeCashflow	-106725000
fullExchangeName	NasdaqGS
fullTimeEmployees	4300
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1777593600
graham_intrinsic_value	9.53
grossMargins	0.22886999
grossProfits	323900000
hasPrePostMarketData	True
heldPercentInsiders	0.013789999
heldPercentInstitutions	0.94154
impliedSharesOutstanding	187519984
industry	Aerospace & Defense
industryDisp	Aerospace & Defense
industryKey	aerospace-defense
irWebsite	http://ir.kratosdefense.com/index.cfm
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1766880000
lastSplitDate	1252627200
lastSplitFactor	1:10
longBusinessSummary	Kratos Defense & Security Solutions, Inc., a technology company, provides technology, hardware, products, system, and software for the defense, national security, and commercial markets in the United States, other North America, the Asia Pacific, the Middle East, Europe, and Internationally. The company operates through Kratos Government Solutions and Unmanned Systems segments. It offers virtualized ground systems for satellites and space vehicles, including software for command and control, telemetry, and tracking and control; jet powered unmanned aerial drone systems and hypersonic vehicles and rocket systems; propulsion systems for drones, missiles, loitering munitions, supersonic systems, spacecraft and launch systems, command, control, communication, computing, combat, and intelligence surveillance and reconnaissance; and microwave electronic products for missile, radar, missile defense, space, and satellite; and counter unmanned aircraft systems, directed energy, communication and other systems, and virtual and augmented reality training systems for the warfighter. The company primarily serves national security-related agencies, the U.S. Department of Defense, intelligence and classified agencies, international government agencies, and domestic and international commercial customers. Kratos Defense & Security Solutions, Inc. was formerly known as Wireless Facilities, Inc. and changed its name to Kratos Defense & Security Solutions, Inc. in August 1999. Kratos Defense & Security Solutions, Inc. was incorporated in 1994 and is headquartered in San Diego, California.
longName	Kratos Defense & Security Solutions, Inc.
market	us_market
marketCap	10126078976
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_36652
mostRecentQuarter	1774742400
netIncomeToCommon	29400000
nextFiscalYearEnd	1798416000
nonDilutedMarketCap	9767915966
numberOfAnalystOpinions	20
open	54.24
operatingCashflow	-40300000
operatingMargins	0.01779
overallRisk	5
payoutRatio	0.0
pegRatio	36.41
phone	858 812 7300
postMarketChange	0.10989761
postMarketChangePercent	0.19283666
postMarketPrice	57.0999
postMarketTime	1778543893
previousClose	54.22
priceEpsCurrentYear	70.34822
priceHint	2
priceToBook	4.5681415
priceToSalesTrailing12Months	7.155228
profitMargins	0.020769998
quickRatio	4.852
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.57895
region	US
regularMarketChange	-0.22000122
regularMarketChangePercent	-0.40575656
regularMarketDayHigh	54.585
regularMarketDayLow	52.78
regularMarketDayRange	52.78 - 54.585
regularMarketOpen	54.24
regularMarketPreviousClose	54.22
regularMarketPrice	54.0
regularMarketTime	1779212455
regularMarketVolume	1402999
returnOnAssets	0.0057300003
returnOnEquity	0.012259999
revenueGrowth	0.226
revenuePerShare	8.406
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
shareHolderRightsRisk	7
sharesOutstanding	187519984
sharesPercentSharesOut	0.0551
sharesShort	10334611
sharesShortPreviousMonthDate	1774915200
sharesShortPriorMonth	10991657
shortName	Kratos Defense & Security Solut
shortPercentOfFloat	0.0633
shortRatio	2.64
sourceInterval	15
state	CA
symbol	KTOS
targetHighPrice	150.0
targetLowPrice	75.0
targetMeanPrice	111.95
targetMedianPrice	111.0
totalCash	1464300032
totalCashPerShare	7.809
totalDebt	185400000
totalRevenue	1415200000
tradeable	False
trailingAnnualDividendRate	0.0
