Metric	Value
52WeekChange	1.7485137
SandP52WeekChange	0.16670573
address1	4650 Cushing Parkway
allTimeHigh	256.68
allTimeLow	0.066667
ask	234.0
askSize	1
auditRisk	3
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	9991210
averageDailyVolume3Month	11747881
averageVolume	11747881
averageVolume10days	9991210
beta	1.787
bid	212.47
bidSize	2
boardRisk	2
bookValue	8.109
city	Fremont
