Metric	Value
52WeekChange	0.93383944
SandP52WeekChange	0.12811458
address1	13467 Columbia Shuttle Street
allTimeHigh	136.0
allTimeLow	2.089
ask	17.91
askSize	43
auditRisk	9
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	10380190
averageDailyVolume3Month	11377790
averageVolume	11377790
averageVolume10days	10380190
beta	1.403
bid	17.77
bidSize	45
boardRisk	9
bookValue	-6.404
city	Houston
companyOfficers	[{'maxAge': 1, 'name': 'Dr. Kamal  Ghaffarian Ph.D.', 'age': 65, 'title': 'Co-Founder & Chairman', 'yearBorn': 1960, 'fiscalYear': 2024, 'totalPay': 105000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen  Altemus', 'age': 60, 'title': 'Co-Founder, President, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2024, 'totalPay': 1666059, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Timothy P. Crain', 'age': 51, 'title': 'Co- Founder, Senior VP, Chief Growth Officer & CTO', 'yearBorn': 1974, 'fiscalYear': 2024, 'totalPay': 839710, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter  McGrath II', 'age': 57, 'title': 'Senior VP & CFO', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 744335, 'exercisedValue': 0, 'unexercisedValue': 455004}, {'maxAge': 1, 'name': 'Mr. Steven  Vontur', 'title': 'Chief Accounting Officer & Controller', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Ben  Bussey', 'title': 'Chief Scientist', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen  Zhang', 'title': 'Head of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anna Chiara Jones', 'age': 45, 'title': 'General Counsel & Corporate Secretary', 'yearBorn': 1980, 'fiscalYear': 2024, 'totalPay': 300012, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jade  Marcantel', 'title': 'Chief Human Capital Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jack  Fischer', 'title': 'Senior VP & Chief Integration Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	17.83
currentRatio	4.957
customPriceAlertConfidence	HIGH
dateShortInterest	1772150400
dayHigh	20.8
dayLow	17.61
debtToEquity	182.698
displayName	Intuitive Machines
earningsCallTimestampEnd	1773923400
earningsCallTimestampStart	1773923400
earningsTimestamp	1773923400
earningsTimestampEnd	1778589000
earningsTimestampStart	1778589000
ebitda	-83634000
ebitdaMargins	-0.39815
enterpriseToEbitda	-39.476
enterpriseToRevenue	11.631
enterpriseValue	2558149376
epsCurrentYear	-0.07
epsForward	0.32
epsTrailingTwelveMonths	-2.32
esgPopulated	False
exchange	NGM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	18.4048
fiftyDayAverageChange	-0.5748005
fiftyDayAverageChangePercent	-0.031231008
fiftyTwoWeekChangePercent	93.38394
fiftyTwoWeekHigh	23.315
fiftyTwoWeekHighChange	-5.4850006
fiftyTwoWeekHighChangePercent	-0.2352563
fiftyTwoWeekLow	6.135
fiftyTwoWeekLowChange	11.695
fiftyTwoWeekLowChangePercent	1.9062754
fiftyTwoWeekRange	6.135 - 23.315
financialCurrency	USD
firstTradeDateMilliseconds	1637159400000
floatShares	89205857
forwardEps	0.32
forwardPE	55.71875
freeCashflow	-27357000
fullExchangeName	NasdaqGM
fullTimeEmployees	435
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1772323200
grossMargins	0.0428
grossProfits	8990000
hasPrePostMarketData	True
heldPercentInsiders	0.0582
heldPercentInstitutions	0.79657
impliedSharesOutstanding	142310813
industry	Aerospace & Defense
industryDisp	Aerospace & Defense
industryKey	aerospace-defense
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	Intuitive Machines, Inc. designs, manufactures, and operates space products and services in the United States. The company provides delivery services for the transportation and delivery of payloads, such as satellites, scientific instruments, and cargo to various destinations in space, rideshare delivery, and lunar surface access; data transmission services, which include the collection, processing, and interpretation of space-based data, utilizing AI applications, such as command, control, communications, reconnaissance and prospecting; and infrastructure as a service delivers space assets performing tasks and making decisions without human intervention that are designed to perform essential functions, such as navigation, maintenance, scientific data collection, and system health monitoring. It offers Nova-C lunar lander combines flight-proven with a scalable design to meet the demands of the emerging lunar economy; Micro-Nova develops propulsive drone that is designed to land, deploy, and hop on the company's IM-2 mission; and Nova-D developed to transport critical payloads, including infrastructure services, such as fission surface power systems, lunar terrain vehicles, and rovers enabling sustainable lunar exploration and development. In addition, the company provides lunar data network for tracking and communications network and a constellation of lunar data network satellites. It serves its products to the U.S. government, which include NASA, national security space, U.S. department of Defense, and state governments; commercial; and international customers. The company was founded in 2013 and is headquartered in Houston, Texas.
longName	Intuitive Machines, Inc.
market	us_market
marketCap	2537401856
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_710155302
mostRecentQuarter	1767139200
netIncomeToCommon	-83910000
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	2691097454
numberOfAnalystOpinions	9
open	18.97
operatingCashflow	-14318000
operatingMargins	-0.73898005
overallRisk	10
payoutRatio	0.0
phone	281 520 3703
postMarketChange	0.22999954
postMarketChangePercent	1.2899581
postMarketPrice	18.06
postMarketTime	1774051196
previousClose	18.91
priceEpsCurrentYear	-254.71428
priceHint	2
priceToBook	-2.7841973
priceToSalesTrailing12Months	12.079472
profitMargins	-0.39653
quickRatio	4.863
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.55556
region	US
regularMarketChange	-1.08
regularMarketChangePercent	-5.71126
regularMarketDayHigh	20.8
regularMarketDayLow	17.61
regularMarketDayRange	17.61 - 20.8
regularMarketOpen	18.97
regularMarketPreviousClose	18.91
regularMarketPrice	17.83
regularMarketTime	1774036803
regularMarketVolume	17239259
returnOnAssets	-0.098009996
returnOnEquity	-1.02923
revenueGrowth	-0.181
revenuePerShare	1.782
sector	Industrials
sectorDisp	Industrials
sectorKey	industrials
shareHolderRightsRisk	10
sharesOutstanding	142310812
sharesPercentSharesOut	0.21280001
sharesShort	30285577
sharesShortPreviousMonthDate	1769731200
sharesShortPriorMonth	28630996
shortName	Intuitive Machines, Inc.
shortPercentOfFloat	0.22209999
shortRatio	2.98
sourceInterval	15
state	TX
symbol	LUNR
syntheticPEG	-3.078383977900553
targetHighPrice	26.0
targetLowPrice	9.5
targetMeanPrice	22.27778
targetMedianPrice	24.0
totalCash	582606016
totalCashPerShare	5.213
totalDebt	372159008
totalRevenue	210059008
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-2.32
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	12.891475
twoHundredDayAverageChange	4.938525
twoHundredDayAverageChangePercent	0.3830846
typeDisp	Equity
volume	17239259
website	https://www.intuitivemachines.com
zip	77059
