Metric	Value
52WeekChange	-0.021206677
SandP52WeekChange	0.19179821
address1	2000 Purchase Street
allTimeHigh	601.77
allTimeLow	4.02
ask	580.98
askSize	160
auditRisk	3
averageAnalystRating	1.4 - Strong Buy
averageDailyVolume10Day	2745300
averageDailyVolume3Month	3523451
averageVolume	3523451
averageVolume10days	2745300
beta	0.735
bid	579.52
bidSize	40
boardRisk	2
bookValue	6.396
city	Purchase
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Michael  Miebach', 'age': 57, 'title': 'CEO, President & Director', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 9761053, 'exercisedValue': 11598079, 'unexercisedValue': 30919096}, {'maxAge': 1, 'name': 'Mr. Timothy Henry Murphy J.D.', 'age': 57, 'title': 'Vice Chair', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 2399628, 'exercisedValue': 2311073, 'unexercisedValue': 6858552}, {'maxAge': 1, 'name': 'Mr. Edward Grunde McLaughlin', 'age': 59, 'title': 'President & CTO of Mastercard Technology', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 2064752, 'exercisedValue': 5250432, 'unexercisedValue': 19592664}, {'maxAge': 1, 'name': 'Mr. Craig E. Vosburg', 'age': 58, 'title': 'Vice Chair', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 2694403, 'exercisedValue': 22477560, 'unexercisedValue': 9816097}, {'maxAge': 1, 'name': 'Ms. Linda Pistecchia Kirkpatrick', 'age': 48, 'title': 'Chief Services Officer', 'yearBorn': 1977, 'fiscalYear': 2025, 'totalPay': 2297718, 'exercisedValue': 0, 'unexercisedValue': 7960118}, {'maxAge': 1, 'name': 'Mr. Sachin  Mehra', 'age': 54, 'title': 'Chief Business Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 3326275, 'exercisedValue': 11080211, 'unexercisedValue': 7023571}, {'maxAge': 1, 'name': 'Mr. Ling  Hai', 'age': 54, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Mullett', 'age': 51, 'title': 'Corporate Controller & Principal Accounting Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard R. Verma Ph.D.', 'age': 52, 'title': 'Chief Administrative Officer', 'yearBorn': 1973, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Devin  Corr', 'title': 'Executive Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	5
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	580.63
currentRatio	1.061
customPriceAlertConfidence	HIGH
dateShortInterest	1785456000
dayHigh	582.0
dayLow	573.0401
debtToEquity	439.583
