Metric	Value
52WeekChange	-0.28141868
SandP52WeekChange	0.16864312
address1	1010 South Federal Highway
address2	Suite 2700
allTimeHigh	155.68
allTimeLow	0.35
ask	9.19
askSize	4
auditRisk	9
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	50336780
averageDailyVolume3Month	45335625
averageVolume	45335625
averageVolume10days	50336780
beta	5.42
bid	7.89
bidSize	1
boardRisk	7
bookValue	9.149
city	Hallandale Beach
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Frederick G. Thiel', 'age': 64, 'title': 'CEO & Executive Chairman', 'yearBorn': 1961, 'fiscalYear': 2024, 'totalPay': 3149953, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Salman H. Khan', 'age': 46, 'title': 'Chief Financial Officer', 'yearBorn': 1979, 'fiscalYear': 2024, 'totalPay': 2062917, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Zabi  Nowaid', 'age': 43, 'title': 'General Counsel & Company Secretary', 'yearBorn': 1982, 'fiscalYear': 2024, 'totalPay': 1035782, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James G. Crawford', 'age': 50, 'title': 'Chief Operating Officer', 'yearBorn': 1975, 'fiscalYear': 2024, 'totalPay': 782400, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John B. Ellis', 'age': 57, 'title': 'Chief Accounting Officer', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Robert  Samuels', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nir  Rikovitch', 'title': 'Chief Product Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. William  Beam', 'title': 'Vice President of Finance & Operations Control', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1735603200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	9.1868
currentRatio	1.273
customPriceAlertConfidence	HIGH
dateShortInterest	1772150400
dayHigh	9.842
dayLow	9.14
debtToEquity	104.839
displayName	MARA
dividendDate	1554681600
earningsCallTimestampEnd	1772143200
earningsCallTimestampStart	1772143200
earningsTimestamp	1772139600
earningsTimestampEnd	1778184000
earningsTimestampStart	1778184000
ebitda	-352031008
ebitdaMargins	-0.38808998
enterpriseToEbitda	-18.883
enterpriseToRevenue	7.328
enterpriseValue	6647377920
epsCurrentYear	-1.765
epsForward	-1.215
epsTrailingTwelveMonths	-3.69
esgPopulated	False
exchange	NCM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	9.159
fiftyDayAverageChange	0.027799606
fiftyDayAverageChangePercent	0.0030352226
fiftyTwoWeekChangePercent	-28.141869
fiftyTwoWeekHigh	23.45
fiftyTwoWeekHighChange	-14.263201
fiftyTwoWeekHighChangePercent	-0.6082388
fiftyTwoWeekLow	6.66
fiftyTwoWeekLowChange	2.5268002
fiftyTwoWeekLowChangePercent	0.37939942
fiftyTwoWeekRange	6.66 - 23.45
financialCurrency	USD
firstTradeDateMilliseconds	1336138200000
floatShares	371751600
forwardEps	-1.215
forwardPE	-7.561152
freeCashflow	-401107008
fullExchangeName	NasdaqCM
fullTimeEmployees	266
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1772323200
grossMargins	0.48044997
grossProfits	435808992
hasPrePostMarketData	True
heldPercentInsiders	0.013300001
heldPercentInstitutions	0.69404
impliedSharesOutstanding	380234635
industry	Capital Markets
industryDisp	Capital Markets
industryKey	capital-markets
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
lastSplitDate	1554681600
lastSplitFactor	1:4
longBusinessSummary	MARA Holdings, Inc. operates as an energy and digital infrastructure company in North America, the Middle East, Europe, and Latin America. The company leverages Bitcoin Mining and Artificial Intelligence compute to monetize excess energy and underutilized power, optimize power management across operations and support AI inference applications. The company was formerly known as Marathon Digital Holdings, Inc. and changed its name to MARA Holdings, Inc. in August 2024. MARA Holdings, Inc. was incorporated in 2010 and is based in Hallandale Beach, Florida.
longName	MARA Holdings, Inc.
market	us_market
marketCap	3493139456
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_158387416
mostRecentQuarter	1767139200
nameChangeDate	2026-03-15
netIncomeToCommon	-1311480064
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	3543786798
numberOfAnalystOpinions	11
open	9.765
operatingCashflow	-802724992
operatingMargins	-5.98828
overallRisk	9
payoutRatio	0.0
pegRatio	0.0971
phone	800-804-1690
postMarketChange	-0.020000458
postMarketChangePercent	-0.22831573
postMarketPrice	8.74
postMarketTime	1773359995
prevName	Marathon Patent Group, Inc.
previousClose	9.32
priceEpsCurrentYear	-5.204986
priceHint	2
priceToBook	1.0041316
priceToSalesTrailing12Months	3.8509166
profitMargins	-1.44581
quickRatio	1.084
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.14286
region	US
regularMarketChange	-0.13319969
regularMarketChangePercent	-1.4291813
regularMarketDayHigh	9.842
regularMarketDayLow	9.14
regularMarketDayRange	9.14 - 9.842
regularMarketOpen	9.765
regularMarketPreviousClose	9.32
regularMarketPrice	9.1868
regularMarketTime	1773679566
regularMarketVolume	27377825
returnOnAssets	-0.08999
returnOnEquity	-0.34464002
revenueGrowth	-0.056
revenuePerShare	2.554
sector	Financial Services
sectorDisp	Financial Services
sectorKey	financial-services
shareHolderRightsRisk	4
sharesOutstanding	380234635
sharesPercentSharesOut	0.3008
sharesShort	114357124
sharesShortPreviousMonthDate	1769731200
sharesShortPriorMonth	114372561
shortName	MARA Holdings, Inc.
shortPercentOfFloat	0.3858
shortRatio	2.3
sourceInterval	15
state	FL
symbol	MARA
targetHighPrice	30.0
targetLowPrice	8.0
targetMeanPrice	16.56818
targetMedianPrice	13.0
totalCash	547132032
totalCashPerShare	1.439
totalDebt	3645352960
totalRevenue	907092992
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-3.69
trailingPE	3.6128404
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	14.102
twoHundredDayAverageChange	-4.9152
twoHundredDayAverageChangePercent	-0.34854633
typeDisp	Equity
volume	27377825
website	https://www.mara.com
zip	33009
