Metric	Value
52WeekChange	0.21964347
SandP52WeekChange	0.16864312
address1	126 East Lincoln Avenue
allTimeHigh	134.63
allTimeLow	0.265055
ask	114.73
askSize	500
auditRisk	6
averageAnalystRating	1.9 - Buy
averageDailyVolume10Day	9515430
averageDailyVolume3Month	12594913
averageVolume	12594913
averageVolume10days	9515430
beta	0.264
bid	114.67
bidSize	500
boardRisk	5
bookValue	21.258
city	Rahway
